UTTERANCE	CUI	PT	ST	SOURCES
"DIANEAL LOW CALCIUM PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"DIANEAL LOW CALCIUM PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE"	C0017725	Glucose	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DIANEAL LOW CALCIUM PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"HYDROCODONE BITARTRATE / ACETAMINOPHEN"	C0717367	Acetaminophen / Hydrocodone	[u'phsu']	[u'RXNORM']
"HYDROCODONE BITARTRATE AND ACETAMINOPHEN"	C0717367	Acetaminophen / Hydrocodone	[u'phsu']	[u'RXNORM']
"DIANEAL PD-2 WITH DEXTROSE"	C0017725	Glucose	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CENTRUM SILVER"	C0037125	Silver	[u'elii']	[u'ATC']
"CENTRUM SILVER"	C0947651	Silver preparation	[u'phsu']	[u'RXNORM']
"NO CONCURRENT MEDICATION"	C0028128	Nitric Oxide	[u'bacs', u'inch', u'phsu']	[u'RXNORM', u'ATC']
"ANTIBIOTICS"	C0003237	Antibiotics, Antitubercular	[u'antb']	[u'ATC']
"ANTIBIOTICS"	C3540704	Antibiotics for systemic use	[u'antb']	[u'ATC']
"ANTIBIOTICS"	C3540705	Antifungal Antibiotics, Topical	[u'antb']	[u'ATC']
"ANTIBIOTICS"	C3540706	Antibiotic throat preparations	[u'antb']	[u'ATC']
"ANTIBIOTICS"	C3540707	Antibiotics FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	[u'antb']	[u'ATC']
"ANTIBIOTICS"	C3540708	Antibiotics, Gynecological	[u'antb']	[u'ATC']
"ANTIBIOTICS"	C3540709	antibiotics, intestinal	[u'antb']	[u'ATC']
"ANTIBIOTICS"	C3540710	Antibiotics, ophthalmologic	[u'antb']	[u'ATC']
"VITAMIN B"	C0042849	Vitamin B Complex	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"ANTIHYPERTENSIVES"	C0003364	Antihypertensive Agents	[u'phsu']	[u'ATC']
"ALCOHOL."	C0001962	Ethanol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CORTICOSTEROIDS"	C3539185	Corticosteroid nasal preparations for topical use	[u'orch', u'phsu']	[u'ATC']
"CORTICOSTEROIDS"	C3540725	Corticosteroid otologicals	[u'orch', u'phsu']	[u'ATC']
"CORTICOSTEROIDS"	C3540726	Corticosteroid ophthalmologic and otologic preparations	[u'orch', u'phsu']	[u'ATC']
"CORTICOSTEROIDS"	C3540727	Corticosteroids, topical for treatment of hemorrhoids and anal fissures	[u'orch', u'phsu']	[u'ATC']
"COTRIMOXAZOLE"	C0041044	Trimethoprim-Sulfamethoxazole Combination	[u'phsu']	[u'RXNORM']
"COCODAMOL"	C2351132	Acetaminophen / Codeine	[u'phsu']	[u'RXNORM']
"DIANEAL PD-2 PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE"	C0017725	Glucose	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ACETAMINOPHEN AND HYDROCODONE BITARTRATE"	C0717367	Acetaminophen / Hydrocodone	[u'phsu']	[u'RXNORM']
"ALCOHOL"	C0001962	Ethanol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"INDI16Q1.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"RED BLOOD CELLS"	C0014792	Erythrocytes	[u'cell']	[u'ATC']
"THYROID TAB"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"THYROID TAB"	C3540038	THYROID DIAGNOSTIC RADIOPHARMACEUTICALS	[u'irda']	[u'ATC']
"MARIJUANA"	C4552088	Cannabis sativa whole extract	[u'orch']	[u'RXNORM']
"INDI15Q1.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"PLATELETS"	C0005821	Blood Platelets	[u'cell']	[u'ATC']
"DIURETICS"	C0012798	Diuretics	[u'phsu']	[u'ATC']
"DEXTROAMPHET SACCHARAT, AMPHET ASPARTATE, DEXTROAMPHET SULFATE AND AMPHET SULFAT"	C0085845	Aspartate	[u'aapp', u'bacs']	[u'RXNORM']
"DEXTROAMPHET SACCHARAT, AMPHET ASPARTATE, DEXTROAMPHET SULFATE AND AMPHET SULFAT"	C3536965	Sulfate Ion	[u'elii', u'phsu']	[u'RXNORM']
"INDI14Q1.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"INDI19Q1.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"ORTHO TRI CYCLEN LO"	C1337075	Ortho Cyclen	[u'horm', u'orch', u'phsu']	[u'RXNORM']
"CALCICHEW D3"	C0719089	Calci-Chew	[u'orch', u'phsu']	[u'RXNORM']
"INDI18Q4.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"INTERFERON"	C0021747	Interferons	[u'aapp', u'imft']	[u'ATC']
"INTERFERON"	C3652465	Interferon	[u'aapp', u'imft', u'phsu']	[u'ATC']
"CO-DIOVAN"	C0719949	Diovan	[u'orch', u'phsu']	[u'RXNORM']
"ANTIDEPRESSANTS"	C0003289	Antidepressive Agents	[u'phsu']	[u'ATC']
"ANALGESICS"	C0002771	Analgesics	[u'hops', u'orch', u'phsu']	[u'ATC']
"INDI18Q3.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"INDI13Q1.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"CO-CODAMOL"	C2351132	Acetaminophen / Codeine	[u'phsu']	[u'RXNORM']
"TRELEGY ELLIPTA"	C4522956	Trelegy	[u'orch', u'phsu']	[u'RXNORM']
"INDI18Q1.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"INDI16Q4.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"CO-AMOXICLAV"	C0054066	Amoxicillin / Clavulanate	[u'phsu']	[u'RXNORM']
"INDI18Q2.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"VITAMIN CAP"	C0042890	Vitamins	[u'orch', u'phsu', u'vita']	[u'ATC']
"HYDROCODONE-ACETAMINOPHEN"	C0717367	Acetaminophen / Hydrocodone	[u'phsu']	[u'RXNORM']
"TYLENOL W/ CODEINE NO. 3"	C0724034	Tylenol with Codeine	[u'orch', u'phsu']	[u'RXNORM']
"INDI12Q4.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"INDI17Q1.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"HYDROCODONE BITARTRATE + ACETAMINOPHEN"	C0717367	Acetaminophen / Hydrocodone	[u'phsu']	[u'RXNORM']
"CALCIUM CHANNEL BLOCKERS"	C0006684	Calcium Channel Blockers	[u'phsu']	[u'ATC']
"INDI17Q3.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"INDI17Q2.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"CANNABIS"	C4552088	Cannabis sativa whole extract	[u'orch']	[u'RXNORM']
"INDI16Q2.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"THYROID"	C3540038	THYROID DIAGNOSTIC RADIOPHARMACEUTICALS	[u'irda']	[u'ATC']
"INDI17Q4.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"INDI15Q2.TXT"	C0699967	Taxotere	[u'orch', u'phsu']	[u'RXNORM']
"DIANEAL PD4 SOLUTION WITH 1.5% DEXTROSE AND 2.5 MEQ/L CALCIUM"	C0596235	Calcium ion	[u'elii', u'phsu']	[u'RXNORM']
"DIANEAL PD4 SOLUTION WITH 1.5% DEXTROSE AND 2.5 MEQ/L CALCIUM"	C0985452	Glucose 50 MG/ML	[u'clnd']	[u'RXNORM']
"GRANULOCYTE COLONY STIMULATING FACTOR"	C0009392	Colony-Stimulating Factors	[u'aapp', u'bacs']	[u'ATC']
