UTTERANCE	CUI	PT	ST	SOURCES
"GINSENG EXTRACT"	C1119918	Ginseng Preparation	[u'orch', u'phsu']	[u'RXNORM']
"CILASTATIN SODIUM (+) IMIPENEM"	C0282395	Cilastatin Sodium	[u'orch', u'phsu']	[u'RXNORM']
"CILASTATIN SODIUM (+) IMIPENEM"	C0020933	Imipenem	[u'antb', u'orch']	[u'RXNORM']
"TAE BULK 419 (FUSARIUM ROSEUM)"	C4476028	Gibberella zeae allergenic extract	[u'orch', u'phsu']	[u'RXNORM']
"IBANDRONIC ACID (IBANDRONIC ACID)"	C0379200	ibandronic acid	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"IBANDRONIC ACID (IBANDRONIC ACID)"	C0379200	ibandronic acid	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PROTONIX [PANTOPRAZOLE SODIUM SESQUIHYDRATE]"	C0876139	Protonix	[u'orch', u'phsu']	[u'RXNORM']
"PROTONIX [PANTOPRAZOLE SODIUM SESQUIHYDRATE]"	C0771929	pantoprazole (as pantoprazole sodium sesquihydrate)	[u'orch', u'phsu']	[u'RXNORM']
"TYLENOL NO 3"	C2351132	Acetaminophen / Codeine	[u'phsu']	[u'RXNORM']
"DIANEAL PD4 GLUCOSE 2,27 % W/V"	C0017725	Glucose	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"FEIBA 1000 U, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE"	C0082559	Feiba	[u'aapp', u'phsu']	[u'RXNORM']
"FEIBA 1000 U, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"CALCIUM, COLECALCIFEROL"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM, COLECALCIFEROL"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"CALCIUM, COLECALCIFEROL"	C0008318	Cholecalciferol	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"ANTICHOLINERGIC AGENTS"	C0242896	Anticholinergic Agents	[u'phsu']	[u'ATC']
"ISOSORBIDE MONOHYDRATE"	C0022251	Isosorbide	[u'orch', u'phsu']	[u'RXNORM']
"NEURONTIN                               /USA/"	C0678176	Neurontin	[u'orch', u'phsu']	[u'RXNORM']
"SAW PALMETTO STANDARDIZED EXTRACT"	C0771607	Saw palmetto extract	[u'orch', u'phsu']	[u'RXNORM']
"SAW PALMETTO STANDARDIZED EXTRACT"	C4082853	Serenoa repens whole extract	[u'orch', u'phsu']	[u'RXNORM']
"LIPANTHYL (FENOFIBRATE)"	C0700760	Lipanthyl	[u'orch', u'phsu']	[u'RXNORM']
"LIPANTHYL (FENOFIBRATE)"	C0033228	Fenofibrate	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"D-AMPHETAMINE SALT COMBO"	C0011812	Dextroamphetamine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"D-AMPHETAMINE SALT COMBO"	C0037494	Sodium Chloride	[u'bacs', u'inch', u'phsu']	[u'RXNORM', u'ATC']
"ALTACE HCT"	C0878061	Altace	[u'orch', u'phsu']	[u'RXNORM']
"BAYER ASPIRIN SUGAR FREE LOW DOSE ENTERIC"	C0718828	Bayer Aspirin	[u'orch', u'phsu']	[u'RXNORM']
"BAYER ASPIRIN SUGAR FREE LOW DOSE ENTERIC"	C0007004	Carbohydrates	[u'orch']	[u'ATC']
"BAYER ASPIRIN SUGAR FREE LOW DOSE ENTERIC"	C3665462	RAW SUGAR	[u'bodm', u'orch']	[u'RXNORM']
"MAALOX ANTACID WITH ANTI-GAS"	C0003138	Antacids	[u'phsu']	[u'ATC']
"MAALOX ANTACID WITH ANTI-GAS"	C0875962	Anti-Gas	[u'orch', u'phsu']	[u'RXNORM']
"MAALOX ANTACID WITH ANTI-GAS"	C0065461	Maalox	[u'inch', u'phsu']	[u'RXNORM']
"ENDOCRINE THERAPY"	C3540795	ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	[u'phsu']	[u'ATC']
JOHN'S WORT (HYPERICUM PERFORATUM)"	C0813171	ST. JOHN'S WORT EXTRACT	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
