UTTERANCE	CUI	PT	ST	SOURCES
"HYDROCODONE/APAP C III"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"HYDROCODONE/APAP C III"	C0020264	Hydrocodone	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"LOTRIMIN AF ATHLETE'S FOOT"	C0721439	Lotrimin AF	[u'orch', u'phsu']	[u'RXNORM']
"THYROID MEDICATION (UNSPECIFIED)"	C0279175	Thyroid preparations	[u'phsu']	[u'ATC']
"DICYCLOMINE HCL INJ"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"DICYCLOMINE HCL INJ"	C0591771	Dicyclomine Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"LEELOO 0.1 MG/ 0.02 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"PRAVACHOL (PRAVASTATIN SODIUM) (UNKNOWN)"	C0700763	Pravachol	[u'orch', u'phsu']	[u'RXNORM']
"PRAVACHOL (PRAVASTATIN SODIUM) (UNKNOWN)"	C0700474	Pravastatin Sodium	[u'orch', u'phsu']	[u'RXNORM']
"ATORVASTATINA CALCICA TEUTO"	C0286651	atorvastatin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"RILMENIDINE DIHYDROGEN PHOSPHATE"	C0771646	RILMENIDINE PHOSPHATE	[u'orch', u'phsu']	[u'RXNORM']
"BISOPROLOL FUMARATE+HYDROCHLOROTHIAZIDE"	C0717511	Bisoprolol / Hydrochlorothiazide	[u'phsu']	[u'RXNORM']
"BISOPROLOL FUMARATE+HYDROCHLOROTHIAZIDE"	C0543473	Bisoprolol Fumarate	[u'orch', u'phsu']	[u'RXNORM']
"TRIAMTERENE AND HYDROCHLOROTHIAZIDE CAPSULES, USP"	C1248268	Triamterene Oral Capsule	[u'clnd']	[u'RXNORM']
"TRIAMTERENE AND HYDROCHLOROTHIAZIDE CAPSULES, USP"	C0813211	hydrochlorothiazide-triamterene	[u'phsu']	[u'RXNORM']
"TRIAMTERENE AND HYDROCHLOROTHIAZIDE CAPSULES, USP"	C1244657	Hydrochlorothiazide Oral Capsule	[u'clnd']	[u'RXNORM']
