UTTERANCE	CUI	PT	ST	SOURCES
"UNSPECIFIED HEART PILL"	C0994475	Pills	[u'bodm']	[u'RXNORM']
"FISH OIL                           /01682401/"	C0016157	Fish Oils	[u'orch', u'phsu']	[u'RXNORM']
"SUCCINATE ER"	C0220918	succinate	[u'orch', u'phsu']	[u'RXNORM']
"EQUINE THYMOCYTE IMMUNE GLOBULIN"	C2756957	thymocyte immunoglobulin, equine	[u'aapp', u'imft', u'phsu']	[u'RXNORM']
"RAMIPRIL-ISIS"	C0072973	Ramipril	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DIANEAL LOW CALCIUM PERITONEA (2.5MEQ/L) L DIALYSIS SOLUTION WITH 1.5%"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"DIANEAL LOW CALCIUM PERITONEA (2.5MEQ/L) L DIALYSIS SOLUTION WITH 1.5%"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"CORTICOSTEROIDS (TRADE NAME UNKNOWN)"	C3539185	Corticosteroid nasal preparations for topical use	[u'orch', u'phsu']	[u'ATC']
"CORTICOSTEROIDS (TRADE NAME UNKNOWN)"	C3540725	Corticosteroid otologicals	[u'orch', u'phsu']	[u'ATC']
"CORTICOSTEROIDS (TRADE NAME UNKNOWN)"	C3540726	Corticosteroid ophthalmologic and otologic preparations	[u'orch', u'phsu']	[u'ATC']
"CORTICOSTEROIDS (TRADE NAME UNKNOWN)"	C3540727	Corticosteroids, topical for treatment of hemorrhoids and anal fissures	[u'orch', u'phsu']	[u'ATC']
"MONO TILDIEM LP 300 MG, G?LULE ? LIB?RATION PROLONG?E"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"MONO TILDIEM LP 300 MG, G?LULE ? LIB?RATION PROLONG?E"	C0590683	Tildiem	[u'orch', u'phsu']	[u'RXNORM']
"TUMS (MAGNESIUM TRISILICATE, MAGNESIUM CARBONATE)"	C0723950	Tums	[u'inch', u'phsu']	[u'RXNORM']
"TUMS (MAGNESIUM TRISILICATE, MAGNESIUM CARBONATE)"	C0065533	magnesium trisilicate	[u'inch', u'phsu']	[u'RXNORM']
"TUMS (MAGNESIUM TRISILICATE, MAGNESIUM CARBONATE)"	C0065517	magnesium carbonate	[u'inch', u'phsu']	[u'RXNORM', u'ATC']
"RITUXIMAB OR PLACEBO (RITUXIMAB) CONC FOR SOLUTION FOR INFUSION"	C1696465	placebo	[u'bodm']	[u'RXNORM']
"RITUXIMAB OR PLACEBO (RITUXIMAB) CONC FOR SOLUTION FOR INFUSION"	C0393022	rituximab	[u'aapp', u'imft', u'phsu']	[u'RXNORM', u'ATC']
"RITUXIMAB OR PLACEBO (RITUXIMAB) CONC FOR SOLUTION FOR INFUSION"	C0393022	rituximab	[u'aapp', u'imft', u'phsu']	[u'RXNORM', u'ATC']
"PROPRANOLOL HCL CR"	C0282321	Propranolol Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"FUTHAN (NAFAMOSTAT MESILATE) INJECTION"	C3645051	mesylate	[u'orch']	[u'RXNORM']
"FUTHAN (NAFAMOSTAT MESILATE) INJECTION"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"BUDEPRION 150 MG (NOT SPECIFIED)"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"BUDEPRION 150 MG (NOT SPECIFIED)"	C1615686	Budeprion	[u'orch', u'phsu']	[u'RXNORM']
"AMITRIPTYLINE HYDROCHLORIDE/PERPHENAZINE"	C0936105	Amitriptyline / Perphenazine	[u'phsu']	[u'RXNORM']
"SULFAMETHOXAZOLE + TMP"	C0038689	Sulfamethoxazole	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"FARMORUBICINE R.T.U."	C0701345	Ellence	[u'orch', u'phsu']	[u'RXNORM']
"RECOMBINANT PROTEIN OF HUMAN VEGF RECEPTORS (VEGFR1+VEGFR2)"	C0033684	Proteins	[u'aapp', u'bacs']	[u'RXNORM']
"ACETYLSALICYLIC ACID (ASPIRIN) (UNKNOWN)"	C0004057	Aspirin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ACETYLSALICYLIC ACID (ASPIRIN) (UNKNOWN)"	C0004057	Aspirin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
