UTTERANCE	CUI	PT	ST	SOURCES
"COAPROVEL 300 MG/25 MG, COMPRIME PELLICULE"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"SENNA-S /01035001/"	C3489575	sennosides, USP	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PIPERACILLIN/TAZOBACTAM (PIP/TAZO) (PIPERACILLIN SODIUM, TAZOBACTAM SODIUM)"	C0250480	piperacillin-tazobactam combination	[u'phsu']	[u'RXNORM']
"PIPERACILLIN/TAZOBACTAM (PIP/TAZO) (PIPERACILLIN SODIUM, TAZOBACTAM SODIUM)"	C0700463	Piperacillin Sodium	[u'antb', u'orch']	[u'RXNORM']
"PIPERACILLIN/TAZOBACTAM (PIP/TAZO) (PIPERACILLIN SODIUM, TAZOBACTAM SODIUM)"	C0724700	TAZOBACTAM SODIUM	[u'orch', u'phsu']	[u'RXNORM']
"AMINOSALICYLIC ACID BUFFERED TAB"	C0030125	aminosalicylic acid	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"AMINOSALICYLIC ACID BUFFERED TAB"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"GUGULIPID"	C0937628	GUGGUL LIPIDS	[u'orch', u'phsu']	[u'RXNORM']
"PROACTIV OIL FREE MOISTURIZER SPF 15"	C2948930	Proactiv	[u'orch', u'phsu']	[u'RXNORM']
"PROACTIV OIL FREE MOISTURIZER SPF 15"	C3541397	oil ingredients	[u'orch', u'phsu']	[u'ATC']
"MAGNESIUM SULPHATE                 /00167401/"	C0024480	Magnesium Sulfate	[u'inch', u'phsu']	[u'RXNORM', u'ATC']
"CYPROTERONE ACETATE+ETHINYLESTRADIOL"	C2928729	Cyproterone / Ethinyl Estradiol	[u'phsu']	[u'RXNORM']
"CYPROTERONE ACETATE+ETHINYLESTRADIOL"	C0000975	Acetate	[u'orch', u'phsu']	[u'RXNORM']
"PROAIR//FLUTICASONE PROPIONATE"	C0117996	Fluticasone propionate	[u'orch', u'phsu']	[u'RXNORM']
"PROAIR//FLUTICASONE PROPIONATE"	C1739179	ProAir	[u'orch', u'phsu']	[u'RXNORM']
"STRONG NEO-MINOPHAGEN C (AMINOACETIC ACID, GLYCYRRHIZIC ACID, CYSTEINE"	C0017890	Glycine	[u'aapp', u'bacs', u'phsu']	[u'RXNORM', u'ATC']
"STRONG NEO-MINOPHAGEN C (AMINOACETIC ACID, GLYCYRRHIZIC ACID, CYSTEINE"	C0061751	Glycyrrhizic Acid	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"STRONG NEO-MINOPHAGEN C (AMINOACETIC ACID, GLYCYRRHIZIC ACID, CYSTEINE"	C0010654	Cysteine	[u'aapp', u'bacs']	[u'RXNORM']
"LEUPLIN FOR INJECTION KIT 1.88"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"PLANTAIN"	C0939900	Plantain preparation	[u'orch', u'phsu']	[u'RXNORM']
"CALCIUM/MAGN"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM/MAGN"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"GLUCOPHAGE(METFORMIN HYDROCHLORIDE)"	C0591573	Glucophage	[u'orch', u'phsu']	[u'RXNORM']
"GLUCOPHAGE(METFORMIN HYDROCHLORIDE)"	C0770893	Metformin hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"BIEST CREAM"	C1378128	Cream	[u'bodm']	[u'RXNORM']
"AMOXICILLINE ACIDE CLAVULANIQUE"	C0055860	Clavulanic Acid	[u'antb', u'orch']	[u'RXNORM']
"AMOXICILLINE ACIDE CLAVULANIQUE"	C0002645	Amoxicillin	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"TENOFOVIR DF/EFAVIRENZ/EMTRICITABINE TABLETS 300/600/200MG"	C1252560	efavirenz Oral Tablet	[u'clnd']	[u'RXNORM']
"TENOFOVIR DF/EFAVIRENZ/EMTRICITABINE TABLETS 300/600/200MG"	C1099776	Tenofovir disoproxil fumarate	[u'nnon', u'phsu']	[u'RXNORM']
"TENOFOVIR DF/EFAVIRENZ/EMTRICITABINE TABLETS 300/600/200MG"	C0909839	emtricitabine	[u'nnon', u'phsu']	[u'RXNORM', u'ATC']
"PRANOPROFEN (PRANOPROFEN)"	C0072652	pyranoprofen	[u'orch', u'phsu']	[u'ATC']
"PRANOPROFEN (PRANOPROFEN)"	C0072652	pyranoprofen	[u'orch', u'phsu']	[u'ATC']
"CALCIUM D (ASCORBIC ACID, CALCIUM GLUCONATE, CALCIUM LACTATE, CALCIUM "	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM D (ASCORBIC ACID, CALCIUM GLUCONATE, CALCIUM LACTATE, CALCIUM "	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"CALCIUM D (ASCORBIC ACID, CALCIUM GLUCONATE, CALCIUM LACTATE, CALCIUM "	C0003968	Ascorbic Acid	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"CALCIUM D (ASCORBIC ACID, CALCIUM GLUCONATE, CALCIUM LACTATE, CALCIUM "	C0006699	Calcium Gluconate	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CALCIUM D (ASCORBIC ACID, CALCIUM GLUCONATE, CALCIUM LACTATE, CALCIUM "	C0108121	calcium lactate	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CALCIUM D (ASCORBIC ACID, CALCIUM GLUCONATE, CALCIUM LACTATE, CALCIUM "	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM D (ASCORBIC ACID, CALCIUM GLUCONATE, CALCIUM LACTATE, CALCIUM "	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"NINJIN'YOEITO"	C1119918	Ginseng Preparation	[u'orch', u'phsu']	[u'RXNORM']
"DAFLON 500 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"TRIBULUS TERRESTRIS ROOT"	C3267656	Tribulus terrestris root extract	[u'orch', u'phsu']	[u'RXNORM']
"BETA BLOCKERS (BETA BLOCKERS NOS)"	C0001645	Adrenergic beta-Antagonists	[u'phsu']	[u'ATC']
"BETA BLOCKERS (BETA BLOCKERS NOS)"	C0001645	Adrenergic beta-Antagonists	[u'phsu']	[u'ATC']
"PHOSPHALUGEL (ALUMINIUM PHOSPHATE GEL)"	C0017243	Gel	[u'bodm']	[u'RXNORM']
"PHOSPHALUGEL (ALUMINIUM PHOSPHATE GEL)"	C0051519	aluminum phosphate	[u'inch', u'phsu']	[u'RXNORM', u'ATC']
"MYDOCALM ^CHOAY LABS.^"	C0035100	Chymosin	[u'aapp', u'enzy']	[u'RXNORM']
"NICORETTE INVISIPATCH 25MG/16H"	C0701400	Nicorette	[u'orch', u'phsu']	[u'RXNORM']
"RIBELFAN (AMINOPHENAZONE, NOSCAPINE, QUININE, SULFAMETHOXYPYRIDAZINE)"	C0002586	Aminopyrine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"RIBELFAN (AMINOPHENAZONE, NOSCAPINE, QUININE, SULFAMETHOXYPYRIDAZINE)"	C0028426	Noscapine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"RIBELFAN (AMINOPHENAZONE, NOSCAPINE, QUININE, SULFAMETHOXYPYRIDAZINE)"	C0034417	Quinine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"RIBELFAN (AMINOPHENAZONE, NOSCAPINE, QUININE, SULFAMETHOXYPYRIDAZINE)"	C0038693	Sulfamethoxypyridazine	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"PMS-CARVEDILOL"	C0054836	carvedilol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"COMBIVENT (ALBUTEROL SULFATE, ALBUTEROL, IPRATROPIUM BROMIDE)"	C0591282	Combivent	[u'orch', u'phsu']	[u'RXNORM']
"COMBIVENT (ALBUTEROL SULFATE, ALBUTEROL, IPRATROPIUM BROMIDE)"	C0543495	Albuterol Sulfate	[u'orch', u'phsu']	[u'RXNORM']
"COMBIVENT (ALBUTEROL SULFATE, ALBUTEROL, IPRATROPIUM BROMIDE)"	C0001927	Albuterol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"COMBIVENT (ALBUTEROL SULFATE, ALBUTEROL, IPRATROPIUM BROMIDE)"	C0700580	Ipratropium Bromide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PANADOL ULTRA"	C0699141	Panadol	[u'orch', u'phsu']	[u'RXNORM']
"SELEN LOGES"	C0036581	Selenium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"TOR PLUS"	C0076836	Toremifene	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"EFFEXOR - SLOW RELEASE (VENLAFAXINE HYDROCHLORIDE)"	C0591437	Effexor	[u'orch', u'phsu']	[u'RXNORM']
"EFFEXOR - SLOW RELEASE (VENLAFAXINE HYDROCHLORIDE)"	C0771200	Venlafaxine hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"ELASPOL (SIVELESTAT) INJECTION"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"CONJUGATED ESTROGENS/MEDROXYPROGESTERONE ACETATE"	C0065864	medroxyprogesterone acetate	[u'horm', u'orch', u'phsu']	[u'RXNORM']
"CONJUGATED ESTROGENS/MEDROXYPROGESTERONE ACETATE"	C0014938	Estrogens, Conjugated (USP)	[u'horm', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"GM"	C3854019	Gentamicin	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"GRANDPA POWDER"	C0032861	Powder dose form	[u'bodm']	[u'RXNORM']
"IV IG"	C0021027	Immunoglobulins	[u'aapp', u'imft']	[u'ATC']
"IV IG"	C0360506	Intramuscular immunoglobulin	[u'aapp', u'imft', u'phsu']	[u'RXNORM']
"FENOTEROL HYDROBROMIDE W/IPRATROPIU/00616101/"	C0700453	Fenoterol Hydrobromide	[u'orch', u'phsu']	[u'RXNORM']
"FRUBIASE CALCIUM"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"FRUBIASE CALCIUM"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"EX-LAX REG STR CHOCOLATED LAX PCS SEN (NCH) (SENNA GLYCOSIDES (CA SALT"	C0720321	Ex-Lax Chocolated	[u'orch', u'phsu']	[u'RXNORM']
"EX-LAX REG STR CHOCOLATED LAX PCS SEN (NCH) (SENNA GLYCOSIDES (CA SALT"	C3489575	sennosides, USP	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"EX-LAX REG STR CHOCOLATED LAX PCS SEN (NCH) (SENNA GLYCOSIDES (CA SALT"	C0037494	Sodium Chloride	[u'bacs', u'inch', u'phsu']	[u'RXNORM', u'ATC']
"ENEMA CASEN                        /01858901/"	C0993595	Enema	[u'bodm']	[u'RXNORM']
"NALOXONE HYDROCHLORIDE\OXYCODONE HYDROCHLORIDE"	C0282274	Oxycodone Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"NALOXONE HYDROCHLORIDE\OXYCODONE HYDROCHLORIDE"	C0700549	Naloxone Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"MACROGOL;POTASSIUM CHLORIDE;SODIUM BICARBONATE;SODIUM CHLORIDE"	C0032483	Polyethylene Glycols	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"MACROGOL;POTASSIUM CHLORIDE;SODIUM BICARBONATE;SODIUM CHLORIDE"	C0032825	Potassium Chloride	[u'inch', u'phsu']	[u'RXNORM', u'ATC']
"MACROGOL;POTASSIUM CHLORIDE;SODIUM BICARBONATE;SODIUM CHLORIDE"	C0074722	Sodium Bicarbonate	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"MACROGOL;POTASSIUM CHLORIDE;SODIUM BICARBONATE;SODIUM CHLORIDE"	C0037494	Sodium Chloride	[u'bacs', u'inch', u'phsu']	[u'RXNORM', u'ATC']
"AMPICILLIN SODIUM, SULBACTAM SODIUM"	C0282052	Ampicillin Sodium	[u'antb', u'orch']	[u'RXNORM']
"AMPICILLIN SODIUM, SULBACTAM SODIUM"	C0282355	Sulbactam Sodium	[u'antb', u'orch']	[u'RXNORM']
"METFORMIN HYDROCHLORIDE (+) SITAGLIPTIN PHOSPHATE"	C0770893	Metformin hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"METFORMIN HYDROCHLORIDE (+) SITAGLIPTIN PHOSPHATE"	C1667080	sitagliptin phosphate	[u'orch', u'phsu']	[u'RXNORM']
"GUAIFENESIN (GUAIFENESIN L.A.)"	C0018305	Guaifenesin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"GUAIFENESIN (GUAIFENESIN L.A.)"	C0018305	Guaifenesin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"QUETIAPIN ABZ 50 MG RETARDTABLETTEN"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"JAMP-CALCIUM"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"JAMP-CALCIUM"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"CARBOPLATIN W/ETOPOSIDE/IFOSFAMIDE"	C0020823	Ifosfamide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CARBOPLATIN W/ETOPOSIDE/IFOSFAMIDE"	C0015133	Etoposide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CARBOPLATIN W/ETOPOSIDE/IFOSFAMIDE"	C0079083	Carboplatin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ENTERONON R (STREPTOCOCCUS FAECALIS, LACTOBACILLUS ACIDOPHILUS, STREPT"	C0038404	Enterococcus faecalis	[u'bact']	[u'RXNORM']
"ENTERONON R (STREPTOCOCCUS FAECALIS, LACTOBACILLUS ACIDOPHILUS, STREPT"	C0022939	Lactobacillus acidophilus	[u'bact']	[u'RXNORM']
"FEXOFENADINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE"	C0304430	Pseudoephedrine Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"FEXOFENADINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE"	C0771752	Fexofenadine hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"SPIRONOLACTONE/ALTIZIDE"	C0051500	althiazide	[u'orch', u'phsu']	[u'RXNORM']
"SPIRONOLACTONE/ALTIZIDE"	C0037982	Spironolactone	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PHYLLOQUINONE"	C0031862	Vitamin K 1	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"MARY'S MAGIC MOUTHWASH"	C0026647	Mouthwash	[u'bodm']	[u'RXNORM']
"RADI K"	C0597277	Potassium Ion	[u'elii', u'phsu']	[u'RXNORM']
"ZYRTEC (CETIRIZINE HYDROCHLORIDE) TABLET"	C0162723	Zyrtec	[u'orch', u'phsu']	[u'RXNORM']
"ZYRTEC (CETIRIZINE HYDROCHLORIDE) TABLET"	C0700480	cetirizine hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"ZYRTEC (CETIRIZINE HYDROCHLORIDE) TABLET"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"RIFAMPICIN + ISONIAZID + PYRAZINAMIDE + ETHAMBUTOL"	C0014964	Ethambutol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"RIFAMPICIN + ISONIAZID + PYRAZINAMIDE + ETHAMBUTOL"	C0717871	isoniazid / Pyrazinamide / Rifampin	[u'phsu']	[u'RXNORM']
