UTTERANCE	CUI	PT	ST	SOURCES
"CODEINE PHOSPHATE/IBUPROFEN"	C0359620	Codeine / Ibuprofen	[u'phsu']	[u'RXNORM']
"CODEINE PHOSPHATE/IBUPROFEN"	C0009217	Codeine Phosphate	[u'orch', u'phsu']	[u'RXNORM']
"IRON SALTS"	C0302583	Iron	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"IRON SALTS"	C0037494	Sodium Chloride	[u'bacs', u'inch', u'phsu']	[u'RXNORM', u'ATC']
"FROVA (ALL OTHER THERAPEUTIC PRODUCTS)"	C1099778	Frova	[u'orch', u'phsu']	[u'RXNORM']
"BAKTAR COMBINATION TABLETS"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"TARGIN - 5 MG/2,5 MG COMPRESSE A RILASCIO PROLUNGATO"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"TARGIN - 5 MG/2,5 MG COMPRESSE A RILASCIO PROLUNGATO"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"ST JOHN'S WORT HYPERICUM 2000 + L-TYROSINE"	C0041485	Tyrosine	[u'aapp', u'bacs', u'phsu']	[u'RXNORM']
"ST JOHN'S WORT HYPERICUM 2000 + L-TYROSINE"	C0813171	ST. JOHN'S WORT EXTRACT	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DELFLEX WITH DEXTROSE 4.25%"	C0017725	Glucose	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ALLO-CT"	C0002144	Allopurinol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ROCEPHIN ANTIBIOTIC THERAPY"	C0035750	Rocephin	[u'antb', u'orch']	[u'RXNORM']
"CAFFEINE/CODEINE/PARACETAMOL"	C0360470	Acetaminophen / Caffeine	[u'phsu']	[u'RXNORM']
"CAFFEINE/CODEINE/PARACETAMOL"	C2351132	Acetaminophen / Codeine	[u'phsu']	[u'RXNORM']
"CHLOR TABS"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"TYLENOL W/CODEINE (PANADEINE CO)"	C0724034	Tylenol with Codeine	[u'orch', u'phsu']	[u'RXNORM']
"DISPRIN (ACETYLSALICYLIC ACID)"	C0004057	Aspirin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DIASTASE NATURAL AGENTS COMBINED DRUG"	C0002712	Amylases	[u'aapp', u'enzy', u'phsu']	[u'RXNORM', u'ATC']
"DIASTASE NATURAL AGENTS COMBINED DRUG"	C3853624	alpha-amylase	[u'aapp', u'enzy', u'phsu']	[u'RXNORM']
"NASAL CORT"	C0010137	Cortisone	[u'horm', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"BACITRACIN ZINC (+) POLYMYXIN B SULFATE"	C0043483	bacitracin zinc	[u'aapp', u'antb']	[u'RXNORM']
"BACITRACIN ZINC (+) POLYMYXIN B SULFATE"	C0001714	Polymyxin B Sulfate	[u'aapp', u'antb']	[u'RXNORM']
"POTASSIUM (UNSPECIFIED) (+) SODIUM (UNSPECIFIED)"	C0032821	Potassium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"POTASSIUM (UNSPECIFIED) (+) SODIUM (UNSPECIFIED)"	C0304475	Potassium supplement	[u'inch', u'phsu']	[u'ATC']
"POTASSIUM (UNSPECIFIED) (+) SODIUM (UNSPECIFIED)"	C0597277	Potassium Ion	[u'elii', u'phsu']	[u'RXNORM']
"POTASSIUM (UNSPECIFIED) (+) SODIUM (UNSPECIFIED)"	C0037473	Sodium	[u'bacs', u'elii']	[u'RXNORM']
"POTASSIUM (UNSPECIFIED) (+) SODIUM (UNSPECIFIED)"	C0597484	Sodium Cation	[u'elii']	[u'RXNORM']
"POTASSIUM (UNSPECIFIED) (+) SODIUM (UNSPECIFIED)"	C3541959	Sodium supplements	[u'phsu']	[u'ATC']
"TAZOCIN (PIP/TAZO) (PIPERACILLIN SODIUM, TAZOBACTAM SODIUM)"	C0075870	tazobactam	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"TAZOCIN (PIP/TAZO) (PIPERACILLIN SODIUM, TAZOBACTAM SODIUM)"	C0700463	Piperacillin Sodium	[u'antb', u'orch']	[u'RXNORM']
"TAZOCIN (PIP/TAZO) (PIPERACILLIN SODIUM, TAZOBACTAM SODIUM)"	C0724700	TAZOBACTAM SODIUM	[u'orch', u'phsu']	[u'RXNORM']
"BACITRACIN ZINC, NEOMYCIN, POLYMYXIN B"	C0043483	bacitracin zinc	[u'aapp', u'antb']	[u'RXNORM']
"BACITRACIN ZINC, NEOMYCIN, POLYMYXIN B"	C0027603	Neomycin	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"BACITRACIN ZINC, NEOMYCIN, POLYMYXIN B"	C0032535	Polymyxin B	[u'aapp', u'antb']	[u'RXNORM', u'ATC']
"O2 [OXYGEN]"	C0030054	Oxygen	[u'bacs', u'elii', u'phsu']	[u'RXNORM', u'ATC']
"O2 [OXYGEN]"	C0030054	Oxygen	[u'bacs', u'elii', u'phsu']	[u'RXNORM', u'ATC']
"SMECTA//DIOSMECTITE"	C0163748	Diosmectite	[u'inch', u'phsu']	[u'ATC']
"UNSPECIFIED DIURETIC (DIURETICS)"	C0012798	Diuretics	[u'phsu']	[u'ATC']
"UNSPECIFIED DIURETIC (DIURETICS)"	C0012798	Diuretics	[u'phsu']	[u'ATC']
"B12 COMPLEX (CYANOCOBALAMIN, VITAMIN B COMPLEX)"	C0042845	Vitamin B 12	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"B12 COMPLEX (CYANOCOBALAMIN, VITAMIN B COMPLEX)"	C0016410	Folic Acid	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"B12 COMPLEX (CYANOCOBALAMIN, VITAMIN B COMPLEX)"	C0042849	Vitamin B Complex	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"HOMATROPINE HBR"	C0770458	Homatropine hydrobromide	[u'orch', u'phsu']	[u'RXNORM']
"VITAMIN D3?FOLIC ACID"	C0016410	Folic Acid	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"VITAMIN D3?FOLIC ACID"	C0008318	Cholecalciferol	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"VITAMIN D3?FOLIC ACID"	C3265062	vitamin D3	[u'orch', u'phsu']	[u'RXNORM']
"RECOMBINANT FACTOR XIII HUMAN"	C0015528	factor XIII	[u'aapp', u'enzy', u'phsu']	[u'RXNORM', u'ATC']
"SOLPADOL [CODEINE PHOSPHATE;PARACETAMOL]"	C0009217	Codeine Phosphate	[u'orch', u'phsu']	[u'RXNORM']
"SOLPADOL [CODEINE PHOSPHATE;PARACETAMOL]"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"UNKNOWN ANTIDEPRESSANT (ANTIDEPRESSANTS)"	C0003289	Antidepressive Agents	[u'phsu']	[u'ATC']
"UNKNOWN ANTIDEPRESSANT (ANTIDEPRESSANTS)"	C0003289	Antidepressive Agents	[u'phsu']	[u'ATC']
"SIMPLE EYE OINTMENT"	C0304651	Ophthalmic Ointment	[u'bodm']	[u'RXNORM']
"HJERTEMAGNYL//ACETYLSALICYLIC ACID"	C0004057	Aspirin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DEXTROMETHORPHAN W/PARACETAMOL/PSEU/08434101/"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DEXTROMETHORPHAN W/PARACETAMOL/PSEU/08434101/"	C0011816	Dextromethorphan	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"BAYER PLUS EXTRA STRENGTH"	C0720348	Extra Strength Bayer	[u'orch', u'phsu']	[u'RXNORM']
"DEXTROL LA"	C0023031	Lanthanum	[u'elii', u'phsu']	[u'RXNORM']
"DEXTROL LA"	C0023749	Linoleic Acid	[u'bacs', u'orch', u'phsu']	[u'RXNORM']
"ACETYLSALCYLIC ACID (ACETYLSALICYLIC ACID)"	C0004057	Aspirin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SERENASE [LORAZEPAM]"	C0024002	Lorazepam	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"OMEPRAZEN 20 MG CAPSULE RIGIDE GASTRORESISTENTI"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
