UTTERANCE	CUI	PT	ST	SOURCES
"SINEMET - 250 MG + 25 MG COMPRESSE"	C0074559	Sinemet	[u'orch', u'phsu']	[u'RXNORM']
"SINEMET - 250 MG + 25 MG COMPRESSE"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"NEW LULU GOLD"	C0018026	Gold	[u'elii', u'phsu']	[u'RXNORM']
"I-LYSINE"	C0024337	Lysine	[u'aapp', u'bacs', u'phsu']	[u'RXNORM', u'ATC']
"ACETAMNOPHEN/HYDROCODONE"	C0020264	Hydrocodone	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"URSODESOXYCHOLIC ACID (URSODEOXYCHOLIC ACID)"	C0042105	Ursodiol	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"URSODESOXYCHOLIC ACID (URSODEOXYCHOLIC ACID)"	C0042105	Ursodiol	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"MIRTAZAPIN HEXAL "	C0049506	Mirtazapine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"AMBIEN (ZOLIPDEM TARTRATE)"	C0487782	Ambien	[u'orch', u'phsu']	[u'RXNORM']
"AMBIEN (ZOLIPDEM TARTRATE)"	C0144544	tartrate	[u'orch', u'phsu']	[u'RXNORM']
"PANTOPRAZOL CINFA"	C0081876	pantoprazole	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"APOTEL (PARACETAMOL)"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"OLIGOSOL PHOSPHORE"	C0031705	Phosphorus	[u'elii']	[u'RXNORM']
"LEVONORGESTREL+ETHINYLESTRADIOL 150/30 ?G FILM COATED TABLET"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"LEVONORGESTREL+ETHINYLESTRADIOL 150/30 ?G FILM COATED TABLET"	C0015011	Ethinyl Estradiol	[u'horm', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"LEVONORGESTREL+ETHINYLESTRADIOL 150/30 ?G FILM COATED TABLET"	C0023566	Levonorgestrel	[u'horm', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ASCORBIC ACID/BIOTIN/MINERALS NOS/NICOTINIC ACID/RETINOL/TOCOPHEROL/VITAMIN B NOS/VITAMIN D NOS"	C0310589	Vitamin A / Vitamin D	[u'phsu']	[u'RXNORM']
"ASCORBIC ACID/BIOTIN/MINERALS NOS/NICOTINIC ACID/RETINOL/TOCOPHEROL/VITAMIN B NOS/VITAMIN D NOS"	C2929326	Ascorbic Acid / Biotin	[u'phsu']	[u'RXNORM']
"ASCORBIC ACID/BIOTIN/MINERALS NOS/NICOTINIC ACID/RETINOL/TOCOPHEROL/VITAMIN B NOS/VITAMIN D NOS"	C0027996	Niacin	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"ASCORBIC ACID/BIOTIN/MINERALS NOS/NICOTINIC ACID/RETINOL/TOCOPHEROL/VITAMIN B NOS/VITAMIN D NOS"	C0042849	Vitamin B Complex	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"ASCORBIC ACID/BIOTIN/MINERALS NOS/NICOTINIC ACID/RETINOL/TOCOPHEROL/VITAMIN B NOS/VITAMIN D NOS"	C0042874	Vitamin E	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"ASCORBIC ACID/BIOTIN/MINERALS NOS/NICOTINIC ACID/RETINOL/TOCOPHEROL/VITAMIN B NOS/VITAMIN D NOS"	C3255108	Tocopherol	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"KROGER FRUIT WAVE NICOTINE GUM, 4MG"	C0599654	Nicotine Chewing Gum	[u'clnd']	[u'RXNORM']
"PIMARCIN 1% OPHTHALMIC SUSPENSION [SENJUA?] (PIMARICIN)"	C0991532	Ophthalmic Suspension	[u'bodm']	[u'RXNORM']
"PIMARCIN 1% OPHTHALMIC SUSPENSION [SENJUA?] (PIMARICIN)"	C0027444	Natamycin	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"BESACOLIN POWDER"	C0032861	Powder dose form	[u'bodm']	[u'RXNORM']
"ALBUTEROL AS NEEDED"	C0001927	Albuterol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ALBUTEROL AS NEEDED"	C0052432	artesunate	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"LOPRESOR DIVITABS"	C0700776	Lopressor	[u'orch', u'phsu']	[u'RXNORM']
"OPIATE AND OPIOID ANALGESIC (NOS)"	C0002772	Analgesics, Opioid	[u'orch', u'phsu']	[u'ATC']
"FLUOXETINE HCL(FLUOXETINE HYDROCHLORIDE)"	C0733380	Fluoxetine Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"FLUOXETINE HCL(FLUOXETINE HYDROCHLORIDE)"	C0733380	Fluoxetine Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"CELEBREX/CELECOXIB"	C0538927	celecoxib	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CELEBREX/CELECOXIB"	C0719198	Celebrex	[u'orch', u'phsu']	[u'RXNORM']
"CLIMACTERON INJ"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"BAYASPIRIN(ACETYLSALICYLIC ACID)"	C0004057	Aspirin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ATORVASTATINA ABC"	C0663655	abacavir	[u'nnon', u'phsu']	[u'RXNORM', u'ATC']
"ATORVASTATINA ABC"	C0286651	atorvastatin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CARBASALAATCALCIUM ZAKJE (POEDER), 100 MG (MILLIGRAM)"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"UNASYN-S (SULBACTAM SODIUM_AMPICILLIN SODIUM)"	C0147814	Unasyn	[u'antb', u'orch']	[u'RXNORM']
"UNASYN-S (SULBACTAM SODIUM_AMPICILLIN SODIUM)"	C0282052	Ampicillin Sodium	[u'antb', u'orch']	[u'RXNORM']
"UNASYN-S (SULBACTAM SODIUM_AMPICILLIN SODIUM)"	C0282355	Sulbactam Sodium	[u'antb', u'orch']	[u'RXNORM']
"REGLAN/USA/(METOCLOPRAMIDE HYDROCHLORIDE)"	C0034977	Reglan	[u'orch', u'phsu']	[u'RXNORM']
"REGLAN/USA/(METOCLOPRAMIDE HYDROCHLORIDE)"	C0887128	Metoclopramide Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"AVANDIA (ROSIGLITAZONE MALEATE) TABLET"	C0875967	Avandia	[u'orch', u'phsu']	[u'RXNORM']
"AVANDIA (ROSIGLITAZONE MALEATE) TABLET"	C0795660	Rosiglitazone maleate	[u'orch', u'phsu']	[u'RXNORM']
"AVANDIA (ROSIGLITAZONE MALEATE) TABLET"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"CEFOPERAZONE SODIUM-SULBACTAM SODIUM"	C0282355	Sulbactam Sodium	[u'antb', u'orch']	[u'RXNORM']
"CEFOPERAZONE SODIUM-SULBACTAM SODIUM"	C0733367	Cefoperazone Sodium	[u'antb', u'orch']	[u'RXNORM']
"CRANBERRY (OTHER THERAPEUTIC PRODUCTS)"	C0453273	Cranberry preparation	[u'orch', u'phsu']	[u'RXNORM']
"CYANOCOBALMIN (CYANOCOBALAMIN)"	C0042845	Vitamin B 12	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"OMEPRAZOL BMM"	C0028978	Omeprazole	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"TRANSAMIN TABLETS"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"BETAFERON (INTERFERON BETA 1B)"	C0592527	Betaferon	[u'aapp', u'phsu']	[u'RXNORM']
"BETAFERON (INTERFERON BETA 1B)"	C0244713	interferon beta-1b	[u'aapp', u'imft', u'phsu']	[u'RXNORM', u'ATC']
"INDIGOCARMINE"	C0021219	Indigo Carmine	[u'chvf', u'orch']	[u'RXNORM', u'ATC']
"(PHENOBARBITONE /00023201/)"	C0031412	Phenobarbital	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"EUPHYTOSE (BALLOTI EXTRACT, CRATAEGUS EXTRACT, KOLA, PASSIFLORA EXTRAC"	C0056464	crataegus extract	[u'bacs', u'phsu']	[u'RXNORM']
"EUPHYTOSE (BALLOTI EXTRACT, CRATAEGUS EXTRACT, KOLA, PASSIFLORA EXTRAC"	C3255598	Hawthorn leaf with flower extract	[u'orch', u'phsu']	[u'RXNORM']
"ORAL BIRTH CONTROL PILLS"	C0994475	Pills	[u'bodm']	[u'RXNORM']
"REPHRESH (CARBOMER\GLYCERIN\POLYCARBOPHIL)"	C0017861	Glycerin	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"REPHRESH (CARBOMER\GLYCERIN\POLYCARBOPHIL)"	C0770624	Carbomer	[u'bodm', u'orch']	[u'RXNORM']
"OMEPRAZOL//OMEPRAZOLE SODIUM"	C0771315	Omeprazole Sodium	[u'orch', u'phsu']	[u'RXNORM']
"OMEPRAZOL//OMEPRAZOLE SODIUM"	C0028978	Omeprazole	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ORTHOMOL IMMUN PRO"	C0033382	Proline	[u'aapp', u'bacs']	[u'RXNORM']
"MILK THISTLE (SILYBUM MARIANUM) (SILYBUM MARIANUM)"	C0872906	MILK THISTLE SEED EXTRACT	[u'orch', u'phsu']	[u'RXNORM']
"MILK THISTLE (SILYBUM MARIANUM) (SILYBUM MARIANUM)"	C0937640	Milk thistle extract	[u'orch', u'phsu']	[u'RXNORM']
"MILK THISTLE (SILYBUM MARIANUM) (SILYBUM MARIANUM)"	C0937640	Milk thistle extract	[u'orch', u'phsu']	[u'RXNORM']
"MILK THISTLE (SILYBUM MARIANUM) (SILYBUM MARIANUM)"	C0937640	Milk thistle extract	[u'orch', u'phsu']	[u'RXNORM']
"ACETAMINOPHEN AND CARBINOXAMINE MALEATE AND PHENYLEPHRINE HYDROCHLORID"	C0717371	Acetaminophen / Phenylephrine	[u'phsu']	[u'RXNORM']
