UTTERANCE	CUI	PT	ST	SOURCES
"SOLUMEDROL 125MG NOVOPLUS"	C0701466	Solu-Medrol	[u'orch', u'phsu']	[u'RXNORM']
"ECHINACEA GOLDEN"	C0752270	Echinacea Preparation	[u'orch', u'phsu']	[u'RXNORM']
"SENNOSIDE (TA)"	C3489575	sennosides, USP	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SENNOSIDE (TA)"	C0039297	Tantalum	[u'elii']	[u'RXNORM']
"TRIATEC /00116401/ (CODEINE PHOSPHATE, PARACETAMOL)"	C0878061	Altace	[u'orch', u'phsu']	[u'RXNORM']
"TRIATEC /00116401/ (CODEINE PHOSPHATE, PARACETAMOL)"	C0009217	Codeine Phosphate	[u'orch', u'phsu']	[u'RXNORM']
"TRIATEC /00116401/ (CODEINE PHOSPHATE, PARACETAMOL)"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"BECLOMETASONE DIPROPIONATE INHALATION, 0.04 MG AND 0.08 MG"	C0004906	Beclomethasone Dipropionate	[u'orch', u'phsu']	[u'RXNORM']
"BECLOMETASONE DIPROPIONATE INHALATION, 0.04 MG AND 0.08 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"LISNOPRIL-HCTZ"	C0020261	Hydrochlorothiazide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"LUBRICATING EYE GEL"	C0991531	Ophthalmic Gel	[u'bodm']	[u'RXNORM']
"BLINDED VOCLOSPORIN"	C2607219	voclosporin	[u'aapp', u'phsu']	[u'ATC']
"AMOXICILLIN / CLAV K"	C0597277	Potassium Ion	[u'elii', u'phsu']	[u'RXNORM']
"AMOXICILLIN / CLAV K"	C0002645	Amoxicillin	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"LOBLOLLY PINE"	C0872909	pine bark extract	[u'orch', u'phsu']	[u'RXNORM']
"CORTICOSTEROIDS (STEROIDS)"	C3539185	Corticosteroid nasal preparations for topical use	[u'orch', u'phsu']	[u'ATC']
"CORTICOSTEROIDS (STEROIDS)"	C3540725	Corticosteroid otologicals	[u'orch', u'phsu']	[u'ATC']
"CORTICOSTEROIDS (STEROIDS)"	C3540726	Corticosteroid ophthalmologic and otologic preparations	[u'orch', u'phsu']	[u'ATC']
"CORTICOSTEROIDS (STEROIDS)"	C3540727	Corticosteroids, topical for treatment of hemorrhoids and anal fissures	[u'orch', u'phsu']	[u'ATC']
"BUP-4 (PROPIVERINE HYDROCHLORIDE) (TABLETS)"	C0085208	Bupropion	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"BUP-4 (PROPIVERINE HYDROCHLORIDE) (TABLETS)"	C0138667	Propiverine hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"BUP-4 (PROPIVERINE HYDROCHLORIDE) (TABLETS)"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"GYNO-CANESTEN"	C0699669	Canesten	[u'orch', u'phsu']	[u'RXNORM']
"METHOTREXATE SODIUM (PF)"	C0949359	Methotrexate Sodium	[u'orch', u'phsu']	[u'RXNORM']
"COSOPT PLUS"	C0719542	Cosopt	[u'orch', u'phsu']	[u'RXNORM']
"IV VERSED"	C0042553	Versed	[u'orch', u'phsu']	[u'RXNORM']
"COMBIPATCH (KLIOGEST /00686201/)"	C0719447	Combipatch	[u'horm', u'orch', u'phsu']	[u'RXNORM']
"WELLBUTRIN/WELLBUTRIN SR"	C0085934	Wellbutrin	[u'orch', u'phsu']	[u'RXNORM']
"LOVAZA 1 GM"	C3854019	Gentamicin	[u'antb', u'orch']	[u'RXNORM', u'ATC']
