UTTERANCE	CUI	PT	ST	SOURCES
"PARACETAMOL SUPPOSITORY"	C0038854	Suppository	[u'bodm']	[u'RXNORM']
"PARACETAMOL SUPPOSITORY"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"LOSARTAN ^BLUEFISH^"	C0126174	Losartan	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"TYLENOL/MOTRIN"	C2047874	Acetaminophen / Ibuprofen	[u'phsu']	[u'RXNORM']
"LAMOTRIGENE 100 MG TEVA"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"CEFOTAXIM VILLERTON"	C0007554	Cefotaxime	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"OMEGA 3.6.9"	C0015689	Omega-3 Fatty Acids	[u'bacs', u'orch', u'phsu']	[u'RXNORM']
"FISH OIL-OMEGA-3-VIT D"	C0042866	Vitamin D	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"FISH OIL-OMEGA-3-VIT D"	C0015689	Omega-3 Fatty Acids	[u'bacs', u'orch', u'phsu']	[u'RXNORM']
"FISH OIL-OMEGA-3-VIT D"	C0016157	Fish Oils	[u'orch', u'phsu']	[u'RXNORM']
"ASCORBATE DE CALCIUM RICHARD       /00008004/"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"ASCORBATE DE CALCIUM RICHARD       /00008004/"	C0178487	Ascorbate	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"ASCORBATE DE CALCIUM RICHARD       /00008004/"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"FLORAZONE (CARDIOSPERMUM TINCTURE)"	C0991583	Tincture	[u'bodm']	[u'RXNORM']
"L?THYROX JOD"	C0021968	Iodine	[u'bacs', u'elii', u'phsu']	[u'RXNORM', u'ATC']
"L?THYROX JOD"	C0939731	Thyrox	[u'aapp', u'phsu']	[u'RXNORM']
"MLN/PLACEBO"	C1696465	placebo	[u'bodm']	[u'RXNORM']
"SERETIDE AEROSOL 25/250MCG/DO CFKVR SPBS 120DO+INH"	C1112870	Aerosol Dose Form	[u'bodm']	[u'RXNORM']
"SERETIDE AEROSOL 25/250MCG/DO CFKVR SPBS 120DO+INH"	C0022209	isoniazid	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SILVER (SILVER)"	C0037125	Silver	[u'elii']	[u'ATC']
"SILVER (SILVER)"	C0947651	Silver preparation	[u'phsu']	[u'RXNORM']
"SILVER (SILVER)"	C0037125	Silver	[u'elii']	[u'ATC']
"SILVER (SILVER)"	C0947651	Silver preparation	[u'phsu']	[u'RXNORM']
"METROPROLOL SUCCINATE EXTENDED RELEASE"	C0220918	succinate	[u'orch', u'phsu']	[u'RXNORM']
"DOCETAXEL  80MG/ML  AVENTIS"	C0246415	docetaxel	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"OTC VITAMIN B"	C0042849	Vitamin B Complex	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"ORRIS ROOT"	C4541186	Iris germanica var. florentina root extract	[u'orch']	[u'RXNORM']
"VOLTAREN GEL DICLOFENAC SODIUM"	C0700583	Diclofenac Sodium	[u'orch', u'phsu']	[u'RXNORM']
"VOLTAREN GEL DICLOFENAC SODIUM"	C0017243	Gel	[u'bodm']	[u'RXNORM']
"VOLTAREN GEL DICLOFENAC SODIUM"	C0699958	Voltaren	[u'orch', u'phsu']	[u'RXNORM']
"LASIX (TA)"	C0699992	Lasix	[u'orch', u'phsu']	[u'RXNORM']
"LASIX (TA)"	C0039297	Tantalum	[u'elii']	[u'RXNORM']
"XYZALL 5 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"FLUNARIZINA"	C0016295	Flunarizine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SPRING VALLEY IRON"	C0302583	Iron	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"HERCEPTIN - 600 MG/5 ML SOLUZIONE INIETTABILE"	C0338204	Herceptin	[u'aapp', u'imft', u'phsu']	[u'RXNORM']
