UTTERANCE	CUI	PT	ST	SOURCES
"ACIDO CLODRONICO"	C0012081	Clodronic Acid	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"KETOROLAC TROMETHAMINE INJECTION, USP"	C4050976	Ketorolac Injection	[u'clnd']	[u'RXNORM']
"KETOROLAC TROMETHAMINE INJECTION, USP"	C4307249	Tromethamine Injection	[u'clnd']	[u'RXNORM']
"KETOROLAC TROMETHAMINE INJECTION, USP"	C0064326	Ketorolac Tromethamine	[u'orch', u'phsu']	[u'RXNORM']
"LOMOTIL (ATRIPINE SULFATE, DIPHENOXYLATE HYDROCHLORIDE)"	C0065164	Lomotil	[u'orch', u'phsu']	[u'RXNORM']
"LOMOTIL (ATRIPINE SULFATE, DIPHENOXYLATE HYDROCHLORIDE)"	C3536965	Sulfate Ion	[u'elii', u'phsu']	[u'RXNORM']
"LOMOTIL (ATRIPINE SULFATE, DIPHENOXYLATE HYDROCHLORIDE)"	C0282145	Diphenoxylate Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"REISHI                             /01703601/"	C1095914	Reishi mushroom preparation	[u'orch', u'phsu']	[u'RXNORM']
"MULTI HEALTH FIBER"	C0225326	Fiber	[u'orch', u'phsu']	[u'RXNORM']
"HYDROCODONE W/AMITTRIPTOLENE"	C0020264	Hydrocodone	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PROCHLORPRAZINE MALEATE (TABLETS)"	C0220874	Maleate	[u'orch']	[u'RXNORM']
"PROCHLORPRAZINE MALEATE (TABLETS)"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"CARVEDIOL 25 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"SILDENAFIL CITRATE TAB 20MG"	C0724693	Sildenafil citrate	[u'orch', u'phsu']	[u'RXNORM']
"SILDENAFIL CITRATE TAB 20MG"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
