UTTERANCE	CUI	PT	ST	SOURCES
"ALDACTONE /00006201/ (SPIRONOLACTONE) FILM-COATED TABLET"	C0591054	Aldactone	[u'orch', u'phsu']	[u'RXNORM']
"ALDACTONE /00006201/ (SPIRONOLACTONE) FILM-COATED TABLET"	C0037982	Spironolactone	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ALDACTONE /00006201/ (SPIRONOLACTONE) FILM-COATED TABLET"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"SPIRONOLACTONE-HCTZ 25-25"	C0020261	Hydrochlorothiazide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SPIRONOLACTONE-HCTZ 25-25"	C0037982	Spironolactone	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"BEZATOL SR       (BEZAFIBRATE)"	C0005330	Bezafibrate	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"OXAZEPAM CAPSULES USP, 15 MG (PUREPAC) (OXAZEPAM CAPSULES USP, 15 MG ("	C1247236	Oxazepam Oral Capsule	[u'clnd']	[u'RXNORM']
"OXAZEPAM CAPSULES USP, 15 MG (PUREPAC) (OXAZEPAM CAPSULES USP, 15 MG ("	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"OXAZEPAM CAPSULES USP, 15 MG (PUREPAC) (OXAZEPAM CAPSULES USP, 15 MG ("	C1247236	Oxazepam Oral Capsule	[u'clnd']	[u'RXNORM']
"OXAZEPAM CAPSULES USP, 15 MG (PUREPAC) (OXAZEPAM CAPSULES USP, 15 MG ("	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"PREMARIM (ESTROGENS CONJUGATED)"	C0014939	Estrogens	[u'horm', u'orch', u'phsu']	[u'RXNORM']
"PREMARIM (ESTROGENS CONJUGATED)"	C3537250	ESTROGENS, SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	[u'horm', u'orch', u'phsu']	[u'ATC']
"PREMARIM (ESTROGENS CONJUGATED)"	C3541386	Estrogens, endocrine therapy drugs	[u'horm', u'orch', u'phsu']	[u'ATC']
"TYLENOL SINUS (TABLETS) TYLENOL SINUS MEDICATION"	C1519705	Tylenol Sinus	[u'orch', u'phsu']	[u'RXNORM']
"TYLENOL SINUS (TABLETS) TYLENOL SINUS MEDICATION"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"TYLENOL SINUS (TABLETS) TYLENOL SINUS MEDICATION"	C1519705	Tylenol Sinus	[u'orch', u'phsu']	[u'RXNORM']
"OCUVITE SOFT GEL"	C0017243	Gel	[u'bodm']	[u'RXNORM']
"OCUVITE SOFT GEL"	C0722233	Ocuvite	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"VITAMIN B1 +B12"	C0042845	Vitamin B 12	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"LIPOFEN (FENOFIBRATE) (FENOFIBRATE)"	C1701349	Lipofen	[u'orch', u'phsu']	[u'RXNORM']
"LIPOFEN (FENOFIBRATE) (FENOFIBRATE)"	C0033228	Fenofibrate	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"LIPOFEN (FENOFIBRATE) (FENOFIBRATE)"	C0033228	Fenofibrate	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"BIORESPONSE DIM (NON-ABBOTT)"	C0163151	3,3'-diindolylmethane	[u'orch', u'phsu']	[u'RXNORM']
"BARIUM SULFATE SUSPENSION 450 ML EZ-EM INC C BRACCO DIAGNOSTICS"	C0004754	Barium Sulfate	[u'inch', u'irda']	[u'RXNORM']
"BARIUM SULFATE SUSPENSION 450 ML EZ-EM INC C BRACCO DIAGNOSTICS"	C0038960	Suspensions	[u'bodm']	[u'RXNORM']
"ANTI FOSFAT CC"	C0008318	Cholecalciferol	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"CINACALCET HYDROCHLORIDE 9CINACALCET HYDROCHLOORIDE)"	C1260199	cinacalcet hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"COLGATE ENAMEL HEALTH SENSITIVITY RELIEF"	C2345900	Colgate	[u'inch', u'phsu']	[u'RXNORM']
"PERCOCET (OXYCODONE HYDROCHLORIDE, OXYCODONE TEREPHTHALATE, PARACETMOL)"	C0086787	Percocet	[u'orch', u'phsu']	[u'RXNORM']
"PERCOCET (OXYCODONE HYDROCHLORIDE, OXYCODONE TEREPHTHALATE, PARACETMOL)"	C0282274	Oxycodone Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"PERCOCET (OXYCODONE HYDROCHLORIDE, OXYCODONE TEREPHTHALATE, PARACETMOL)"	C0606954	oxycodone terephthalate	[u'orch', u'phsu']	[u'RXNORM']
"COUGH SYRUP WITH SUCROSE"	C3189516	sucrose syrup	[u'orch', u'phsu']	[u'RXNORM']
"POTTASIUM CHLORIDE ER"	C0596019	Chloride Ion	[u'elii']	[u'RXNORM']
"PANTOPRAZOLE/TRULICITY"	C3858044	Trulicity	[u'orch', u'phsu']	[u'RXNORM']
"PANTOPRAZOLE/TRULICITY"	C0081876	pantoprazole	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"TRIAMCINOLONE ACETONIDE 0.1% CREAM, LOTION AS NEEDED"	C0358003	Triamcinolone Acetonide 1 MG/ML Topical Cream	[u'clnd']	[u'RXNORM']
"TRIAMCINOLONE ACETONIDE 0.1% CREAM, LOTION AS NEEDED"	C0544341	Lotion	[u'bodm']	[u'RXNORM']
"TRIAMCINOLONE ACETONIDE 0.1% CREAM, LOTION AS NEEDED"	C0052432	artesunate	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"NOVOLIN 70/30 (INSULIN HUMAN, INSULIN HUMAN INJECTION, ISOPHANE) INJEC"	C0028467	Novolin	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"NOVOLIN 70/30 (INSULIN HUMAN, INSULIN HUMAN INJECTION, ISOPHANE) INJEC"	C0795635	Regular Insulin, Human	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"NOVOLIN 70/30 (INSULIN HUMAN, INSULIN HUMAN INJECTION, ISOPHANE) INJEC"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"NOVOLIN 70/30 (INSULIN HUMAN, INSULIN HUMAN INJECTION, ISOPHANE) INJEC"	C0795635	Regular Insulin, Human	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"METRAPALO TARTRATE"	C0144544	tartrate	[u'orch', u'phsu']	[u'RXNORM']
"ERYTHROMYCINE GNR"	C0014806	Erythromycin	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"BRONCHOSPASMIN SOLUTION FOR INJECTION"	C0991511	Injectable Solution	[u'bodm']	[u'RXNORM']
"ETHINYLESTRADIOL W/NORGESTIMATE (ETHINYLESTRADIOL, NORGESTIMATE)"	C0717762	Ethinyl Estradiol / norgestimate	[u'phsu']	[u'RXNORM']
"ETHINYLESTRADIOL W/NORGESTIMATE (ETHINYLESTRADIOL, NORGESTIMATE)"	C0015011	Ethinyl Estradiol	[u'horm', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ETHINYLESTRADIOL W/NORGESTIMATE (ETHINYLESTRADIOL, NORGESTIMATE)"	C0068992	norgestimate	[u'horm', u'orch', u'phsu']	[u'RXNORM']
"LOSARTAN POTASSIUM (LOSARTAN ORAL)"	C0700492	Losartan Potassium	[u'orch', u'phsu']	[u'RXNORM']
"LOSARTAN POTASSIUM (LOSARTAN ORAL)"	C0126174	Losartan	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"BETAHISTIN RATIOPHARM//BETAHISTINE MESILATE"	C0242200	Betahistine Mesylate	[u'orch', u'phsu']	[u'RXNORM']
"UNKNOWN LUBRICATING EYE DROPS"	C0015399	Eye Drops	[u'bodm']	[u'RXNORM']
"TANATRIL TABLETS"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"NORMORIX MITE (HYDROCHLORORTHIAZIDE, AMILORIDE)"	C0002502	Amiloride	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"GLUCOSAMINE/CHROND"	C0017718	Glucosamine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ALFALASTIN (ALPHA-1-ANTITRYPSIN)"	C0002191	alpha 1-Antitrypsin	[u'aapp', u'bacs', u'phsu']	[u'RXNORM', u'ATC']
"ALFALASTIN (ALPHA-1-ANTITRYPSIN)"	C0795657	alpha 1-proteinase inhibitor, human	[u'aapp', u'imft', u'phsu']	[u'RXNORM']
"SERETIDE (FLUTICASONE PROPIONATE, SALMETEROL)INHALANT"	C0117996	Fluticasone propionate	[u'orch', u'phsu']	[u'RXNORM']
"SERETIDE (FLUTICASONE PROPIONATE, SALMETEROL)INHALANT"	C0073992	salmeterol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SERETIDE (FLUTICASONE PROPIONATE, SALMETEROL)INHALANT"	C0598322	Inhalant dose form	[u'bodm']	[u'RXNORM']
"DIHYDROCODEINE TARTRATE + PARACETAMOL (CO-DYDRAMOL) (UNKNOWN)"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DIHYDROCODEINE TARTRATE + PARACETAMOL (CO-DYDRAMOL) (UNKNOWN)"	C0355564	dihydrocodeine bitartrate	[u'orch', u'phsu']	[u'RXNORM']
"DIHYDROCODEINE TARTRATE + PARACETAMOL (CO-DYDRAMOL) (UNKNOWN)"	C0590747	dihydrocodeine and paracetamol	[u'orch', u'phsu']	[u'ATC']
"IOHEXOL (OMNIPAQUE 350/125ML) INJ 125 ML IV ONCE"	C0022005	Iohexol	[u'irda', u'orch']	[u'RXNORM', u'ATC']
"IOHEXOL (OMNIPAQUE 350/125ML) INJ 125 ML IV ONCE"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"LIPITOR /NET/ (ATORVASTATION CALCIUM)"	C0593906	Lipitor	[u'orch', u'phsu']	[u'RXNORM']
"LIPITOR /NET/ (ATORVASTATION CALCIUM)"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"LIPITOR /NET/ (ATORVASTATION CALCIUM)"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
