UTTERANCE	CUI	PT	ST	SOURCES
"EAR AND NASAL SOLUTION"	C0991541	Otic Solution	[u'bodm']	[u'RXNORM']
"AXEPIM {CEFEPIME HYDROCHLORIDE} {CEFEPIME HYDROCHLORIDE}"	C0771284	Cefepime hydrochloride	[u'antb', u'orch']	[u'RXNORM']
"0.45% NORMAL SALINE WITH POTASSIUM CHLORIDE 20 MG BAXTER"	C0032825	Potassium Chloride	[u'inch', u'phsu']	[u'RXNORM', u'ATC']
"0.45% NORMAL SALINE WITH POTASSIUM CHLORIDE 20 MG BAXTER"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"SYMBICORT 80/4.5 MCG"	C1121854	Symbicort	[u'orch', u'phsu']	[u'RXNORM']
"PRED FORTE (PREDNISONE ACETATE 1%)"	C0699633	Pred Forte	[u'orch', u'phsu']	[u'RXNORM']
"PRED FORTE (PREDNISONE ACETATE 1%)"	C0000975	Acetate	[u'orch', u'phsu']	[u'RXNORM']
"PRED FORTE (PREDNISONE ACETATE 1%)"	C0032952	Prednisone	[u'horm', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"BLINDED TMX-049"	C0039286	Tamoxifen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"COQ10 200MG"	C0056077	coenzyme Q10	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"COQ10 200MG"	C2355853	Co-Q10	[u'phsu']	[u'RXNORM']
"SANCTURA XL"	C1619316	Sanctura	[u'orch', u'phsu']	[u'RXNORM']
"L-THYROXINE CHRISTIAENS 25 UG, TABLET"	C0040165	levothyroxine	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"L-THYROXINE CHRISTIAENS 25 UG, TABLET"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"GAVILYTE - G (PEG-3350 [236G] AND ELECTROLYTES)"	C0724672	POLYETHYLENE GLYCOL 3350	[u'orch', u'phsu']	[u'RXNORM']
"GAVILYTE - G (PEG-3350 [236G] AND ELECTROLYTES)"	C2710680	Gavilyte-G	[u'orch', u'phsu']	[u'RXNORM']
"GAVILYTE - G (PEG-3350 [236G] AND ELECTROLYTES)"	C0013832	Electrolytes	[u'inch', u'phsu']	[u'ATC']
"ALBUTEROL VIA THE NEBULIZER"	C0001927	Albuterol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PLAVIX  /01220701/ (CLOPIDOGREL) TABLET, 75 MG"	C0633084	Plavix	[u'orch', u'phsu']	[u'RXNORM']
"PLAVIX  /01220701/ (CLOPIDOGREL) TABLET, 75 MG"	C0070166	clopidogrel	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PLAVIX  /01220701/ (CLOPIDOGREL) TABLET, 75 MG"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"PLAVIX  /01220701/ (CLOPIDOGREL) TABLET, 75 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"OMEGACIN (BIAPENEM) (INJECTION) (BIAPENEM)"	C0209475	biapenem	[u'antb', u'orch']	[u'ATC']
"OMEGACIN (BIAPENEM) (INJECTION) (BIAPENEM)"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"OMEGACIN (BIAPENEM) (INJECTION) (BIAPENEM)"	C0209475	biapenem	[u'antb', u'orch']	[u'ATC']
"METGLUCO/METFORMIN HYDROCHLORIDE"	C0770893	Metformin hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"ALLERGY MEDICATION, BIOTIN, COCONUT OIL (DERMAL)"	C0005575	Biotin	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"ALLERGY MEDICATION, BIOTIN, COCONUT OIL (DERMAL)"	C0056060	Coconut Oil	[u'food', u'orch', u'phsu']	[u'RXNORM']
"RED BLOOD CELLS ADMINISTRATION"	C0014792	Erythrocytes	[u'cell']	[u'ATC']
"FOSMAX / ITA (ALENDRONATE SODIUM)"	C0700482	Alendronate Sodium	[u'orch', u'phsu']	[u'RXNORM']
"ALPROSTADIL (+) PAPAVERINE HYDRO"	C0002335	Alprostadil	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ALPROSTADIL (+) PAPAVERINE HYDRO"	C0030350	Papaverine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ACETAMINOPHEN, DICHLORALPHENAZONE   + ISOMETHEPTANE,"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ACETAMINOPHEN, DICHLORALPHENAZONE   + ISOMETHEPTANE,"	C0057831	dichloralphenazone	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ALLBUTEROL MDI (SALBUTAMOL)"	C0993596	Metered Dose Inhaler	[u'medd']	[u'RXNORM']
"ALLBUTEROL MDI (SALBUTAMOL)"	C0001927	Albuterol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PROPOXYPHENE-N W/ACETAMINOPHEN -DARVOCET-N-100"	C1384520	Acetaminophen / Propoxyphene	[u'phsu']	[u'RXNORM']
"PROPOXYPHENE-N W/ACETAMINOPHEN -DARVOCET-N-100"	C1514497	Darvocet	[u'orch', u'phsu']	[u'RXNORM']
"MAGNESIUM LACTATE, PYRIDOXINE HYDROCHLORIDE"	C0717900	Magnesium lactate	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"MAGNESIUM LACTATE, PYRIDOXINE HYDROCHLORIDE"	C0700496	Pyridoxine Hydrochloride	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"PEGINTERFERON ALFA-2B\RIBAVIRIN"	C0035525	Ribavirin	[u'nnon', u'phsu']	[u'RXNORM', u'ATC']
"PEGINTERFERON ALFA-2B\RIBAVIRIN"	C0796545	peginterferon alfa-2b	[u'aapp', u'imft', u'phsu']	[u'RXNORM', u'ATC']
"HYDROCODONE BITARTRATE + ACETAMINOPHEN (ACETAMINOPHEN, HYDROCODONE BIT"	C0717367	Acetaminophen / Hydrocodone	[u'phsu']	[u'RXNORM']
"HYDROCODONE BITARTRATE + ACETAMINOPHEN (ACETAMINOPHEN, HYDROCODONE BIT"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"HYDROCODONE BITARTRATE + ACETAMINOPHEN (ACETAMINOPHEN, HYDROCODONE BIT"	C0020264	Hydrocodone	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SORANEFIB/PLACEBO"	C1696465	placebo	[u'bodm']	[u'RXNORM']
"AREMIS 50 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"FORTEO PEN (250MCG/ML) 9FORTEO PEN 250MCG/ML 93ML)0 PEN, DISPOSABLE"	C1170286	Forteo	[u'aapp', u'phsu']	[u'RXNORM']
"AMIODARON-RATIOPHARM 150 MG / 3 ML INJEKTIONSL?SUNG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"SHORT ACTING MORPHINE"	C0026549	Morphine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"LIPOSOMAL (AMPHOTERICIN (AMPHOTERICINE B, LIPOSOME) (LIPOSOMAL AMPHOTE"	C0085795	Amphotericin	[u'antb', u'orch']	[u'RXNORM']
"LIPOSOMAL (AMPHOTERICIN (AMPHOTERICINE B, LIPOSOME) (LIPOSOMAL AMPHOTE"	C0002679	Amphotericin B	[u'antb', u'orch']	[u'RXNORM', u'ATC']
