UTTERANCE	CUI	PT	ST	SOURCES
"INDERAL BP"	C0591636	Inderal	[u'orch', u'phsu']	[u'RXNORM']
"DOXYCYCLINE HYCLATE [DOXYCYCLINE]"	C0058731	doxycycline hyclate	[u'antb', u'orch']	[u'RXNORM']
"DOXYCYCLINE HYCLATE [DOXYCYCLINE]"	C0013090	Doxycycline	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"D LISINOPRIL"	C0065374	Lisinopril	[u'aapp', u'phsu']	[u'RXNORM', u'ATC']
"CLACIUM/VITAMIN D"	C0014695	Ergocalciferol	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"CLACIUM/VITAMIN D"	C0042866	Vitamin D	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"FLUOXETINE USP - IPI  UNKNOWN"	C0016365	Fluoxetine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ERTYHROPOIETIN (ERYTHROPOIETIN)"	C0014822	Erythropoietin	[u'aapp', u'horm', u'phsu']	[u'ATC']
"ERTYHROPOIETIN (ERYTHROPOIETIN)"	C0357126	Epoetin Alfa	[u'aapp', u'phsu']	[u'RXNORM']
"METFORIN 1000 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"SOY BRAN TABS"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"SOY BRAN TABS"	C0353942	Bran	[u'food']	[u'RXNORM']
"VALSARTAN/HCTZ 160?25MG TAB SOL"	C0020261	Hydrochlorothiazide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"VALSARTAN/HCTZ 160?25MG TAB SOL"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"VALSARTAN/HCTZ 160?25MG TAB SOL"	C0216784	valsartan	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"FLORASTOR EXTRA STRENGTH GAS RELIEF"	C1631198	Florastor	[u'fngs']	[u'RXNORM']
"INEGY 10 MG/40 MG, COMPRIME"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"PRIADEL CONTROLLED-RELEASE TABLETS (UK)"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"VOTONE CREAM"	C1378128	Cream	[u'bodm']	[u'RXNORM']
"MANTADIX CAPSULES   LOT NO:"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
"MANTADIX CAPSULES   LOT NO:"	C0026055	Symmetrel	[u'orch', u'phsu']	[u'RXNORM']
"CPT 11 200 MG/M2"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"VENTOLIN   /00139501/(SALBUTAMOL)"	C0033744	Ventolin	[u'orch', u'phsu']	[u'RXNORM']
"VENTOLIN   /00139501/(SALBUTAMOL)"	C0001927	Albuterol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ESTRADIOL VALERATE INJECTION"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"ESTRADIOL VALERATE INJECTION"	C0059623	estradiol valerate	[u'horm', u'orch', u'phsu']	[u'RXNORM']
"SIOFOR 500/METFORMIN HYDROCHLORIDE"	C0770893	Metformin hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"SULFAMETH-TRIMETHOPRIME"	C0041041	Trimethoprim	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"EARTH VALLEY VITAMIN D3"	C0008318	Cholecalciferol	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"EARTH VALLEY VITAMIN D3"	C3265062	vitamin D3	[u'orch', u'phsu']	[u'RXNORM']
"TYHROID (ARMOUR) 30 MG FOREST PHARMACEUTICALS"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"ADACAND HCTZ"	C0020261	Hydrochlorothiazide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"KAISHORE GUGGULU"	C0061999	gugulu extract	[u'orch', u'phsu']	[u'RXNORM']
"TYLENOL EXTRA-STRENGTH (PARACETAMOL) 500 MG"	C0699142	Tylenol	[u'orch', u'phsu']	[u'RXNORM']
"TYLENOL EXTRA-STRENGTH (PARACETAMOL) 500 MG"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"TYLENOL EXTRA-STRENGTH (PARACETAMOL) 500 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"ALDACTONE A FINE GRANULE"	C0591054	Aldactone	[u'orch', u'phsu']	[u'RXNORM']
"PSYLLIUM + DEXTROSE POWDER"	C0032861	Powder dose form	[u'bodm']	[u'RXNORM']
"PSYLLIUM + DEXTROSE POWDER"	C0017725	Glucose	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PSYLLIUM + DEXTROSE POWDER"	C0033979	Psyllium	[u'bacs', u'orch', u'phsu']	[u'RXNORM']
"25 G L-LYSINE, 25 L-ARGININE"	C0024337	Lysine	[u'aapp', u'bacs', u'phsu']	[u'RXNORM', u'ATC']
"25 G L-LYSINE, 25 L-ARGININE"	C0003765	Arginine	[u'aapp', u'bacs', u'phsu']	[u'RXNORM']
"HYDROCODONE BITARTRATE/ACETAMINOPHEN UKNOWN STRENGTH (WATSON LABORATOR"	C0717367	Acetaminophen / Hydrocodone	[u'phsu']	[u'RXNORM']
"PROVIDINE-IODINE"	C0021968	Iodine	[u'bacs', u'elii', u'phsu']	[u'RXNORM', u'ATC']
"INSULATARD /OLD FORM/"	C0307071	Novolin N	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"FLACK SEED OIL"	C3541397	oil ingredients	[u'orch', u'phsu']	[u'ATC']
"CETIRIZINA TEVA ITALIA 10 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"CETIRIZINA TEVA ITALIA 10 MG"	C0055147	Cetirizine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DEXTROAMPHETAMINE AND AMPHETAMINE SALTS TABLETS 5 MG"	C0795571	amphetamine-dextroamphetamine	[u'phsu']	[u'RXNORM']
"DEXTROAMPHETAMINE AND AMPHETAMINE SALTS TABLETS 5 MG"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"DEXTROAMPHETAMINE AND AMPHETAMINE SALTS TABLETS 5 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"DEXTROAMPHETAMINE AND AMPHETAMINE SALTS TABLETS 5 MG"	C0037494	Sodium Chloride	[u'bacs', u'inch', u'phsu']	[u'RXNORM', u'ATC']
"ZESTAT//MIRTAZAPINE"	C0049506	Mirtazapine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CLEAR EYES, DRY EYES RED RELIEF HYPROMELLOSE, GLYCERIN,NAPHAZOL"	C0719365	Clear Eyes	[u'orch', u'phsu']	[u'RXNORM']
"CLEAR EYES, DRY EYES RED RELIEF HYPROMELLOSE, GLYCERIN,NAPHAZOL"	C0063242	hypromellose	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CLEAR EYES, DRY EYES RED RELIEF HYPROMELLOSE, GLYCERIN,NAPHAZOL"	C0017861	Glycerin	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"NOVELBINE INJECTION"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"PACKED RED BLOOD CELL(BLOOD CELLS, PACKED HUMAN)(UNKNOWN)"	C0014792	Erythrocytes	[u'cell']	[u'ATC']
"DEXTROMETHORPHAN HYDROBROMIDE DYDRATE"	C0350422	Dextromethorphan Hydrobromide	[u'orch', u'phsu']	[u'RXNORM']
