UTTERANCE	CUI	PT	ST	SOURCES
"SOLUPRED (PREDNISOLONE METASULFOBENZOLATE SODIUM)"	C0037473	Sodium	[u'bacs', u'elii']	[u'RXNORM']
"SOLUPRED (PREDNISOLONE METASULFOBENZOLATE SODIUM)"	C0597484	Sodium Cation	[u'elii']	[u'RXNORM']
"SOLUPRED (PREDNISOLONE METASULFOBENZOLATE SODIUM)"	C3541959	Sodium supplements	[u'phsu']	[u'ATC']
"SOLUPRED (PREDNISOLONE METASULFOBENZOLATE SODIUM)"	C0032950	prednisolone	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"NEOPOGEN INJECTION"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"PROMETHAZINE THE GENERIC VERSION OF PHENERGAN"	C0033405	Promethazine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PROMETHAZINE THE GENERIC VERSION OF PHENERGAN"	C0591971	Phenergan	[u'orch', u'phsu']	[u'RXNORM']
"SUDACARE SHOWER SOOTHERS (OTHER NON-THERAPEUTIC PRODUCTS) TABLET"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"COMMIT LOZENGES 4 MG. OR AVAILABLE IN 2 MG."	C1171947	Commit Lozenge	[u'orch', u'phsu']	[u'RXNORM']
"COMMIT LOZENGES 4 MG. OR AVAILABLE IN 2 MG."	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"COMMIT LOZENGES 4 MG. OR AVAILABLE IN 2 MG."	C0991564	Oral Lozenge	[u'bodm']	[u'RXNORM']
"INTROPIUM BROMIDE"	C0006222	Bromides	[u'inch']	[u'ATC']
"AMIODARONE AND ALPRAZOLAM METRONICS SECURA DR DEFIBRILLATOR"	C0002333	Alprazolam	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"AMIODARONE AND ALPRAZOLAM METRONICS SECURA DR DEFIBRILLATOR"	C0002598	Amiodarone	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"AMIODARONE AND ALPRAZOLAM METRONICS SECURA DR DEFIBRILLATOR"	C1330526	Secura	[u'phsu']	[u'RXNORM']
"IPRA/BROMIDE"	C0006222	Bromides	[u'inch']	[u'ATC']
"NITROGLYCERIN (MILLISROL) (GLYCERYL TRINITRATE)"	C0017887	Nitroglycerin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"NITROGLYCERIN (MILLISROL) (GLYCERYL TRINITRATE)"	C0017887	Nitroglycerin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DHA ALGAL?900"	C3160293	Algal-900	[u'orch', u'phsu']	[u'RXNORM']
"DHA ALGAL?900"	C0142831	sodium dehydroacetate	[u'irda', u'orch']	[u'RXNORM']
"DHA ALGAL?900"	C2348308	doconexent	[u'orch', u'phsu']	[u'RXNORM']
"SODIUM ALGINATE W/ SODIUM BICARBONATE"	C0074722	Sodium Bicarbonate	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SODIUM ALGINATE W/ SODIUM BICARBONATE"	C0142791	Sodium alginate	[u'orch', u'phsu']	[u'RXNORM']
"AMPHOTERICINE B (AMPHOTERICINE B, LIPOSOME)"	C0002679	Amphotericin B	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"ACECOL       (TEMOCAPRIL HYDROCHLORIDE)"	C0753183	Temocapril	[u'orch', u'phsu']	[u'ATC']
"AMPHETAMINE/DEXTRO ER"	C0002658	Amphetamine	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"1% LIGNOCAINE WITH ADRENALINE"	C0359949	Epinephrine / Lidocaine	[u'phsu']	[u'RXNORM']
"GLUCOPHAGE XR (METFORMIN (HYDROCHLORIDE)"	C0591573	Glucophage	[u'orch', u'phsu']	[u'RXNORM']
"GLUCOPHAGE XR (METFORMIN (HYDROCHLORIDE)"	C0770893	Metformin hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"VICODIN  (HYDROCHLORIDE BITARTRATE)"	C0483514	Vicodin	[u'orch', u'phsu']	[u'RXNORM']
"RHO D IMMUNEGLOBULIN HUMAN"	C4082558	Rho(D) Immune Globulin, human	[u'imft', u'phsu']	[u'RXNORM']
"CALCIUM + VIT D (COLECALCIFEROL, CALCIUM)"	C0042866	Vitamin D	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"CALCIUM + VIT D (COLECALCIFEROL, CALCIUM)"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM + VIT D (COLECALCIFEROL, CALCIUM)"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"CALCIUM + VIT D (COLECALCIFEROL, CALCIUM)"	C0008318	Cholecalciferol	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"CALCIUM + VIT D (COLECALCIFEROL, CALCIUM)"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM + VIT D (COLECALCIFEROL, CALCIUM)"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"PHENOBARBITONE + PHENYTOIN"	C1875648	Phenobarbital / Phenytoin	[u'phsu']	[u'RXNORM']
"DROTRECOGIN ALFA ACTIVATED   5 MG     ELI LILLY"	C1170000	drotrecogin alfa	[u'aapp', u'phsu']	[u'RXNORM']
"DROTRECOGIN ALFA ACTIVATED   5 MG     ELI LILLY"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"PROGESTERONE CREAM WILD YAM PROGESTERONE WISE ESSENTIALS"	C0772357	Wild yam extract	[u'orch', u'phsu']	[u'RXNORM']
"PROGESTERONE CREAM WILD YAM PROGESTERONE WISE ESSENTIALS"	C2947577	Dioscorea villosa tuber extract	[u'orch', u'phsu']	[u'RXNORM']
"PROGESTERONE CREAM WILD YAM PROGESTERONE WISE ESSENTIALS"	C0033308	Progesterone	[u'horm', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PROGESTERONE CREAM WILD YAM PROGESTERONE WISE ESSENTIALS"	C1378128	Cream	[u'bodm']	[u'RXNORM']
"JANUMET XR EXTENDED RELEASE TABLET 50/500 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"JANUMET XR EXTENDED RELEASE TABLET 50/500 MG"	C0991507	Extended Release Oral Tablet	[u'bodm']	[u'RXNORM']
"JANUMET XR EXTENDED RELEASE TABLET 50/500 MG"	C1948387	Janumet	[u'orch', u'phsu']	[u'RXNORM']
"AMAREL (GLIMEPIRIDE0"	C0595112	Amaryl	[u'orch', u'phsu']	[u'RXNORM']
"LIDOCAIN /00033401/ (UNKNOWN)"	C0023660	Lidocaine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
