UTTERANCE	CUI	PT	ST	SOURCES
"SLIM FAST,GREEN TEA, DIET PILLS"	C0994475	Pills	[u'bodm']	[u'RXNORM']
"VELMETIA 50 MG/850 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"ESTRACYT /00327002/ (ESTRACYT-ESTRAMUSTINE PHOSPHATE SODIUM) (NOT SPEC"	C0014911	Estracyt	[u'orch', u'phsu']	[u'RXNORM']
"ESTRACYT /00327002/ (ESTRACYT-ESTRAMUSTINE PHOSPHATE SODIUM) (NOT SPEC"	C0014922	Estramustine Phosphate Sodium	[u'orch', u'phsu']	[u'RXNORM']
"ESTRACYT /00327002/ (ESTRACYT-ESTRAMUSTINE PHOSPHATE SODIUM) (NOT SPEC"	C0014911	Estracyt	[u'orch', u'phsu']	[u'RXNORM']
"VIT. A+D"	C0042866	Vitamin D	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"LAC-B N (LACTOBACILLUS BIFIDUS, LYOPHILIZED) (LACTOBACILLUS BIFIDUS, L"	C0772177	Lactobacillus bifidus	[u'bact']	[u'RXNORM']
"LAC-B N (LACTOBACILLUS BIFIDUS, LYOPHILIZED) (LACTOBACILLUS BIFIDUS, L"	C0772177	Lactobacillus bifidus	[u'bact']	[u'RXNORM']
"ZINK COLD LOZENGE ZICAM"	C0991564	Oral Lozenge	[u'bodm']	[u'RXNORM']
"DICLOFENAC SODIUM W/PARACETAMOL"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DICLOFENAC SODIUM W/PARACETAMOL"	C0700583	Diclofenac Sodium	[u'orch', u'phsu']	[u'RXNORM']
"ETANERCEPT 25MG 2X/WK"	C0717758	Etanercept	[u'aapp', u'phsu']	[u'RXNORM', u'ATC']
"DIPHENHYDRAMINE 25 MG CAPSULES UD MAJOR PHARMACEUTICALS/BARR LABS"	C0035100	Chymosin	[u'aapp', u'enzy']	[u'RXNORM']
"DIPHENHYDRAMINE 25 MG CAPSULES UD MAJOR PHARMACEUTICALS/BARR LABS"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
"DIPHENHYDRAMINE 25 MG CAPSULES UD MAJOR PHARMACEUTICALS/BARR LABS"	C0012522	Diphenhydramine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DIPHENHYDRAMINE 25 MG CAPSULES UD MAJOR PHARMACEUTICALS/BARR LABS"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"PERFALGAN               (PARACETAMOL)"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"GLUCOPHAGE/AMARYL"	C0595112	Amaryl	[u'orch', u'phsu']	[u'RXNORM']
"GLUCOPHAGE/AMARYL"	C0591573	Glucophage	[u'orch', u'phsu']	[u'RXNORM']
"OXYCODONE HYDROCHLORIDE, 5 MG, MALLINCKRODT"	C0282274	Oxycodone Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"OXYCODONE HYDROCHLORIDE, 5 MG, MALLINCKRODT"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"NORDATRIPIN (HUMAN GROWTH HORMONE)"	C0169964	Somatropin	[u'aapp', u'horm', u'phsu']	[u'RXNORM', u'ATC']
"CIPROFLOXACIN-RATIOPHARM 250MG FILMTABLETTEN"	C0008809	Ciprofloxacin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"OMEPRAZOL, 20 MG, KPS (MR), RATIOPHARM"	C0028978	Omeprazole	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"OMEPRAZOL, 20 MG, KPS (MR), RATIOPHARM"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"NOVO-VENLAFAXINE XR (VENLAFAXINE) (CAPSULES) (VENLAFAXINE)"	C0078569	venlafaxine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"NOVO-VENLAFAXINE XR (VENLAFAXINE) (CAPSULES) (VENLAFAXINE)"	C0078569	venlafaxine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"NOVO-VENLAFAXINE XR (VENLAFAXINE) (CAPSULES) (VENLAFAXINE)"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
"NOVO-VENLAFAXINE XR (VENLAFAXINE) (CAPSULES) (VENLAFAXINE)"	C0078569	venlafaxine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ENTOCORT ED"	C0593928	Entocort	[u'orch', u'phsu']	[u'RXNORM']
"LOFIBRA /00499301/ (FENOFIBRATE)"	C1170377	Lofibra	[u'orch', u'phsu']	[u'RXNORM']
"LOFIBRA /00499301/ (FENOFIBRATE)"	C0033228	Fenofibrate	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PA (CAFFEINE, SALICYLAMIDE, PARACETAMOL, PROMETHAZINE METHYLENE DISALI"	C0006644	Caffeine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PA (CAFFEINE, SALICYLAMIDE, PARACETAMOL, PROMETHAZINE METHYLENE DISALI"	C0036071	salicylamide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PA (CAFFEINE, SALICYLAMIDE, PARACETAMOL, PROMETHAZINE METHYLENE DISALI"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PA (CAFFEINE, SALICYLAMIDE, PARACETAMOL, PROMETHAZINE METHYLENE DISALI"	C0033405	Promethazine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CHILDREN'S SUDAFED NASAL DECONGESTANT GRAPE"	C0700727	Sudafed	[u'orch', u'phsu']	[u'RXNORM']
"VITAMIN C1000 UNITS"	C0042890	Vitamins	[u'orch', u'phsu', u'vita']	[u'ATC']
"DIOSMECTITE/ALUMINIUM HYDROXIDE-MAGNESIUM CARBONATE GEL"	C0017243	Gel	[u'bodm']	[u'RXNORM']
"DIOSMECTITE/ALUMINIUM HYDROXIDE-MAGNESIUM CARBONATE GEL"	C0051244	Aluminum Hydroxide / magnesium carbonate	[u'phsu']	[u'RXNORM', u'ATC']
"DIOSMECTITE/ALUMINIUM HYDROXIDE-MAGNESIUM CARBONATE GEL"	C0163748	Diosmectite	[u'inch', u'phsu']	[u'ATC']
"NATAL CARE (R) PLUS TABLETS (ETHEX CORP.)"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"XALATN EYE DROPS"	C0015399	Eye Drops	[u'bodm']	[u'RXNORM']
"AUGMENTIN  DF"	C0591132	Augmentin	[u'antb', u'orch']	[u'RXNORM']
"BENZODIAZEPINE RELATED DRUGS (BENZODIAZEPINES)"	C3653456	Benzodiazepine related hypnotics and sedatives	[u'orch', u'phsu']	[u'ATC']
"QUININE SULFATE (QUININE SULFATE) UNKNOWN"	C0034422	Quinine Sulfate	[u'orch', u'phsu']	[u'RXNORM']
"QUININE SULFATE (QUININE SULFATE) UNKNOWN"	C0034422	Quinine Sulfate	[u'orch', u'phsu']	[u'RXNORM']
"TYLENOL INFANT DROPS 80MG PER 0.8ML MCNEIL CONSUMER HEALTH CCRE"	C0699142	Tylenol	[u'orch', u'phsu']	[u'RXNORM']
"ACICLOVIR (MANUFACTURER UNKNOWN)  (ACICLOVIR) (ACICLOVIR)"	C0001367	Acyclovir	[u'nnon', u'phsu']	[u'RXNORM', u'ATC']
"ACICLOVIR (MANUFACTURER UNKNOWN)  (ACICLOVIR) (ACICLOVIR)"	C0001367	Acyclovir	[u'nnon', u'phsu']	[u'RXNORM', u'ATC']
"ACICLOVIR (MANUFACTURER UNKNOWN)  (ACICLOVIR) (ACICLOVIR)"	C0001367	Acyclovir	[u'nnon', u'phsu']	[u'RXNORM', u'ATC']
"FLOMAX ^BOEHRINGER INGELHEIM^ (TAMSOLUSIN HYDROCHLORIDE) INHALER"	C0662903	Flomax	[u'orch', u'phsu']	[u'RXNORM']
"SENNA ALEXANDRIA EXTRACT W/DOCUSATE SODIUM (DOCUSATE SODIUM, SENNOSIDE"	C2929245	Docusate / sennosides, USP	[u'phsu']	[u'RXNORM']
"SENNA ALEXANDRIA EXTRACT W/DOCUSATE SODIUM (DOCUSATE SODIUM, SENNOSIDE"	C0243237	Docusate Sodium	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SENNA ALEXANDRIA EXTRACT W/DOCUSATE SODIUM (DOCUSATE SODIUM, SENNOSIDE"	C0243237	Docusate Sodium	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SENNA ALEXANDRIA EXTRACT W/DOCUSATE SODIUM (DOCUSATE SODIUM, SENNOSIDE"	C3489575	sennosides, USP	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"NO SALT"	C0037494	Sodium Chloride	[u'bacs', u'inch', u'phsu']	[u'RXNORM', u'ATC']
"NO SALT"	C0028128	Nitric Oxide	[u'bacs', u'inch', u'phsu']	[u'RXNORM', u'ATC']
"FLUANXOL ^BAYER^ (FLUPENTIXOL DIHYDROCHLORIDE)"	C0016272	Fluanxol	[u'orch', u'phsu']	[u'RXNORM']
"FLUANXOL ^BAYER^ (FLUPENTIXOL DIHYDROCHLORIDE)"	C0770891	flupentixol hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"BROMAZEPAM/BROMAZANIL"	C0006213	Bromazepam	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PERGOGREEN (MENOTROPHIN)"	C0025326	Menotropins	[u'aapp', u'horm', u'phsu']	[u'ATC']
"MAINTATE (BISOPROLOL FUMARATE) TABLET"	C0543473	Bisoprolol Fumarate	[u'orch', u'phsu']	[u'RXNORM']
"MAINTATE (BISOPROLOL FUMARATE) TABLET"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"VASOFLEX TAB"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"ACETAMINOPHEN (PARACETAMOL), DIPHENHYRAMINE HYDROCHLORIDE (NCH) (ACETA"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ACETAMINOPHEN (PARACETAMOL), DIPHENHYRAMINE HYDROCHLORIDE (NCH) (ACETA"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ACETAMINOPHEN (PARACETAMOL), DIPHENHYRAMINE HYDROCHLORIDE (NCH) (ACETA"	C0718194	Aceta	[u'orch', u'phsu']	[u'RXNORM']
"CLINDOMYCIN 300 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"BEVACIZUMAB 25 MG/ML    GENETECH"	C1366419	bevacizumab 25 MG/ML	[u'clnd']	[u'RXNORM']
"INSULIN SOLUBLE HUMAN BIOSYNTHETIC"	C0795635	Regular Insulin, Human	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"PREVACID 1/DAY"	C0286036	Prevacid	[u'orch', u'phsu']	[u'RXNORM']
"ANTINAUSEA SUPERTTES (PENTOBARBITAL SODIUM PYRILAMINE MALEATE)"	C0282330	Pyrilamine Maleate	[u'orch', u'phsu']	[u'RXNORM']
"ANTINAUSEA SUPERTTES (PENTOBARBITAL SODIUM PYRILAMINE MALEATE)"	C0700349	Pentobarbital Sodium	[u'orch', u'phsu']	[u'RXNORM']
"IV SOLUTION NOS (INTRAVENOUS SOLUTION NOS)"	C0991514	Intravenous Solution	[u'bodm']	[u'RXNORM']
"NIFEDIPINE WITH LIDOCAINE"	C0028066	Nifedipine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"NIFEDIPINE WITH LIDOCAINE"	C0023660	Lidocaine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"NOVALGIN INJECTION SOLUTION"	C0991511	Injectable Solution	[u'bodm']	[u'RXNORM']
