UTTERANCE	CUI	PT	ST	SOURCES
"PROPOFOL INJECTABLE EMULSION 1% (10 MG/ML)(PROPOFOL 1% INJECTABLE EMUL"	C0033487	Propofol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PROPOFOL INJECTABLE EMULSION 1% (10 MG/ML)(PROPOFOL 1% INJECTABLE EMUL"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"PROPOFOL INJECTABLE EMULSION 1% (10 MG/ML)(PROPOFOL 1% INJECTABLE EMUL"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"PROPOFOL INJECTABLE EMULSION 1% (10 MG/ML)(PROPOFOL 1% INJECTABLE EMUL"	C0033487	Propofol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PROPOFOL INJECTABLE EMULSION 1% (10 MG/ML)(PROPOFOL 1% INJECTABLE EMUL"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"EBIXA(TABLETS)"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"SULFA 84 TOPICAL SUSPENSION (SODIUM SULFACETAMIDE)"	C2348806	Topical Suspension	[u'bodm']	[u'RXNORM']
"SULFA 84 TOPICAL SUSPENSION (SODIUM SULFACETAMIDE)"	C0282356	Sulfacetamide Sodium	[u'orch', u'phsu']	[u'RXNORM']
"DIGITEK 0.125 MYLAN/BERTEK"	C0876017	Digitek	[u'orch', u'phsu']	[u'RXNORM']
"CIPRO (CIPROFLOXACIN) (EYE DROPS)"	C0701042	Cipro	[u'orch', u'phsu']	[u'RXNORM']
"CIPRO (CIPROFLOXACIN) (EYE DROPS)"	C0008809	Ciprofloxacin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CIPRO (CIPROFLOXACIN) (EYE DROPS)"	C0015399	Eye Drops	[u'bodm']	[u'RXNORM']
"CARBIDOPA-LEVODOPA 25-250"	C0353697	Carbidopa / Levodopa	[u'phsu']	[u'RXNORM']
"LEVETIRACETAM 100 MG/ML SOLUTION -210 ML-"	C1331326	Levetiracetam 100 MG/ML	[u'clnd']	[u'RXNORM']
"EQUATE EXTRA STRENGTH PAIN RELEIV 24 CAPLES 500 MG EACH"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"CITRACAL + D3 (CITRACAL + D) (TABLETS)"	C0719349	Citracal	[u'orch', u'phsu']	[u'RXNORM']
"CITRACAL + D3 (CITRACAL + D) (TABLETS)"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"ALPRAZOLAM 0.25 MG EITHER GREENSTONE OR TEVA I THINK"	C0983487	Alprazolam 0.25 MG	[u'clnd']	[u'RXNORM']
"  BETAFERON /BETASERON"	C0284968	Betaseron	[u'aapp', u'phsu']	[u'RXNORM']
"  BETAFERON /BETASERON"	C0592527	Betaferon	[u'aapp', u'phsu']	[u'RXNORM']
"FERROSTEC TABLET 50MG"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"HCLTHIAZIDE+LISINOPRIL"	C0065374	Lisinopril	[u'aapp', u'phsu']	[u'RXNORM', u'ATC']
"BENDROFLUAZIDE (VENDROFLUMETHIAZIDE)"	C0004975	Bendroflumethiazide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"GENERIC PERCOCET  5/325 (VARIOUS)"	C0086787	Percocet	[u'orch', u'phsu']	[u'RXNORM']
"GENERIC PERCOCET  5/325 (VARIOUS)"	C3540008	various antiinfectives and antiseptics for local oral treatment	[u'phsu']	[u'ATC']
