UTTERANCE	CUI	PT	ST	SOURCES
"DECITABINE 42.6 MG DAYS 1-5 IV"	C0049065	decitabine	[u'nnon', u'phsu']	[u'RXNORM', u'ATC']
"DECITABINE 42.6 MG DAYS 1-5 IV"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"BYSTOLIC (NEBIVOLOL HYDROCHLORIDE) (ENTERIC-COATED TABLET)"	C1995642	Bystolic	[u'orch', u'phsu']	[u'RXNORM']
"BYSTOLIC (NEBIVOLOL HYDROCHLORIDE) (ENTERIC-COATED TABLET)"	C0772208	nebivolol hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"BYSTOLIC (NEBIVOLOL HYDROCHLORIDE) (ENTERIC-COATED TABLET)"	C0039226	Delayed Release Oral Tablet	[u'bodm']	[u'RXNORM']
"PRO AIR ALBUTEROL RESCUE INHALER"	C0001927	Albuterol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PRO AIR ALBUTEROL RESCUE INHALER"	C0033382	Proline	[u'aapp', u'bacs']	[u'RXNORM']
"PRO AIR ALBUTEROL RESCUE INHALER"	C3536832	Air	[u'inch', u'phsu']	[u'RXNORM', u'ATC']
"SINEMET 100/25 RET"	C0074559	Sinemet	[u'orch', u'phsu']	[u'RXNORM']
"GRTPA  (ALTEPLASE) PWDR + SOLVENT, INFUSION SOLN"	C0032143	alteplase	[u'aapp', u'enzy', u'phsu']	[u'RXNORM', u'ATC']
"COLIMY C (CHLORAMPHENICOL, COLISITIN SODIUM METHANESULFONATE)"	C0008168	Chloramphenicol	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"COLIMY C (CHLORAMPHENICOL, COLISITIN SODIUM METHANESULFONATE)"	C3645051	mesylate	[u'orch']	[u'RXNORM']
"COLIMY C (CHLORAMPHENICOL, COLISITIN SODIUM METHANESULFONATE)"	C0037473	Sodium	[u'bacs', u'elii']	[u'RXNORM']
"COLIMY C (CHLORAMPHENICOL, COLISITIN SODIUM METHANESULFONATE)"	C0597484	Sodium Cation	[u'elii']	[u'RXNORM']
"COLIMY C (CHLORAMPHENICOL, COLISITIN SODIUM METHANESULFONATE)"	C3541959	Sodium supplements	[u'phsu']	[u'ATC']
"SEA OMEGA FISH OIL"	C0016157	Fish Oils	[u'orch', u'phsu']	[u'RXNORM']
"SEA OMEGA FISH OIL"	C0723241	Sea-Omega	[u'orch', u'phsu']	[u'RXNORM']
"SINGULAIR / MONTELUKAST"	C0298130	montelukast	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SINGULAIR / MONTELUKAST"	C0595724	Singulair	[u'orch', u'phsu']	[u'RXNORM']
"PRADAXA, 150 MG, BOEHRINGER INGOLHEIM"	C2940579	Pradaxa	[u'orch', u'phsu']	[u'RXNORM']
"PRADAXA, 150 MG, BOEHRINGER INGOLHEIM"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"METAMUCIL-CALCIUM"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"METAMUCIL-CALCIUM"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"METAMUCIL-CALCIUM"	C0025559	Metamucil	[u'orch', u'phsu']	[u'RXNORM']
"AMMONIUM LACTATE 128"	C0718495	ammonium lactate	[u'orch', u'phsu']	[u'RXNORM']
"OMEGA 3 FUSION"	C0015689	Omega-3 Fatty Acids	[u'bacs', u'orch', u'phsu']	[u'RXNORM']
"CALCIUM CARB-CHOLECALCIFEROL (RA CALCIUM PLUS VITAMIN D3)"	C0008318	Cholecalciferol	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"CALCIUM CARB-CHOLECALCIFEROL (RA CALCIUM PLUS VITAMIN D3)"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM CARB-CHOLECALCIFEROL (RA CALCIUM PLUS VITAMIN D3)"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"CALCIUM CARB-CHOLECALCIFEROL (RA CALCIUM PLUS VITAMIN D3)"	C0008318	Cholecalciferol	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"CALCIUM CARB-CHOLECALCIFEROL (RA CALCIUM PLUS VITAMIN D3)"	C3265062	vitamin D3	[u'orch', u'phsu']	[u'RXNORM']
"CALCIUM CARB-CHOLECALCIFEROL (RA CALCIUM PLUS VITAMIN D3)"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM CARB-CHOLECALCIFEROL (RA CALCIUM PLUS VITAMIN D3)"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"CHLOROQUINE / MELOXICAN/ PREDNISONE"	C0032952	Prednisone	[u'horm', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CHLOROQUINE / MELOXICAN/ PREDNISONE"	C0008269	Chloroquine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ATRIPLA (EFAVIRENZ, EMTRICITABINE, TENOFOVIR DISPROXIL FUMARATE)"	C1724016	Atripla	[u'orch', u'phsu']	[u'RXNORM']
"ATRIPLA (EFAVIRENZ, EMTRICITABINE, TENOFOVIR DISPROXIL FUMARATE)"	C0674428	efavirenz	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ATRIPLA (EFAVIRENZ, EMTRICITABINE, TENOFOVIR DISPROXIL FUMARATE)"	C0909839	emtricitabine	[u'nnon', u'phsu']	[u'RXNORM', u'ATC']
"ATRIPLA (EFAVIRENZ, EMTRICITABINE, TENOFOVIR DISPROXIL FUMARATE)"	C0220833	fumarate	[u'orch', u'phsu']	[u'RXNORM']
"ATRIPLA (EFAVIRENZ, EMTRICITABINE, TENOFOVIR DISPROXIL FUMARATE)"	C0384228	Tenofovir	[u'nnon', u'phsu']	[u'RXNORM']
"NITRE-DUR"	C0028158	Nitrogen	[u'bacs', u'elii']	[u'RXNORM', u'ATC']
"GEMCITABINE 100MG/ML + 50MG/ML LILLY + B. MYERS"	C0045093	gemcitabine	[u'nnon', u'phsu']	[u'RXNORM', u'ATC']
"EYE DROPS FOR GLAUCOMA (EYE DROPS FOR GLAUCOMA)"	C0015399	Eye Drops	[u'bodm']	[u'RXNORM']
"EYE DROPS FOR GLAUCOMA (EYE DROPS FOR GLAUCOMA)"	C0015399	Eye Drops	[u'bodm']	[u'RXNORM']
"GLUCOPHAGE -SLOW RELEASE (METFORMIN HYDROCHLORIDE) TABLET"	C0591573	Glucophage	[u'orch', u'phsu']	[u'RXNORM']
"GLUCOPHAGE -SLOW RELEASE (METFORMIN HYDROCHLORIDE) TABLET"	C0770893	Metformin hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"GLUCOPHAGE -SLOW RELEASE (METFORMIN HYDROCHLORIDE) TABLET"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"COLECALCIFEROL~~PHYTOMENADIONE~~CALCIUM"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"COLECALCIFEROL~~PHYTOMENADIONE~~CALCIUM"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"COLECALCIFEROL~~PHYTOMENADIONE~~CALCIUM"	C0008318	Cholecalciferol	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"COLECALCIFEROL~~PHYTOMENADIONE~~CALCIUM"	C0031862	Vitamin K 1	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"VACCINE BREAST CANCER PROTOCOL"	C0042210	Vaccines	[u'aapp', u'imft', u'phsu']	[u'ATC']
"APT CHOLESTYRAMINE"	C0008402	Cholestyramine Resin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ACETAMINOPHEN;HYDROCODONE BITARTRATE"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ACETAMINOPHEN;HYDROCODONE BITARTRATE"	C0546868	Hydrocodone Bitartrate	[u'orch', u'phsu']	[u'RXNORM']
"POLYETHYLENE 3350"	C0032487	Polyethylenes	[u'bodm', u'orch']	[u'RXNORM']
"POLYETHYLENE 3350"	C0752345	High-Density Polyethylene	[u'bodm', u'orch']	[u'RXNORM']
"SABON ALOE VERA MOISTURE LOTION"	C0544341	Lotion	[u'bodm']	[u'RXNORM']
"SABON ALOE VERA MOISTURE LOTION"	C0995182	Aloe vera preparation	[u'orch', u'phsu']	[u'RXNORM']
"SABON ALOE VERA MOISTURE LOTION"	C2825121	aloe vera leaf extract	[u'orch', u'phsu']	[u'RXNORM']
