UTTERANCE	CUI	PT	ST	SOURCES
"CALCIUM FOLINATE EG"	C0731033	Leucovorin Calcium	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"SMZ/TMP DS 800-160 TAB INTERPHARM"	C0041044	Trimethoprim-Sulfamethoxazole Combination	[u'phsu']	[u'RXNORM']
"SMZ/TMP DS 800-160 TAB INTERPHARM"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"ANTIEPILEPTICS UNSPECIFIED"	C0003299	Antiepileptic Agents	[u'phsu']	[u'ATC']
"SEREVENT: SALMETEROL INHEALER POWDER DISC 50 MCG/DOSE; 60 DOSEE"	C0700491	Serevent	[u'orch', u'phsu']	[u'RXNORM']
"SEREVENT: SALMETEROL INHEALER POWDER DISC 50 MCG/DOSE; 60 DOSEE"	C0032861	Powder dose form	[u'bodm']	[u'RXNORM']
"SEREVENT: SALMETEROL INHEALER POWDER DISC 50 MCG/DOSE; 60 DOSEE"	C0073992	salmeterol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"MELACINE INJECTABLE POWDER"	C0032861	Powder dose form	[u'bodm']	[u'RXNORM']
"MELACINE INJECTABLE POWDER"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"EPL (POLYENEPHOSPHATIDYLCHOLINE) (CAPSULES)"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
"LASIX (FUROSEMIDE SODIUM) PER ORAL NOS"	C0699992	Lasix	[u'orch', u'phsu']	[u'RXNORM']
"LASIX (FUROSEMIDE SODIUM) PER ORAL NOS"	C0037473	Sodium	[u'bacs', u'elii']	[u'RXNORM']
"LASIX (FUROSEMIDE SODIUM) PER ORAL NOS"	C0597484	Sodium Cation	[u'elii']	[u'RXNORM']
"LASIX (FUROSEMIDE SODIUM) PER ORAL NOS"	C3541959	Sodium supplements	[u'phsu']	[u'ATC']
"LASIX (FUROSEMIDE SODIUM) PER ORAL NOS"	C0016860	Furosemide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CINCHOCAINE HYDROCHLORIDE W/MENTHOL/PREDNISOL"	C0722742	Prednisol	[u'orch', u'phsu']	[u'RXNORM']
"CINCHOCAINE HYDROCHLORIDE W/MENTHOL/PREDNISOL"	C0770382	Dibucaine hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"CINCHOCAINE HYDROCHLORIDE W/MENTHOL/PREDNISOL"	C0025368	Menthol	[u'orch', u'phsu']	[u'RXNORM']
"SYNTHROID (LEVOTHORIXINE SODIUM)"	C0728762	Synthroid	[u'aapp', u'phsu']	[u'RXNORM']
"SYNTHROID (LEVOTHORIXINE SODIUM)"	C0037473	Sodium	[u'bacs', u'elii']	[u'RXNORM']
"SYNTHROID (LEVOTHORIXINE SODIUM)"	C0597484	Sodium Cation	[u'elii']	[u'RXNORM']
"SYNTHROID (LEVOTHORIXINE SODIUM)"	C3541959	Sodium supplements	[u'phsu']	[u'ATC']
"EVISTA(RALOXIFENE HCL)"	C0720318	Evista	[u'orch', u'phsu']	[u'RXNORM']
"EVISTA(RALOXIFENE HCL)"	C0618111	Raloxifene Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"HYDROCODONE/ACETAPHETAMINE"	C0020264	Hydrocodone	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PROPROXYPHENE (DEXTROPROPOXYPHENE) (UNKNOWN) ( - DEXTROPROPOXYPHENE)"	C0033493	Propoxyphene	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PROPROXYPHENE (DEXTROPROPOXYPHENE) (UNKNOWN) ( - DEXTROPROPOXYPHENE)"	C0033493	Propoxyphene	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"NOVO DOCUSATE SODIUM"	C0243237	Docusate Sodium	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CYPROTERONE ACETATE(CYPROTERONE ACETATE)"	C0056855	Cyproterone Acetate	[u'orch', u'phsu']	[u'RXNORM']
"CYPROTERONE ACETATE(CYPROTERONE ACETATE)"	C0056855	Cyproterone Acetate	[u'orch', u'phsu']	[u'RXNORM']
"LIPOSOMAL AMPHOTERCIN B (AMPHOTERICIN B, LIPOSOME)"	C1145701	amphotericin B liposomal	[u'antb', u'orch']	[u'RXNORM']
"SERTRALINA APOTEX"	C0074393	Sertraline	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"HYDROCODONE/ACTETAMINOPHEN"	C0020264	Hydrocodone	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"KARY UNI / PIRENOXINE"	C0752378	pirenoxine	[u'orch', u'phsu']	[u'RXNORM']
"B12 SUBCUTANEOUS INJECTIONS"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"EMGESAN 250 MG TABLET"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"EMGESAN 250 MG TABLET"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"N-3 FATTY ACID"	C0015689	Omega-3 Fatty Acids	[u'bacs', u'orch', u'phsu']	[u'RXNORM']
"BUPRENORPHINE NAXOLONE 8/2MG"	C0006405	Buprenorphine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ACE INHIBITOR (UNK INGREDIENTS) (ANGIOTENSIN-CONVERTING ENZYME INHIBIT"	C3540017	Enzymes, hematological	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"ACE INHIBITOR (UNK INGREDIENTS) (ANGIOTENSIN-CONVERTING ENZYME INHIBIT"	C3540048	ENZYMES FOR TREATMENT OF WOUNDS AND ULCERS	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"ACE INHIBITOR (UNK INGREDIENTS) (ANGIOTENSIN-CONVERTING ENZYME INHIBIT"	C3540772	Enzymes FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"ACE INHIBITOR (UNK INGREDIENTS) (ANGIOTENSIN-CONVERTING ENZYME INHIBIT"	C3540790	Enzymes, peripheral vasodilators	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"ACE INHIBITOR (UNK INGREDIENTS) (ANGIOTENSIN-CONVERTING ENZYME INHIBIT"	C3541394	Enzymes, antithrombotic	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"ACE INHIBITOR (UNK INGREDIENTS) (ANGIOTENSIN-CONVERTING ENZYME INHIBIT"	C3542456	Enzymes for ALIMENTARY TRACT AND METABOLISM	[u'aapp', u'enzy', u'phsu']	[u'ATC']
" IV HEPARIN"	C0019134	heparin	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
" IV HEPARIN"	C0770546	heparin, porcine	[u'bacs', u'orch', u'phsu']	[u'RXNORM']
"AMOXCICILLIN AND CLAVULANATE"	C0110038	Clavulanate	[u'antb', u'orch']	[u'RXNORM']
"ADVIL /00109201/(IBUPROFEN)"	C0593507	Advil	[u'orch', u'phsu']	[u'RXNORM']
"ADVIL /00109201/(IBUPROFEN)"	C0020740	Ibuprofen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"MEDI FLU /USA/ (DEXTROMETHORPHAN HYDROBROMIDE, PSEUDOEPHEDRINE HYDROCH"	C0350422	Dextromethorphan Hydrobromide	[u'orch', u'phsu']	[u'RXNORM']
"MEDI FLU /USA/ (DEXTROMETHORPHAN HYDROBROMIDE, PSEUDOEPHEDRINE HYDROCH"	C0033798	Pseudoephedrine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PEG 3350 SOL ELECTROL"	C0724672	POLYETHYLENE GLYCOL 3350	[u'orch', u'phsu']	[u'RXNORM']
"BETAXOLOLUM"	C0005320	Betaxolol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CARTIA//DILTIAZEM HYDROCHLORIDE"	C0700579	Diltiazem Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"CARTIA//DILTIAZEM HYDROCHLORIDE"	C1577475	Cartia	[u'orch', u'phsu']	[u'RXNORM']
"CLOXAN [CLOXACILLIN SODIUM]"	C0037496	Cloxacillin Sodium	[u'antb', u'orch']	[u'RXNORM']
"ELOXATINE-(OXALIPLATIN)-SOLUTION 5MG/ML"	C1135117	Eloxatin	[u'orch', u'phsu']	[u'RXNORM']
