UTTERANCE	CUI	PT	ST	SOURCES
"BOMEO POWDER"	C0032861	Powder dose form	[u'bodm']	[u'RXNORM']
"BUDEPRION SR 150MG TEVA USA"	C1615686	Budeprion	[u'orch', u'phsu']	[u'RXNORM']
"SELBEX (TEPRENONE) GRANULES"	C0061231	geranylgeranylacetone	[u'orch', u'phsu']	[u'RXNORM']
"GESTODENE+ETHINYLESTRADIAL"	C0061246	Gestodene	[u'orch', u'phsu']	[u'RXNORM']
"NAPROSYN (NAPROXEN) (125 MILLIGRAM, UNKNOWN)"	C0700017	Naprosyn	[u'orch', u'phsu']	[u'RXNORM']
"NAPROSYN (NAPROXEN) (125 MILLIGRAM, UNKNOWN)"	C0027396	Naproxen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"OROFAR [BENZOXONIUM CHLORIDE]"	C0105668	benzoxonium chloride	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ANABOLIC STEROID (ANABOLIC STEROID)"	C0002845	Androgens, Synthetic	[u'horm', u'phsu']	[u'ATC']
"ANABOLIC STEROID (ANABOLIC STEROID)"	C0002845	Androgens, Synthetic	[u'horm', u'phsu']	[u'ATC']
"METHOTREXATE/ARAVA"	C0718644	Arava	[u'orch', u'phsu']	[u'RXNORM']
"METHOTREXATE/ARAVA"	C0025677	Methotrexate	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"BIOFLORIN/ENTEROCOCCUS FAECALIS"	C0038404	Enterococcus faecalis	[u'bact']	[u'RXNORM']
"THYRADIN (THYRADIN - DRIED THYROID)"	C0040134	thyroid (USP)	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"40% GLYCOLIC ACID SOLUTION"	C1533643	glycolic acid	[u'orch']	[u'RXNORM']
"RO 5024048 HCV POLYMERASE INHIBITOR"	C0220847	Hepatitis C virus	[u'virs']	[u'RXNORM']
"TRAMADOL 37MG/ PARACETAMOL 325MG (PARATRAM)"	C1169987	Acetaminophen / Tramadol	[u'phsu']	[u'RXNORM']
"ASCORBIC ACID/MANGANESE/CHONDROITIN SULFATE/GLUCOSAMINE SULFATE"	C0017720	Glucosamine Sulfate	[u'orch', u'phsu']	[u'RXNORM']
"ASCORBIC ACID/MANGANESE/CHONDROITIN SULFATE/GLUCOSAMINE SULFATE"	C0003968	Ascorbic Acid	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"ASCORBIC ACID/MANGANESE/CHONDROITIN SULFATE/GLUCOSAMINE SULFATE"	C0008466	Chondroitin Sulfates	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ASCORBIC ACID/MANGANESE/CHONDROITIN SULFATE/GLUCOSAMINE SULFATE"	C0024706	Manganese	[u'bacs', u'elii']	[u'RXNORM']
"MULTIVIT B (CALCIUM PANTOTHENATE, NICOTINAMIDE, PYRIDOXINE HYDROCHLORI"	C0006710	Calcium Pantothenate	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"MULTIVIT B (CALCIUM PANTOTHENATE, NICOTINAMIDE, PYRIDOXINE HYDROCHLORI"	C0028027	Niacinamide	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"MULTIVIT B (CALCIUM PANTOTHENATE, NICOTINAMIDE, PYRIDOXINE HYDROCHLORI"	C0034272	pyridoxine	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"TACROLIMUS, CONTOL FOR SIROLIMUS (TRACROLIMUS, CONTROL FOR SIROLIMUS, "	C0085149	Tacrolimus	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"TACROLIMUS, CONTOL FOR SIROLIMUS (TRACROLIMUS, CONTROL FOR SIROLIMUS, "	C0072980	Sirolimus	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"TACROLIMUS, CONTOL FOR SIROLIMUS (TRACROLIMUS, CONTROL FOR SIROLIMUS, "	C0072980	Sirolimus	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"MUCINEX D (GUAIFENESIN PSEUDOEPHEDRINE HYDROCHLORIDE)"	C1631115	Mucinex D	[u'orch', u'phsu']	[u'RXNORM']
"MUCINEX D (GUAIFENESIN PSEUDOEPHEDRINE HYDROCHLORIDE)"	C0304430	Pseudoephedrine Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"MUCINEX D (GUAIFENESIN PSEUDOEPHEDRINE HYDROCHLORIDE)"	C0717804	Guaifenesin / Pseudoephedrine	[u'phsu']	[u'RXNORM']
"TERNELIN (TERNELIN - TIZANIDINE HYDROCHLORIDE) (NOT SPECIFIED)"	C0771735	tizanidine hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"COREG (CONTIN)"	C0719509	Coreg	[u'orch', u'phsu']	[u'RXNORM']
"VARIOUS MOOD STABILIZERS"	C3540008	various antiinfectives and antiseptics for local oral treatment	[u'phsu']	[u'ATC']
"VARIOUS MOOD STABILIZERS"	C3540761	various other nasal preparations in ATC	[u'phsu']	[u'ATC']
"VARIOUS MOOD STABILIZERS"	C3540762	various other agents for local oral treatment in ATC	[u'phsu']	[u'ATC']
"VARIOUS MOOD STABILIZERS"	C3540763	VARIOUS DRUG CLASSES IN ATC	[u'phsu']	[u'ATC']
"VARIOUS MOOD STABILIZERS"	C3540765	various allergen extracts	[u'imft', u'phsu']	[u'ATC']
"VARIOUS MOOD STABILIZERS"	C3540766	various antiseptic throat preparations	[u'phsu']	[u'ATC']
"VARIOUS MOOD STABILIZERS"	C3540769	various other intestinal adsorbents in ATC	[u'phsu']	[u'ATC']
"LOGIRENE (AMLORIDE HCL/ FRUSEMIDE) TABLETS"	C0016860	Furosemide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"LOGIRENE (AMLORIDE HCL/ FRUSEMIDE) TABLETS"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"SACCHARATED IRON OXIDE (UNKNOWN)"	C0060241	iron sucrose	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
