UTTERANCE	CUI	PT	ST	SOURCES
"COZAR (LOSARTAN  POTASSIUM)"	C0700492	Losartan Potassium	[u'orch', u'phsu']	[u'RXNORM']
"ADEFURONIC (DICLOFENAC NA)"	C0597484	Sodium Cation	[u'elii']	[u'RXNORM']
"ADEFURONIC (DICLOFENAC NA)"	C0012091	Diclofenac	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SOD CHLORIDE INJ"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"SOD CHLORIDE INJ"	C0596019	Chloride Ion	[u'elii']	[u'RXNORM']
"MERCILON (DESOGESTREL/ETHINYLESTRADIOL)"	C1112096	Desogestrel / Ethinyl Estradiol	[u'phsu']	[u'RXNORM']
"MULBERRY LEAF EXTRACT TABLETS"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"CARDIAC MEDICATIONS (CARDIAC THERAPY)"	C3654025	CARDIAC THERAPY DRUGS	[u'phsu']	[u'ATC']
"MAGNESIUM CHLORIDE? CALCIUM"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"MAGNESIUM CHLORIDE? CALCIUM"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"MAGNESIUM CHLORIDE? CALCIUM"	C0024472	Magnesium Chloride	[u'inch', u'phsu']	[u'RXNORM', u'ATC']
"VIT C (TABLETS) ASCORBIC ACID"	C0003968	Ascorbic Acid	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"VIT C (TABLETS) ASCORBIC ACID"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"VIT C (TABLETS) ASCORBIC ACID"	C0003968	Ascorbic Acid	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"EVISTA (RALOXIFENE HYDROCHLORIDE)(60 MILLIGRAM, CAPSULE) (RALOXIFENE H"	C0720318	Evista	[u'orch', u'phsu']	[u'RXNORM']
"EVISTA (RALOXIFENE HYDROCHLORIDE)(60 MILLIGRAM, CAPSULE) (RALOXIFENE H"	C0618111	Raloxifene Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"EVISTA (RALOXIFENE HYDROCHLORIDE)(60 MILLIGRAM, CAPSULE) (RALOXIFENE H"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
"EVISTA (RALOXIFENE HYDROCHLORIDE)(60 MILLIGRAM, CAPSULE) (RALOXIFENE H"	C0244404	Raloxifene	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"INTERFERON ALFA       (MANUFACTURER UNKNOWN)"	C0021747	Interferons	[u'aapp', u'imft']	[u'ATC']
"INTERFERON ALFA       (MANUFACTURER UNKNOWN)"	C3652465	Interferon	[u'aapp', u'imft', u'phsu']	[u'ATC']
"ZICAM COLD REMEDY GEL + REGULAR GEL TECH + GUM TECH"	C0017243	Gel	[u'bodm']	[u'RXNORM']
"PARADEX (ACETAMINOPHEN (+) PROPOXYPHENE HYDROCHLORIDE)"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PARADEX (ACETAMINOPHEN (+) PROPOXYPHENE HYDROCHLORIDE)"	C0242451	Propoxyphene Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"DEXAMETHASONE AND PEPCID"	C0011777	Dexamethasone	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DEXAMETHASONE AND PEPCID"	C0678119	Pepcid	[u'orch', u'phsu']	[u'RXNORM']
"ULTRAM (TRAMODOL HYDROCHLORIDE)"	C0724054	Ultram	[u'orch', u'phsu']	[u'RXNORM']
"CHLORHEXIDINE GLUCONATE(HIBICLENS)"	C0055361	chlorhexidine gluconate	[u'orch', u'phsu']	[u'RXNORM']
"CHLORHEXIDINE GLUCONATE(HIBICLENS)"	C0728728	Hibiclens	[u'orch', u'phsu']	[u'RXNORM']
"FLUCONAZOL KRKA 150 MG KAPSEL, H?RD"	C0016277	Fluconazole	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"FLUCONAZOL KRKA 150 MG KAPSEL, H?RD"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"ADDERALL XR(OBETROL) (CAPSULES)"	C0290795	Adderall	[u'orch', u'phsu']	[u'RXNORM']
"ADDERALL XR(OBETROL) (CAPSULES)"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
"ECABET MONOSODIUM (ECABET SODIUM)"	C0037473	Sodium	[u'bacs', u'elii']	[u'RXNORM']
"ECABET MONOSODIUM (ECABET SODIUM)"	C0597484	Sodium Cation	[u'elii']	[u'RXNORM']
"ECABET MONOSODIUM (ECABET SODIUM)"	C3541959	Sodium supplements	[u'phsu']	[u'ATC']
"INTERFERON-ALPHA-2"	C0021747	Interferons	[u'aapp', u'imft']	[u'ATC']
"INTERFERON-ALPHA-2"	C3652465	Interferon	[u'aapp', u'imft', u'phsu']	[u'ATC']
"ORIGINAL ALKA SELZER TABLETS"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"LEVETIRACETAM-RATIOPHARM 100 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"LEVETIRACETAM-RATIOPHARM 100 MG"	C0377265	Levetiracetam	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"TROPISETRON HYDROCHLORIDE AND GLUCOSE INJECTION"	C0771211	TROPISETRON HYDROCHLORIDE	[u'orch', u'phsu']	[u'RXNORM']
"TROPISETRON HYDROCHLORIDE AND GLUCOSE INJECTION"	C4257321	Glucose Injection	[u'clnd']	[u'RXNORM']
"MIDOL [ACETYLSALICYLIC ACID]"	C0004057	Aspirin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CALTRATE WITH D (CON.)"	C0719118	Caltrate	[u'inch', u'phsu']	[u'RXNORM']
"CALCIUM MAGNESIUM + B"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM MAGNESIUM + B"	C0024467	Magnesium	[u'bacs', u'elii']	[u'RXNORM']
"CALCIUM MAGNESIUM + B"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"CALCIUM MAGNESIUM + B"	C3540792	Magnesium supplements, alimentary tract and metabolism	[u'inch', u'phsu']	[u'ATC']
"PERCOCET (PACLITAXEL, OXYCODONE HYDROCHLORIDE)"	C0086787	Percocet	[u'orch', u'phsu']	[u'RXNORM']
"PERCOCET (PACLITAXEL, OXYCODONE HYDROCHLORIDE)"	C0144576	Paclitaxel	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PERCOCET (PACLITAXEL, OXYCODONE HYDROCHLORIDE)"	C0282274	Oxycodone Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"RECORMON (ERYTHROPOIETIN HUMAN"	C0014822	Erythropoietin	[u'aapp', u'horm', u'phsu']	[u'ATC']
"RECORMON (ERYTHROPOIETIN HUMAN"	C0357126	Epoetin Alfa	[u'aapp', u'phsu']	[u'RXNORM']
"TRIMETAZIDINE HYDROCHLORIDE (VASATREL)"	C0041037	Trimetazidine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"TWINLINE          (SOLUTIONS FOR PARENTERAL NUTRITION)"	C0717967	Parenteral Nutrition Solutions	[u'food']	[u'ATC']
"GADOBENATE DIMEGLUMINE   529MG/ML    BRACCO DIAGNOSTICS"	C0209453	Gadobenate dimeglumine	[u'irda', u'orch', u'phsu']	[u'RXNORM']
"ACECOL (TEMOCAPRIL HYDROCLORIDE)"	C0753183	Temocapril	[u'orch', u'phsu']	[u'ATC']
"DIFOSFONAL (CLODRONIC ACID)"	C0012081	Clodronic Acid	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PRENATAL +FE--"	C3848561	ferric cation	[u'elii', u'phsu']	[u'RXNORM']
"IPRATROPIU/SALBUTAMOL CIPLA"	C0001927	Albuterol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PEGATRON              (PEGINTERFERON ALFA-2B W/RIBAVIRIN) (PEGYLATED I"	C0035525	Ribavirin	[u'nnon', u'phsu']	[u'RXNORM', u'ATC']
"PEGATRON              (PEGINTERFERON ALFA-2B W/RIBAVIRIN) (PEGYLATED I"	C0796545	peginterferon alfa-2b	[u'aapp', u'imft', u'phsu']	[u'RXNORM', u'ATC']
"SINGULAIR PEDIATRIC"	C0595724	Singulair	[u'orch', u'phsu']	[u'RXNORM']
"EPA XTRA FISH OIL"	C0016157	Fish Oils	[u'orch', u'phsu']	[u'RXNORM']
"COLCHIMAX (COLCHICINE, OPIUM POWDER, TIEMONIUM METHYL SULPHATE)"	C0009262	Colchicine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"COLCHIMAX (COLCHICINE, OPIUM POWDER, TIEMONIUM METHYL SULPHATE)"	C0032861	Powder dose form	[u'bodm']	[u'RXNORM']
"COLCHIMAX (COLCHICINE, OPIUM POWDER, TIEMONIUM METHYL SULPHATE)"	C0029112	Opium	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"COLCHIMAX (COLCHICINE, OPIUM POWDER, TIEMONIUM METHYL SULPHATE)"	C0076665	tiemonium methylsulfate	[u'orch', u'phsu']	[u'RXNORM']
"MORPHINE SULPHAGE CR 30 MG WATSON/RPG"	C0026549	Morphine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"MORPHINE SULPHAGE CR 30 MG WATSON/RPG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"ALBUTEROL/BROMIDE"	C0006222	Bromides	[u'inch']	[u'ATC']
"ALBUTEROL/BROMIDE"	C0001927	Albuterol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"INSULIN (HUMALOG + LENTE)"	C0528249	Humalog	[u'aapp', u'phsu']	[u'RXNORM']
"REQUIP (ROPINIROLE HYDROCHLORIDE) 9ROPINIROLE HYDROCHLORIDE)"	C0593342	Requip	[u'orch', u'phsu']	[u'RXNORM']
"REQUIP (ROPINIROLE HYDROCHLORIDE) 9ROPINIROLE HYDROCHLORIDE)"	C0771840	Ropinirole hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"ALBUTETOL/IPRATROPIUM MDI"	C0993596	Metered Dose Inhaler	[u'medd']	[u'RXNORM']
"ALBUTETOL/IPRATROPIUM MDI"	C0027235	Ipratropium	[u'orch', u'phsu']	[u'RXNORM']
"STRONG NEO-MINOPHABEN C (AMINOACETIC ACID, CYSTEINE, GLYCYRRHIZIC ACID"	C0017890	Glycine	[u'aapp', u'bacs', u'phsu']	[u'RXNORM', u'ATC']
