UTTERANCE	CUI	PT	ST	SOURCES
"TRAZODONE HCI (TRAZODONE HYDROCHLORIDE) TABLET, MF"	C0040805	Trazodone	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"TRAZODONE HCI (TRAZODONE HYDROCHLORIDE) TABLET, MF"	C0282369	Trazodone Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"TRAZODONE HCI (TRAZODONE HYDROCHLORIDE) TABLET, MF"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"PRED MILD DROPS"	C0699634	Pred Mild	[u'orch', u'phsu']	[u'RXNORM']
"CALCIUM+D, NEXIUM, ETOODOLAC"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM+D, NEXIUM, ETOODOLAC"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"CALCIUM+D, NEXIUM, ETOODOLAC"	C0939400	Nexium	[u'orch', u'phsu']	[u'RXNORM']
"FUROSEMIDE CALCIUM"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"FUROSEMIDE CALCIUM"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"FUROSEMIDE CALCIUM"	C0016860	Furosemide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"TRAZADONE/DESYREL"	C0701914	Desyrel	[u'orch', u'phsu']	[u'RXNORM']
"ACIDOPHILUS PROBIOTIC (LACTOBACCILLUS ACIDOPHILUS) (CAPSULES)"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
"INSULIN REGULAR -HUMAN- INJ PER S.S."	C0795635	Regular Insulin, Human	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"INSULIN REGULAR -HUMAN- INJ PER S.S."	C1272883	Injection	[u'bodm']	[u'RXNORM']
"PENFIL R CHU (INSULIN HUMAN) SOLUTION FOR INJECTION, 100IU/ML"	C0795635	Regular Insulin, Human	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"PENFIL R CHU (INSULIN HUMAN) SOLUTION FOR INJECTION, 100IU/ML"	C0991511	Injectable Solution	[u'bodm']	[u'RXNORM']
"RANITIDINE SYRUP (RANITIDINE ORAL SOLUTION USP) (MALLC)"	C0034665	Ranitidine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"RANITIDINE SYRUP (RANITIDINE ORAL SOLUTION USP) (MALLC)"	C1253897	Ranitidine Oral Solution	[u'clnd']	[u'RXNORM']
"CALTRATE+ VITAMIN D3"	C0008318	Cholecalciferol	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"CALTRATE+ VITAMIN D3"	C3265062	vitamin D3	[u'orch', u'phsu']	[u'RXNORM']
"CALTRATE+ VITAMIN D3"	C0719118	Caltrate	[u'inch', u'phsu']	[u'RXNORM']
"PRINIVIL (LISNIOPRIL HCL)"	C0701176	Prinivil	[u'aapp', u'phsu']	[u'RXNORM']
"URSO (URSODEOXYCHOLIC ACID) POWDER"	C0724157	Urso	[u'orch', u'phsu']	[u'RXNORM']
"URSO (URSODEOXYCHOLIC ACID) POWDER"	C0042105	Ursodiol	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"URSO (URSODEOXYCHOLIC ACID) POWDER"	C0032861	Powder dose form	[u'bodm']	[u'RXNORM']
"RABBIT IMMUNOGLOBULIN OF HUMAN ANTIHYMOCYTE"	C0358321	Immune Globulin (Human)	[u'aapp', u'imft', u'phsu']	[u'ATC']
"CLEXANE (HEPARIN-FRACTION, SODIUM SALT, , 0)"	C0019134	heparin	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CLEXANE (HEPARIN-FRACTION, SODIUM SALT, , 0)"	C0770546	heparin, porcine	[u'bacs', u'orch', u'phsu']	[u'RXNORM']
"CLEXANE (HEPARIN-FRACTION, SODIUM SALT, , 0)"	C0037494	Sodium Chloride	[u'bacs', u'inch', u'phsu']	[u'RXNORM', u'ATC']
"CLEXANE (HEPARIN-FRACTION, SODIUM SALT, , 0)"	C0037473	Sodium	[u'bacs', u'elii']	[u'RXNORM']
"CLEXANE (HEPARIN-FRACTION, SODIUM SALT, , 0)"	C0597484	Sodium Cation	[u'elii']	[u'RXNORM']
"CLEXANE (HEPARIN-FRACTION, SODIUM SALT, , 0)"	C3541959	Sodium supplements	[u'phsu']	[u'ATC']
"ERGENYL SLOW RELEASE TABLETS"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
