UTTERANCE	CUI	PT	ST	SOURCES
"SODIUM CHLORIDE (0.45% W/V) AND DEXTROSE (5% W/V) INJECTION IP"	C0037494	Sodium Chloride	[u'bacs', u'inch', u'phsu']	[u'RXNORM', u'ATC']
"SODIUM CHLORIDE (0.45% W/V) AND DEXTROSE (5% W/V) INJECTION IP"	C0017725	Glucose	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SODIUM CHLORIDE (0.45% W/V) AND DEXTROSE (5% W/V) INJECTION IP"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"VECURONIUM BROMIDE 10 MG, BEN VENUE LABS"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"VECURONIUM BROMIDE 10 MG, BEN VENUE LABS"	C0042435	Vecuronium Bromide	[u'orch', u'phsu']	[u'RXNORM']
"VECURONIUM BROMIDE 10 MG, BEN VENUE LABS"	C0035100	Chymosin	[u'aapp', u'enzy']	[u'RXNORM']
"ESTRADIOL (+) ESTRIOL (+) PROGESTERONE (ESTRADIOL (+) ESTRIOL (+) PROGESTERONE)"	C0014912	Estradiol	[u'horm', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ESTRADIOL (+) ESTRIOL (+) PROGESTERONE (ESTRADIOL (+) ESTRIOL (+) PROGESTERONE)"	C0014927	Estriol	[u'horm', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ESTRADIOL (+) ESTRIOL (+) PROGESTERONE (ESTRADIOL (+) ESTRIOL (+) PROGESTERONE)"	C0033308	Progesterone	[u'horm', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ESTRADIOL (+) ESTRIOL (+) PROGESTERONE (ESTRADIOL (+) ESTRIOL (+) PROGESTERONE)"	C0014912	Estradiol	[u'horm', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ESTRADIOL (+) ESTRIOL (+) PROGESTERONE (ESTRADIOL (+) ESTRIOL (+) PROGESTERONE)"	C0014927	Estriol	[u'horm', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ESTRADIOL (+) ESTRIOL (+) PROGESTERONE (ESTRADIOL (+) ESTRIOL (+) PROGESTERONE)"	C0033308	Progesterone	[u'horm', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"OSTELIN (COLECALCIFEROL)"	C0008318	Cholecalciferol	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"CALCIUM 600/VITAMIN D (CALCIUM D (CALCIUM D3 STADA) TABLETS"	C0014695	Ergocalciferol	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"CALCIUM 600/VITAMIN D (CALCIUM D (CALCIUM D3 STADA) TABLETS"	C0042866	Vitamin D	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"CALCIUM 600/VITAMIN D (CALCIUM D (CALCIUM D3 STADA) TABLETS"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM 600/VITAMIN D (CALCIUM D (CALCIUM D3 STADA) TABLETS"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"CALCIUM 600/VITAMIN D (CALCIUM D (CALCIUM D3 STADA) TABLETS"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM 600/VITAMIN D (CALCIUM D (CALCIUM D3 STADA) TABLETS"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"CALCIUM 600/VITAMIN D (CALCIUM D (CALCIUM D3 STADA) TABLETS"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM 600/VITAMIN D (CALCIUM D (CALCIUM D3 STADA) TABLETS"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"CALCIUM 600/VITAMIN D (CALCIUM D (CALCIUM D3 STADA) TABLETS"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"GLUCOSAMINE + CHONDROITIN WITH MSM (CHONDROITIN SULFATE, GLUCOSAMINE, METHYLSULFONYLMETHANE)"	C1445693	Glucosamine / methylsulfonylmethane	[u'phsu']	[u'RXNORM']
"GLUCOSAMINE + CHONDROITIN WITH MSM (CHONDROITIN SULFATE, GLUCOSAMINE, METHYLSULFONYLMETHANE)"	C0008466	Chondroitin Sulfates	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"GLUCOSAMINE + CHONDROITIN WITH MSM (CHONDROITIN SULFATE, GLUCOSAMINE, METHYLSULFONYLMETHANE)"	C0017718	Glucosamine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"GLUCOSAMINE + CHONDROITIN WITH MSM (CHONDROITIN SULFATE, GLUCOSAMINE, METHYLSULFONYLMETHANE)"	C0058231	methylsulfonylmethane	[u'orch', u'phsu']	[u'RXNORM']
"SINEMET PLUS RETARD 25 MG/100 MG COMPRIMIDOS DE LIBERACION PROLONGADA"	C0074559	Sinemet	[u'orch', u'phsu']	[u'RXNORM']
"SINEMET PLUS RETARD 25 MG/100 MG COMPRIMIDOS DE LIBERACION PROLONGADA"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"CORTISONAL 20 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"DEXTROSE W/POTASSIUM CHLORIDE AND NACL (GALENIC/GLUCOSE/SODIUM CL/POTA"	C0037494	Sodium Chloride	[u'bacs', u'inch', u'phsu']	[u'RXNORM', u'ATC']
"DEXTROSE W/POTASSIUM CHLORIDE AND NACL (GALENIC/GLUCOSE/SODIUM CL/POTA"	C0719838	Glucose / Potassium Chloride	[u'phsu']	[u'RXNORM']
"DEXTROSE W/POTASSIUM CHLORIDE AND NACL (GALENIC/GLUCOSE/SODIUM CL/POTA"	C0017725	Glucose	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DEXTROSE W/POTASSIUM CHLORIDE AND NACL (GALENIC/GLUCOSE/SODIUM CL/POTA"	C0037473	Sodium	[u'bacs', u'elii']	[u'RXNORM']
"DEXTROSE W/POTASSIUM CHLORIDE AND NACL (GALENIC/GLUCOSE/SODIUM CL/POTA"	C0596019	Chloride Ion	[u'elii']	[u'RXNORM']
"DEXTROSE W/POTASSIUM CHLORIDE AND NACL (GALENIC/GLUCOSE/SODIUM CL/POTA"	C0597484	Sodium Cation	[u'elii']	[u'RXNORM']
"DEXTROSE W/POTASSIUM CHLORIDE AND NACL (GALENIC/GLUCOSE/SODIUM CL/POTA"	C3541959	Sodium supplements	[u'phsu']	[u'ATC']
"LOW DOSE BETA-BLOCKER"	C0001645	Adrenergic beta-Antagonists	[u'phsu']	[u'ATC']
"CRANBERRY 400 MG 1 VEGETARIAN CAPSULE A DAY"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
"CRANBERRY 400 MG 1 VEGETARIAN CAPSULE A DAY"	C0453273	Cranberry preparation	[u'orch', u'phsu']	[u'RXNORM']
"CRANBERRY 400 MG 1 VEGETARIAN CAPSULE A DAY"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"SEMI-ALKALINE PROTEINASE"	C0030946	Endopeptidases	[u'aapp', u'enzy', u'phsu']	[u'RXNORM']
"LOVENOX (ENOXAPARIN SODIUM) UNSPECIFIED"	C0728963	Lovenox	[u'orch', u'phsu']	[u'RXNORM']
"LOVENOX (ENOXAPARIN SODIUM) UNSPECIFIED"	C0724579	Enoxaparin sodium	[u'orch', u'phsu']	[u'RXNORM']
"ENALAPRIL/LERCANIDIPIN"	C0014025	Enalapril	[u'aapp', u'phsu']	[u'RXNORM', u'ATC']
"AMOXICILLIN TRIHYDRATE, CLAVULANIC ACID SANDOZ"	C0521900	Amoxicillin Trihydrate	[u'antb', u'orch']	[u'RXNORM']
"AMOXICILLIN TRIHYDRATE, CLAVULANIC ACID SANDOZ"	C0055860	Clavulanic Acid	[u'antb', u'orch']	[u'RXNORM']
"NIFEREX-150 (POLYSACCHARIDE-IRON COMPLEX) CAPSULES"	C0212018	Niferex-150	[u'orch', u'phsu']	[u'RXNORM']
"NIFEREX-150 (POLYSACCHARIDE-IRON COMPLEX) CAPSULES"	C0357080	Polysaccharide iron complex	[u'orch', u'phsu']	[u'RXNORM']
"NIFEREX-150 (POLYSACCHARIDE-IRON COMPLEX) CAPSULES"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
"ACIDOPHIL CAPSULES"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
