UTTERANCE	CUI	PT	ST	SOURCES
"GAMMAGARD S/D  FOR INJECTION"	C0086333	Gammagard	[u'aapp', u'imft', u'phsu']	[u'RXNORM']
"GAMMAGARD S/D  FOR INJECTION"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"MISOPROSTOLL TABLETS, 200 MCG"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"ZICAM NASAL GEL MATRIXX SCOTTSDALE, AZ."	C0991526	Nasal Gel	[u'bodm']	[u'RXNORM']
"KANALOG(TRIAMCINOLONE ACETONIDE)"	C0040866	Triamcinolone Acetonide	[u'orch', u'phsu']	[u'RXNORM']
"NAPROXEN SODIUM, CELECOXIB"	C0546873	Naproxen sodium	[u'orch', u'phsu']	[u'RXNORM']
"NAPROXEN SODIUM, CELECOXIB"	C0538927	celecoxib	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ROXICET (OXYCODONE HYDROCHLORIDE, ACETAMINOPHEN)"	C0723148	Roxicet	[u'orch', u'phsu']	[u'RXNORM']
"ROXICET (OXYCODONE HYDROCHLORIDE, ACETAMINOPHEN)"	C0282274	Oxycodone Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"ROXICET (OXYCODONE HYDROCHLORIDE, ACETAMINOPHEN)"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"TAVOR 4 MG/ML SOLUZIONE INIETTABILE"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"OMEPRAZOLE/ SODIUM BICARBO"	C0771315	Omeprazole Sodium	[u'orch', u'phsu']	[u'RXNORM']
"CALCIUM CARBONATE W/COLECALCIFEROL (LEUKOVIT CA)"	C0008318	Cholecalciferol	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"CALCIUM CARBONATE W/COLECALCIFEROL (LEUKOVIT CA)"	C0006681	Calcium Carbonate	[u'inch', u'phsu']	[u'RXNORM', u'ATC']
"INTRAVENOUS ANTIBIOTICS (UNSPECIFIED)"	C0003237	Antibiotics, Antitubercular	[u'antb']	[u'ATC']
"INTRAVENOUS ANTIBIOTICS (UNSPECIFIED)"	C3540704	Antibiotics for systemic use	[u'antb']	[u'ATC']
"INTRAVENOUS ANTIBIOTICS (UNSPECIFIED)"	C3540705	Antifungal Antibiotics, Topical	[u'antb']	[u'ATC']
"INTRAVENOUS ANTIBIOTICS (UNSPECIFIED)"	C3540706	Antibiotic throat preparations	[u'antb']	[u'ATC']
"INTRAVENOUS ANTIBIOTICS (UNSPECIFIED)"	C3540707	Antibiotics FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	[u'antb']	[u'ATC']
"INTRAVENOUS ANTIBIOTICS (UNSPECIFIED)"	C3540708	Antibiotics, Gynecological	[u'antb']	[u'ATC']
"INTRAVENOUS ANTIBIOTICS (UNSPECIFIED)"	C3540709	antibiotics, intestinal	[u'antb']	[u'ATC']
"INTRAVENOUS ANTIBIOTICS (UNSPECIFIED)"	C3540710	Antibiotics, ophthalmologic	[u'antb']	[u'ATC']
"VENTOLIN CFC FREE (SALBUTAMOL SULPHATE)"	C0033744	Ventolin	[u'orch', u'phsu']	[u'RXNORM']
"VENTOLIN CFC FREE (SALBUTAMOL SULPHATE)"	C0543495	Albuterol Sulfate	[u'orch', u'phsu']	[u'RXNORM']
"SUPER B COMPLEX [AMINOBENZOIC ACID;BIOTIN;CALCIUM PANTOTHENATE;CHOLINE"	C0000473	4-Aminobenzoic Acid	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"SUPER B COMPLEX [AMINOBENZOIC ACID;BIOTIN;CALCIUM PANTOTHENATE;CHOLINE"	C0005575	Biotin	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"SUPER B COMPLEX [AMINOBENZOIC ACID;BIOTIN;CALCIUM PANTOTHENATE;CHOLINE"	C0006710	Calcium Pantothenate	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"SUPER B COMPLEX [AMINOBENZOIC ACID;BIOTIN;CALCIUM PANTOTHENATE;CHOLINE"	C0008405	Choline	[u'bacs', u'orch', u'phsu']	[u'RXNORM']
"CYTOMEL (THYROID REPLACEMENT)"	C0010826	Cytomel	[u'aapp', u'phsu']	[u'RXNORM']
"CYTOMEL (THYROID REPLACEMENT)"	C3540038	THYROID DIAGNOSTIC RADIOPHARMACEUTICALS	[u'irda']	[u'ATC']
"MAGNESIUM SULFATE/ POTASSIUM CHLORIDE/ SODIUM CHLORIDE"	C0718014	Potassium Chloride / Sodium Chloride	[u'phsu']	[u'RXNORM']
"MAGNESIUM SULFATE/ POTASSIUM CHLORIDE/ SODIUM CHLORIDE"	C0024480	Magnesium Sulfate	[u'inch', u'phsu']	[u'RXNORM', u'ATC']
"ALBUMIN (ALBUMIN NORMAL HUMAN SODIUM)"	C0001924	Albumins	[u'aapp', u'bacs']	[u'ATC']
"ALBUMIN (ALBUMIN NORMAL HUMAN SODIUM)"	C0037473	Sodium	[u'bacs', u'elii']	[u'RXNORM']
"ALBUMIN (ALBUMIN NORMAL HUMAN SODIUM)"	C0597484	Sodium Cation	[u'elii']	[u'RXNORM']
"ALBUMIN (ALBUMIN NORMAL HUMAN SODIUM)"	C3541959	Sodium supplements	[u'phsu']	[u'ATC']
"ALBUMIN (ALBUMIN NORMAL HUMAN SODIUM)"	C0304925	Albumin Human, USP	[u'aapp', u'phsu']	[u'RXNORM']
"DICLOFENAC/CODEIN"	C0009214	Codeine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DICLOFENAC/CODEIN"	C0012091	Diclofenac	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"FENISTIL 4 MG/4 ML AMP INJ SOL"	C0991511	Injectable Solution	[u'bodm']	[u'RXNORM']
"FENISTIL 4 MG/4 ML AMP INJ SOL"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"CREST PRO-HEALTH RINSE PROCTOR GAMBLE"	C0033382	Proline	[u'aapp', u'bacs']	[u'RXNORM']
"CREST PRO-HEALTH RINSE PROCTOR GAMBLE"	C2948667	Crest	[u'inch', u'phsu']	[u'RXNORM']
"PROPANOLOL HYDROCHLORIDE                    (PROPRANOLOL HYDROCHLORIDE"	C0033497	Propranolol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PROPANOLOL HYDROCHLORIDE                    (PROPRANOLOL HYDROCHLORIDE"	C0282321	Propranolol Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"CALCIUM 500-D"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM 500-D"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"ACCUTANE(ISOTERTINOIN) 40 MG"	C0699581	Accutane	[u'orch', u'phsu']	[u'RXNORM']
"ACCUTANE(ISOTERTINOIN) 40 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"NORVASC    /DEN  /(AMLODIPINE BESILATE)"	C0162712	Norvasc	[u'orch', u'phsu']	[u'RXNORM']
"NORVASC    /DEN  /(AMLODIPINE BESILATE)"	C0354468	Amlodipine Besylate	[u'orch', u'phsu']	[u'RXNORM']
"GAVISCON FORTE (ALGINIC ACID (+) ALUMINUM HYDROXIDE (+) CALCIUM CARBON"	C0061146	Gaviscon	[u'inch', u'phsu']	[u'RXNORM']
"GAVISCON FORTE (ALGINIC ACID (+) ALUMINUM HYDROXIDE (+) CALCIUM CARBON"	C0051156	alginic acid	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"GAVISCON FORTE (ALGINIC ACID (+) ALUMINUM HYDROXIDE (+) CALCIUM CARBON"	C0002371	Aluminum Hydroxide	[u'inch', u'phsu']	[u'RXNORM', u'ATC']
"GAVISCON FORTE (ALGINIC ACID (+) ALUMINUM HYDROXIDE (+) CALCIUM CARBON"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"GAVISCON FORTE (ALGINIC ACID (+) ALUMINUM HYDROXIDE (+) CALCIUM CARBON"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"OXYNORM INJECTION 10MG/ML(OXYCODONE HYDROCHLORIDE) SOLUTION FOR INJECT"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"OXYNORM INJECTION 10MG/ML(OXYCODONE HYDROCHLORIDE) SOLUTION FOR INJECT"	C0282274	Oxycodone Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"NOVOPEN INSULIN (INSULIN/N/A/)(INJECTION)"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"CHEWABLE GAS PILL"	C0994475	Pills	[u'bodm']	[u'RXNORM']
"ASACOL/MESOTHLAMINE"	C0678172	Asacol	[u'aapp', u'phsu']	[u'RXNORM']
"GARAMYCIN EYE DROPS"	C0015399	Eye Drops	[u'bodm']	[u'RXNORM']
"GARAMYCIN EYE DROPS"	C0699088	Garamycin	[u'antb', u'orch']	[u'RXNORM']
"BELOC ZOK (METOPROLOL SUCCINATE) TABLET, 47.5MG"	C0724633	metoprolol succinate	[u'orch', u'phsu']	[u'RXNORM']
"BELOC ZOK (METOPROLOL SUCCINATE) TABLET, 47.5MG"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"ZOMETA(ZOLEDRONIE ACID)(UKNOWN)"	C0939788	Zometa	[u'orch', u'phsu']	[u'RXNORM']
"LEVOMEPROMAZINE (LEVOMEPROMAZINE) (LEVOMEPROMAZINE)?"	C0025678	Methotrimeprazine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"LEVOMEPROMAZINE (LEVOMEPROMAZINE) (LEVOMEPROMAZINE)?"	C0025678	Methotrimeprazine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"LEVOMEPROMAZINE (LEVOMEPROMAZINE) (LEVOMEPROMAZINE)?"	C0025678	Methotrimeprazine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CORTICOSTEROIDS(CORTISCOSTEROIDS)"	C3539185	Corticosteroid nasal preparations for topical use	[u'orch', u'phsu']	[u'ATC']
"CORTICOSTEROIDS(CORTISCOSTEROIDS)"	C3540725	Corticosteroid otologicals	[u'orch', u'phsu']	[u'ATC']
"CORTICOSTEROIDS(CORTISCOSTEROIDS)"	C3540726	Corticosteroid ophthalmologic and otologic preparations	[u'orch', u'phsu']	[u'ATC']
"CORTICOSTEROIDS(CORTISCOSTEROIDS)"	C3540727	Corticosteroids, topical for treatment of hemorrhoids and anal fissures	[u'orch', u'phsu']	[u'ATC']
"CYANOCOBALAM (CYANOCOBALAMIN) (UNKNOWN)"	C0042845	Vitamin B 12	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"A + D OINT, TOP"	C0028912	Ointments	[u'bodm']	[u'RXNORM']
"TASARAC CREAM 1%"	C1378128	Cream	[u'bodm']	[u'RXNORM']
"DOCETAXEL ACCORD INFVLST CONC 20MG/ML FL 1ML"	C0246415	docetaxel	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
