UTTERANCE	CUI	PT	ST	SOURCES
"FLAX SEED CAPSULES"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
"FLAX SEED CAPSULES"	C0995001	Flaxseed extract	[u'orch', u'phsu']	[u'RXNORM']
"FLAX SEED CAPSULES"	C2741523	flaxseed allergenic extract	[u'imft', u'phsu']	[u'RXNORM']
"APO-GO AMPOULES (APO-GO) APOMORHINE HYDROCHLORIDE) (APOMORPHINE HYDROC"	C0003596	Apomorphine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"VENOFER / IRON"	C0302583	Iron	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"VENOFER / IRON"	C0529374	Venofer	[u'orch', u'phsu']	[u'RXNORM']
"ASA (81 MILLIGRAM)"	C0004057	Aspirin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"INDOMETACIN CREAM"	C1378128	Cream	[u'bodm']	[u'RXNORM']
"INDOMETACIN CREAM"	C0021246	Indomethacin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CREAM E45 (E 45 CREAM) (NOT SPECIFIED)"	C1378128	Cream	[u'bodm']	[u'RXNORM']
"CREAM E45 (E 45 CREAM) (NOT SPECIFIED)"	C1378128	Cream	[u'bodm']	[u'RXNORM']
"KEPPRA 500 MG FILMTABLETTEN"	C0876060	Keppra	[u'orch', u'phsu']	[u'RXNORM']
"KEPPRA 500 MG FILMTABLETTEN"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"GLUCOSAMINE / CHONDROTIN"	C0017718	Glucosamine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PHENOBARBITONE (PHENOBARBITONE)"	C0031412	Phenobarbital	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PHENOBARBITONE (PHENOBARBITONE)"	C0031412	Phenobarbital	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"FENTANYL 100 MCG/IV"	C0015846	Fentanyl	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CALCIUM +D (05-CAL)"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM +D (05-CAL)"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"CHEMOTHERAPY AGENTS"	C0003392	Antineoplastic Agents	[u'orch', u'phsu']	[u'ATC']
"ZANAFLEX (TABLET) TIZANIDINE HYDROCHLORIDE"	C0595425	Zanaflex	[u'orch', u'phsu']	[u'RXNORM']
"ZANAFLEX (TABLET) TIZANIDINE HYDROCHLORIDE"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"ZANAFLEX (TABLET) TIZANIDINE HYDROCHLORIDE"	C0771735	tizanidine hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"CLINIMIX N9G15E (UNKNOWN) GLUCOSE, GLYCINE, ALANINE, SERINE, TYROSINE, LEUCINE, METHIONINE, PHENYLALANINE, VALINE, THREONINE, TRYPTOPHAN, L-, ISOLEUCINE, SODIUM ACETATE, PROLINE, LYSINE HYDROCHLORIDE, ARGININE HYDROCHLORIDE, HISTIDINE HYDROCHLORIDE, SODIUM CHLORIDE, POTASSIUM PHOSPHATE DIBASIC, MAGNESIUM CHLORIDE, CALCIUM CHLORIDE DIHYDRATE)"	C0017725	Glucose	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CLINIMIX N9G15E (UNKNOWN) GLUCOSE, GLYCINE, ALANINE, SERINE, TYROSINE, LEUCINE, METHIONINE, PHENYLALANINE, VALINE, THREONINE, TRYPTOPHAN, L-, ISOLEUCINE, SODIUM ACETATE, PROLINE, LYSINE HYDROCHLORIDE, ARGININE HYDROCHLORIDE, HISTIDINE HYDROCHLORIDE, SODIUM CHLORIDE, POTASSIUM PHOSPHATE DIBASIC, MAGNESIUM CHLORIDE, CALCIUM CHLORIDE DIHYDRATE)"	C0017890	Glycine	[u'aapp', u'bacs', u'phsu']	[u'RXNORM', u'ATC']
"CLINIMIX N9G15E (UNKNOWN) GLUCOSE, GLYCINE, ALANINE, SERINE, TYROSINE, LEUCINE, METHIONINE, PHENYLALANINE, VALINE, THREONINE, TRYPTOPHAN, L-, ISOLEUCINE, SODIUM ACETATE, PROLINE, LYSINE HYDROCHLORIDE, ARGININE HYDROCHLORIDE, HISTIDINE HYDROCHLORIDE, SODIUM CHLORIDE, POTASSIUM PHOSPHATE DIBASIC, MAGNESIUM CHLORIDE, CALCIUM CHLORIDE DIHYDRATE)"	C0001898	Alanine	[u'aapp', u'bacs']	[u'RXNORM']
"CLINIMIX N9G15E (UNKNOWN) GLUCOSE, GLYCINE, ALANINE, SERINE, TYROSINE, LEUCINE, METHIONINE, PHENYLALANINE, VALINE, THREONINE, TRYPTOPHAN, L-, ISOLEUCINE, SODIUM ACETATE, PROLINE, LYSINE HYDROCHLORIDE, ARGININE HYDROCHLORIDE, HISTIDINE HYDROCHLORIDE, SODIUM CHLORIDE, POTASSIUM PHOSPHATE DIBASIC, MAGNESIUM CHLORIDE, CALCIUM CHLORIDE DIHYDRATE)"	C0036720	Serine	[u'aapp', u'bacs', u'phsu']	[u'RXNORM']
"CLINIMIX N9G15E (UNKNOWN) GLUCOSE, GLYCINE, ALANINE, SERINE, TYROSINE, LEUCINE, METHIONINE, PHENYLALANINE, VALINE, THREONINE, TRYPTOPHAN, L-, ISOLEUCINE, SODIUM ACETATE, PROLINE, LYSINE HYDROCHLORIDE, ARGININE HYDROCHLORIDE, HISTIDINE HYDROCHLORIDE, SODIUM CHLORIDE, POTASSIUM PHOSPHATE DIBASIC, MAGNESIUM CHLORIDE, CALCIUM CHLORIDE DIHYDRATE)"	C0041485	Tyrosine	[u'aapp', u'bacs', u'phsu']	[u'RXNORM']
"CLINIMIX N9G15E (UNKNOWN) GLUCOSE, GLYCINE, ALANINE, SERINE, TYROSINE, LEUCINE, METHIONINE, PHENYLALANINE, VALINE, THREONINE, TRYPTOPHAN, L-, ISOLEUCINE, SODIUM ACETATE, PROLINE, LYSINE HYDROCHLORIDE, ARGININE HYDROCHLORIDE, HISTIDINE HYDROCHLORIDE, SODIUM CHLORIDE, POTASSIUM PHOSPHATE DIBASIC, MAGNESIUM CHLORIDE, CALCIUM CHLORIDE DIHYDRATE)"	C0023401	Leucine	[u'aapp', u'bacs', u'phsu']	[u'RXNORM']
"CLINIMIX N9G15E (UNKNOWN) GLUCOSE, GLYCINE, ALANINE, SERINE, TYROSINE, LEUCINE, METHIONINE, PHENYLALANINE, VALINE, THREONINE, TRYPTOPHAN, L-, ISOLEUCINE, SODIUM ACETATE, PROLINE, LYSINE HYDROCHLORIDE, ARGININE HYDROCHLORIDE, HISTIDINE HYDROCHLORIDE, SODIUM CHLORIDE, POTASSIUM PHOSPHATE DIBASIC, MAGNESIUM CHLORIDE, CALCIUM CHLORIDE DIHYDRATE)"	C0025646	Methionine	[u'aapp', u'bacs', u'phsu']	[u'RXNORM', u'ATC']
"CLINIMIX N9G15E (UNKNOWN) GLUCOSE, GLYCINE, ALANINE, SERINE, TYROSINE, LEUCINE, METHIONINE, PHENYLALANINE, VALINE, THREONINE, TRYPTOPHAN, L-, ISOLEUCINE, SODIUM ACETATE, PROLINE, LYSINE HYDROCHLORIDE, ARGININE HYDROCHLORIDE, HISTIDINE HYDROCHLORIDE, SODIUM CHLORIDE, POTASSIUM PHOSPHATE DIBASIC, MAGNESIUM CHLORIDE, CALCIUM CHLORIDE DIHYDRATE)"	C0031453	Phenylalanine	[u'aapp', u'bacs', u'phsu']	[u'RXNORM']
"CLINIMIX N9G15E (UNKNOWN) GLUCOSE, GLYCINE, ALANINE, SERINE, TYROSINE, LEUCINE, METHIONINE, PHENYLALANINE, VALINE, THREONINE, TRYPTOPHAN, L-, ISOLEUCINE, SODIUM ACETATE, PROLINE, LYSINE HYDROCHLORIDE, ARGININE HYDROCHLORIDE, HISTIDINE HYDROCHLORIDE, SODIUM CHLORIDE, POTASSIUM PHOSPHATE DIBASIC, MAGNESIUM CHLORIDE, CALCIUM CHLORIDE DIHYDRATE)"	C0042285	Valine	[u'aapp', u'bacs']	[u'RXNORM']
"CLINIMIX N9G15E (UNKNOWN) GLUCOSE, GLYCINE, ALANINE, SERINE, TYROSINE, LEUCINE, METHIONINE, PHENYLALANINE, VALINE, THREONINE, TRYPTOPHAN, L-, ISOLEUCINE, SODIUM ACETATE, PROLINE, LYSINE HYDROCHLORIDE, ARGININE HYDROCHLORIDE, HISTIDINE HYDROCHLORIDE, SODIUM CHLORIDE, POTASSIUM PHOSPHATE DIBASIC, MAGNESIUM CHLORIDE, CALCIUM CHLORIDE DIHYDRATE)"	C0040005	Threonine	[u'aapp', u'bacs', u'phsu']	[u'RXNORM']
"CLINIMIX N9G15E (UNKNOWN) GLUCOSE, GLYCINE, ALANINE, SERINE, TYROSINE, LEUCINE, METHIONINE, PHENYLALANINE, VALINE, THREONINE, TRYPTOPHAN, L-, ISOLEUCINE, SODIUM ACETATE, PROLINE, LYSINE HYDROCHLORIDE, ARGININE HYDROCHLORIDE, HISTIDINE HYDROCHLORIDE, SODIUM CHLORIDE, POTASSIUM PHOSPHATE DIBASIC, MAGNESIUM CHLORIDE, CALCIUM CHLORIDE DIHYDRATE)"	C0041249	Tryptophan	[u'aapp', u'bacs', u'phsu']	[u'RXNORM', u'ATC']
"CLINIMIX N9G15E (UNKNOWN) GLUCOSE, GLYCINE, ALANINE, SERINE, TYROSINE, LEUCINE, METHIONINE, PHENYLALANINE, VALINE, THREONINE, TRYPTOPHAN, L-, ISOLEUCINE, SODIUM ACETATE, PROLINE, LYSINE HYDROCHLORIDE, ARGININE HYDROCHLORIDE, HISTIDINE HYDROCHLORIDE, SODIUM CHLORIDE, POTASSIUM PHOSPHATE DIBASIC, MAGNESIUM CHLORIDE, CALCIUM CHLORIDE DIHYDRATE)"	C0022192	Isoleucine	[u'aapp', u'bacs', u'phsu']	[u'RXNORM']
