UTTERANCE	CUI	PT	ST	SOURCES
"LORTAB (ACETAMINOPHEN, HYDROCODONE BITARTRATE)"	C0553262	Lortab	[u'orch', u'phsu']	[u'RXNORM']
"LORTAB (ACETAMINOPHEN, HYDROCODONE BITARTRATE)"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"LORTAB (ACETAMINOPHEN, HYDROCODONE BITARTRATE)"	C0546868	Hydrocodone Bitartrate	[u'orch', u'phsu']	[u'RXNORM']
"DURAPHAT 5000 PPM FLUORIDE TOOTHPASTE (COLGATE-PALMOLIVE (UK) LIMITED)"	C0040462	Toothpaste	[u'bodm']	[u'RXNORM']
"DURAPHAT 5000 PPM FLUORIDE TOOTHPASTE (COLGATE-PALMOLIVE (UK) LIMITED)"	C3541971	Fluoride supplements	[u'phsu']	[u'ATC']
"DURAPHAT 5000 PPM FLUORIDE TOOTHPASTE (COLGATE-PALMOLIVE (UK) LIMITED)"	C2345900	Colgate	[u'inch', u'phsu']	[u'RXNORM']
"DUONEB (ALBUTEROL, ALBUTEROL SULFATE, IPRATORIUM BROMIDE)"	C0939692	DuoNeb	[u'orch', u'phsu']	[u'RXNORM']
"DUONEB (ALBUTEROL, ALBUTEROL SULFATE, IPRATORIUM BROMIDE)"	C0001927	Albuterol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DUONEB (ALBUTEROL, ALBUTEROL SULFATE, IPRATORIUM BROMIDE)"	C0543495	Albuterol Sulfate	[u'orch', u'phsu']	[u'RXNORM']
"DUONEB (ALBUTEROL, ALBUTEROL SULFATE, IPRATORIUM BROMIDE)"	C0006222	Bromides	[u'inch']	[u'ATC']
"ANAESTHETIC (OTIDIN /00462701)"	C0002932	Anesthetics	[u'phsu']	[u'ATC']
"XENADRINE RFA-1 /01521201/ (ACETYLCARNITINE, CITRUS AURANTIUM, EPHEDRA SPP., LEVOTHYROXINE, PANTOTHENIC ACID, PAULLINIA CUPANA, SALIX ALBA BARK, ZINGIBER OFFICINALE RHIZOME)"	C0001040	Acetylcarnitine	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"XENADRINE RFA-1 /01521201/ (ACETYLCARNITINE, CITRUS AURANTIUM, EPHEDRA SPP., LEVOTHYROXINE, PANTOTHENIC ACID, PAULLINIA CUPANA, SALIX ALBA BARK, ZINGIBER OFFICINALE RHIZOME)"	C0040165	levothyroxine	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"XENADRINE RFA-1 /01521201/ (ACETYLCARNITINE, CITRUS AURANTIUM, EPHEDRA SPP., LEVOTHYROXINE, PANTOTHENIC ACID, PAULLINIA CUPANA, SALIX ALBA BARK, ZINGIBER OFFICINALE RHIZOME)"	C0030342	Pantothenic Acid	[u'orch', u'phsu', u'vita']	[u'RXNORM']
