UTTERANCE	CUI	PT	ST	SOURCES
"GENERAL ANESTHESIA (ANAESTHETICS, GENERAL)"	C0017302	General anesthetic drugs	[u'phsu']	[u'ATC']
"GENERAL ANESTHESIA (ANAESTHETICS, GENERAL)"	C0002932	Anesthetics	[u'phsu']	[u'ATC']
"DIAZIDE/HCTZ"	C0020261	Hydrochlorothiazide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"BLINDED SPA100A SPA+TAB"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"ST JOSHEPHS 81 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"CO-CODAMOL(PA NADEINE CO)"	C2351132	Acetaminophen / Codeine	[u'phsu']	[u'RXNORM']
"HYDROCHLOROTHIAZIDE TABLETS USP (NGX) (HYDROCHLOROTHIAZIDE) TABLET"	C1244656	Hydrochlorothiazide Oral Tablet	[u'clnd']	[u'RXNORM']
"HYDROCHLOROTHIAZIDE TABLETS USP (NGX) (HYDROCHLOROTHIAZIDE) TABLET"	C0020261	Hydrochlorothiazide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"HYDROCHLOROTHIAZIDE TABLETS USP (NGX) (HYDROCHLOROTHIAZIDE) TABLET"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"L CARTIN FF TABLETS"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"CALTRATE -600 WITH VIT D"	C0042866	Vitamin D	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"CALTRATE -600 WITH VIT D"	C0719118	Caltrate	[u'inch', u'phsu']	[u'RXNORM']
"LEUPRORELINUM"	C0085272	Leuprolide	[u'aapp', u'horm', u'phsu']	[u'RXNORM', u'ATC']
"VIT A (RETINOL)"	C0042839	Vitamin A	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"VIT A (RETINOL)"	C0042839	Vitamin A	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"VIT A (RETINOL)"	C0087161	All-Trans-Retinol	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"CANG GLASSES COLESLOROL"	C0074759	sodium polymetaphosphate	[u'inch', u'irda']	[u'RXNORM']
"UNSPECIFIED IRON PIL"	C0302583	Iron	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"BUCKLEY'S COMPLETE LIQUID GELS NIGHT"	C0017243	Gel	[u'bodm']	[u'RXNORM']
"ANSAMYCIN"	C0140575	Rifabutin	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"CITRACAL + D (CITRACAL) + D) (TABLETS)"	C0719349	Citracal	[u'orch', u'phsu']	[u'RXNORM']
"OMEGA-3 FISH OIL CAPS"	C0016157	Fish Oils	[u'orch', u'phsu']	[u'RXNORM']
",LAMOTROGINE 100 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"PREVISCAN 20 MG, COMPRIME QUADRISECABLE"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"AMIGRAND (MIXED AMINO ACID/CARBOHYDRATE/ELECTROLYTE/VITAMIN COMBINED D"	C0042890	Vitamins	[u'orch', u'phsu', u'vita']	[u'ATC']
"AMIGRAND (MIXED AMINO ACID/CARBOHYDRATE/ELECTROLYTE/VITAMIN COMBINED D"	C0002520	Amino Acids	[u'aapp', u'bacs', u'phsu']	[u'ATC']
"AMIGRAND (MIXED AMINO ACID/CARBOHYDRATE/ELECTROLYTE/VITAMIN COMBINED D"	C0007004	Carbohydrates	[u'orch']	[u'ATC']
"AMIGRAND (MIXED AMINO ACID/CARBOHYDRATE/ELECTROLYTE/VITAMIN COMBINED D"	C0013832	Electrolytes	[u'inch', u'phsu']	[u'ATC']
