UTTERANCE	CUI	PT	ST	SOURCES
"SYNTHROID ZOFRAN"	C0206046	Zofran	[u'orch', u'phsu']	[u'RXNORM']
"SYNTHROID ZOFRAN"	C0728762	Synthroid	[u'aapp', u'phsu']	[u'RXNORM']
"VITAMIN B12 (CYANOCOBALMIN)LOZENGE"	C0042845	Vitamin B 12	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"VITAMIN B12 (CYANOCOBALMIN)LOZENGE"	C0991564	Oral Lozenge	[u'bodm']	[u'RXNORM']
"STOMACH ENZYMES"	C3540017	Enzymes, hematological	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"STOMACH ENZYMES"	C3540048	ENZYMES FOR TREATMENT OF WOUNDS AND ULCERS	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"STOMACH ENZYMES"	C3540772	Enzymes FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"STOMACH ENZYMES"	C3540790	Enzymes, peripheral vasodilators	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"STOMACH ENZYMES"	C3541394	Enzymes, antithrombotic	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"STOMACH ENZYMES"	C3542456	Enzymes for ALIMENTARY TRACT AND METABOLISM	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"VITAMIN B-COMPLEX                  /06411001/"	C0016410	Folic Acid	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"VITAMIN B-COMPLEX                  /06411001/"	C0042849	Vitamin B Complex	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"MTX//METHOTREXATE"	C0025677	Methotrexate	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ZOSTRIX TOPICAL ANALGESIC CREAM"	C0991551	Topical Cream	[u'bodm']	[u'RXNORM']
"ZOSTRIX TOPICAL ANALGESIC CREAM"	C0002771	Analgesics	[u'hops', u'orch', u'phsu']	[u'ATC']
"ZOSTRIX TOPICAL ANALGESIC CREAM"	C0308191	Zostrix	[u'orch', u'phsu']	[u'RXNORM']
"ASA     (CETYLSALICYLIC ACID)"	C0004057	Aspirin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CO Q10 50 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"CO Q10 50 MG"	C0056077	coenzyme Q10	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"CO Q10 50 MG"	C2355853	Co-Q10	[u'phsu']	[u'RXNORM']
"OPIUM AND BELLADONA"	C0029112	Opium	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PERCOCET TAB 10 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"PERCOCET TAB 10 MG"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"PERCOCET TAB 10 MG"	C0086787	Percocet	[u'orch', u'phsu']	[u'RXNORM']
"MEDILAC-S (BACILLUS SUBTILIS, STREPTOCOCCUS FAECALIS)"	C0004595	Bacillus subtilis	[u'bact']	[u'RXNORM']
"MEDILAC-S (BACILLUS SUBTILIS, STREPTOCOCCUS FAECALIS)"	C0038404	Enterococcus faecalis	[u'bact']	[u'RXNORM']
"CODEINE W/PROMETHAZINE HYDROCHLORIDE"	C0307284	Phenergan with Codeine	[u'orch', u'phsu']	[u'RXNORM']
"ASPIRIN (ACEYTLSALICYLIC ACID) (ENTERIC-COATED TABLET)"	C0004057	Aspirin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ASPIRIN (ACEYTLSALICYLIC ACID) (ENTERIC-COATED TABLET)"	C0039226	Delayed Release Oral Tablet	[u'bodm']	[u'RXNORM']
"INSULIN GLARGINE     (APIDRA)"	C0907402	Insulin Glargine	[u'aapp', u'horm', u'phsu']	[u'RXNORM', u'ATC']
"INSULIN GLARGINE     (APIDRA)"	C1654827	Apidra	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"FLOMAX ^BOEHRINGER INGELHEIM^ (TAMSULOSIN HYDROCHLORIDE) CAPSULE"	C0662903	Flomax	[u'orch', u'phsu']	[u'RXNORM']
"FLOMAX ^BOEHRINGER INGELHEIM^ (TAMSULOSIN HYDROCHLORIDE) CAPSULE"	C0771774	Tamsulosin hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"FLOMAX ^BOEHRINGER INGELHEIM^ (TAMSULOSIN HYDROCHLORIDE) CAPSULE"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
"INSULIN ASPART HUM"	C0123677	Insulin, Aspart, Human	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"INSULIN ASPART HUM"	C1708521	Insulin Aspart	[u'aapp', u'horm', u'phsu']	[u'ATC']
"MEDI-PAK ANTIMICROBIAL SOAP W/ALOE"	C0304554	Aloe Extract	[u'orch', u'phsu']	[u'RXNORM']
"MEDI-PAK ANTIMICROBIAL SOAP W/ALOE"	C2825121	aloe vera leaf extract	[u'orch', u'phsu']	[u'RXNORM']
"UNKNOWN STEROID PILL"	C0994475	Pills	[u'bodm']	[u'RXNORM']
"TRAMADOL HYDROCHLORIDE/PARACETAMOL (PAZITAL)"	C1169987	Acetaminophen / Tramadol	[u'phsu']	[u'RXNORM']
"PREDNISONE/ACECLOFENAC/PANTOPRAZOLE"	C0081876	pantoprazole	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PREDNISONE/ACECLOFENAC/PANTOPRAZOLE"	C0032952	Prednisone	[u'horm', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PREDNISONE/ACECLOFENAC/PANTOPRAZOLE"	C0050403	aceclofenac	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ALCOHOLIC FOOD/ENJOYMENT FOOD"	C3540798	Food allergenic extracts	[u'imft', u'phsu']	[u'ATC']
"ACETYLSALICYLIC ACID+ DIPYRIDAMOLE (ASASANTIN RETARD) (UNKNOWN)"	C0012582	Dipyridamole	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ACETYLSALICYLIC ACID+ DIPYRIDAMOLE (ASASANTIN RETARD) (UNKNOWN)"	C0004057	Aspirin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"VENTER (VENTER-ASCORBIC ACID/PARACETAMOL/PHENYLEPRHINE/SALICYLAMIDE) ("	C0036071	salicylamide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"VENTER (VENTER-ASCORBIC ACID/PARACETAMOL/PHENYLEPRHINE/SALICYLAMIDE) ("	C0003968	Ascorbic Acid	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"VENTER (VENTER-ASCORBIC ACID/PARACETAMOL/PHENYLEPRHINE/SALICYLAMIDE) ("	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"FERROUS FUMARATES"	C0060276	Ferrous fumarate	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"TIENAM (IMIPENEM-CILASTATIN)"	C0071972	Cilastatin / Imipenem	[u'phsu']	[u'RXNORM']
"MAALOX REGULAR LIQUID"	C0065461	Maalox	[u'inch', u'phsu']	[u'RXNORM']
"VITAMIN E (TOCOPHERYL ACID SUCCINATE) CAPSULE"	C0042874	Vitamin E	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"VITAMIN E (TOCOPHERYL ACID SUCCINATE) CAPSULE"	C0078375	alpha-Tocopherol Succinate	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"VITAMIN E (TOCOPHERYL ACID SUCCINATE) CAPSULE"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
"LIMICAN 50 MG/2 ML"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"ADVAIR COMPLETE FORMULATION"	C0965130	Advair	[u'orch', u'phsu']	[u'RXNORM']
"BRONUCK (BROMFENAC SODIUM HYDRATE)"	C0037517	Sodium Hydroxide	[u'hops', u'inch']	[u'RXNORM']
"BRONUCK (BROMFENAC SODIUM HYDRATE)"	C0107211	Bromfenac sodium	[u'orch', u'phsu']	[u'RXNORM']
"VOLTAREN OPHTHALMIC SOLUTION SD (NVO)"	C0029083	Ophthalmic Solution	[u'bodm']	[u'RXNORM']
"VOLTAREN OPHTHALMIC SOLUTION SD (NVO)"	C0699958	Voltaren	[u'orch', u'phsu']	[u'RXNORM']
"TRUVODO (TCNOFOVIR DISOPROXIL FUMARATE+EMTRICITABINO)"	C0220833	fumarate	[u'orch', u'phsu']	[u'RXNORM']
"FORMOTEROL FUMARATE  12MCG INHL CAP"	C0771469	formoterol fumarate	[u'orch', u'phsu']	[u'RXNORM']
"FORMOTEROL FUMARATE  12MCG INHL CAP"	C1579393	formoterol fumarate dihydrate	[u'orch', u'phsu']	[u'RXNORM']
"PIRAMIL (RAMIPRIL)"	C0072973	Ramipril	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PROBIOTIC (BIFIDOBACTERIUM INFANTS, LACTOBACILLUS ACIDOPHILUS)"	C0022939	Lactobacillus acidophilus	[u'bact']	[u'RXNORM']
"CHROMIUM           (UNSPECIFIED)"	C0008574	Chromium	[u'elii', u'hops']	[u'RXNORM']
"NTG PASTE 1 INCH"	C1321899	Paste	[u'bodm']	[u'RXNORM']
"BISMUTH HYDROXIDE/BISMUTH SUBGALLATE/BORIC ACID/MYROXYLON BALSAMUM VAR. PEREIR/ZINC OXIDE"	C1874605	boric acid / Zinc Oxide	[u'phsu']	[u'RXNORM']
"BISMUTH HYDROXIDE/BISMUTH SUBGALLATE/BORIC ACID/MYROXYLON BALSAMUM VAR. PEREIR/ZINC OXIDE"	C0771161	BISMUTH HYDROXIDE	[u'inch', u'phsu']	[u'RXNORM']
"PROSED/DS TARGET"	C0722863	Prosed DS	[u'orch', u'phsu']	[u'RXNORM']
"NATURAL BALANCE TEARS LUBRICANT EYE DROPS"	C0015399	Eye Drops	[u'bodm']	[u'RXNORM']
"Z-PAK ANTIBIOTIC"	C1878682	{6 (Azithromycin 250 MG Oral Tablet [Zithromax]) } Pack [Z-PAKS]	[u'drdd']	[u'RXNORM']
"RENIVACE (RENIVACE-ENALAPRIL MALEATE) 5 MG"	C0700452	Enalapril Maleate	[u'aapp', u'phsu']	[u'RXNORM']
"RENIVACE (RENIVACE-ENALAPRIL MALEATE) 5 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"CALCIUM CAMOONOUR"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM CAMOONOUR"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"BLOOD PLASMA PHARESIS"	C0032105	Plasma	[u'bdsu']	[u'ATC']
"MOVE FREE WITH MSM + D3"	C0058231	methylsulfonylmethane	[u'orch', u'phsu']	[u'RXNORM']
"GLICONORM (METFORMIN/GLIBENCLAMIDE)"	C0939773	Glyburide / Metformin	[u'phsu']	[u'RXNORM']
"ALBUTEROL SULFATE INHALER (NEBULIZER)"	C0543495	Albuterol Sulfate	[u'orch', u'phsu']	[u'RXNORM']
"APAP/CODEINE (CODEINE/PARACETAMOL)"	C0009214	Codeine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"APAP/CODEINE (CODEINE/PARACETAMOL)"	C0000970	Acetaminophen	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"APAP/CODEINE (CODEINE/PARACETAMOL)"	C2351132	Acetaminophen / Codeine	[u'phsu']	[u'RXNORM']
"METHYLENEDIOXY-N-METHYLAMPHETAMINE"	C0025611	Methamphetamine	[u'hops', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PROCHLORPERAZNE PS"	C0301704	phosphatidylserine	[u'orch']	[u'RXNORM']
"PATANOL EYES"	C0722498	Patanol	[u'orch', u'phsu']	[u'RXNORM']
"EXCEDRIN HEADACHE"	C0720328	Excedrin	[u'orch', u'phsu']	[u'RXNORM']
"NEOTRACIN (NEOMYCIN SULFATE, POLYMYXIN B SULFATE, BACITRACIN)"	C0027607	Neomycin Sulfate	[u'antb', u'orch']	[u'RXNORM']
"NEOTRACIN (NEOMYCIN SULFATE, POLYMYXIN B SULFATE, BACITRACIN)"	C0001714	Polymyxin B Sulfate	[u'aapp', u'antb']	[u'RXNORM']
"NEOTRACIN (NEOMYCIN SULFATE, POLYMYXIN B SULFATE, BACITRACIN)"	C0004599	Bacitracin	[u'aapp', u'antb']	[u'RXNORM', u'ATC']
"BISMUTH HYDROXIDE W/ZINC OXIDE (BISMUTH HYDROXIDE, ZINC OXIDE)"	C0043491	Zinc Oxide	[u'inch', u'phsu']	[u'RXNORM']
"BISMUTH HYDROXIDE W/ZINC OXIDE (BISMUTH HYDROXIDE, ZINC OXIDE)"	C0771161	BISMUTH HYDROXIDE	[u'inch', u'phsu']	[u'RXNORM']
"BISMUTH HYDROXIDE W/ZINC OXIDE (BISMUTH HYDROXIDE, ZINC OXIDE)"	C0771161	BISMUTH HYDROXIDE	[u'inch', u'phsu']	[u'RXNORM']
"BISMUTH HYDROXIDE W/ZINC OXIDE (BISMUTH HYDROXIDE, ZINC OXIDE)"	C0043491	Zinc Oxide	[u'inch', u'phsu']	[u'RXNORM']
"POSACONAZOLA (NOXAFIL) 100 MG DR TABLET"	C1174778	Noxafil	[u'orch', u'phsu']	[u'RXNORM']
"POSACONAZOLA (NOXAFIL) 100 MG DR TABLET"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"POSACONAZOLA (NOXAFIL) 100 MG DR TABLET"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"TRAMA/00599202/ (TRAMAL-TRAMADOL HYDROCHLORIDE) (NOT SPECIFIED)"	C2350089	tramadol hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"BENYLIN EXTRA STRENGTH COUGH COLD AND SORE THROAT"	C0591162	Benylin	[u'orch', u'phsu']	[u'RXNORM']
"ANTI-ANGIOGENESIS AGENT AG-013736"	C0051080	alanylglutamine	[u'aapp', u'bacs', u'phsu']	[u'RXNORM', u'ATC']
"OXYCONTIN (OXYCODONE HYDROCHLORIDE)(OXYCODONE HYDROCHLORIDE)"	C0722364	Oxycontin	[u'orch', u'phsu']	[u'RXNORM']
"OXYCONTIN (OXYCODONE HYDROCHLORIDE)(OXYCODONE HYDROCHLORIDE)"	C0282274	Oxycodone Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"OXYCONTIN (OXYCODONE HYDROCHLORIDE)(OXYCODONE HYDROCHLORIDE)"	C0282274	Oxycodone Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"SOYABEAN OIL"	C0037732	Soybean Oil	[u'food', u'phsu']	[u'RXNORM']
"JANUVIA (SITAGLIPTIN PHOSPHATE (FILM-COATED TABLET, 50 MG"	C1702177	Januvia	[u'orch', u'phsu']	[u'RXNORM']
"JANUVIA (SITAGLIPTIN PHOSPHATE (FILM-COATED TABLET, 50 MG"	C1667080	sitagliptin phosphate	[u'orch', u'phsu']	[u'RXNORM']
"JANUVIA (SITAGLIPTIN PHOSPHATE (FILM-COATED TABLET, 50 MG"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"JANUVIA (SITAGLIPTIN PHOSPHATE (FILM-COATED TABLET, 50 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"IMMUNOSUPPRESSIVE AGENTS          (IMMUNOSUPPRESSIVE AGENTS)"	C0021081	Immunosuppressive Agents	[u'imft', u'phsu']	[u'ATC']
"IMMUNOSUPPRESSIVE AGENTS          (IMMUNOSUPPRESSIVE AGENTS)"	C0021081	Immunosuppressive Agents	[u'imft', u'phsu']	[u'ATC']
"BUPROPION HCL TABS X1 300MG ANCHEN"	C0700563	Bupropion Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"BUPROPION HCL TABS X1 300MG ANCHEN"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"COSOPT (20 MG/ML + 5 MG/ML) (2.0/0.5 %) (COSOPT) (EYE DROPS, SOLUTION) (TIMOLOL MALEATE, DORZOLAMIDE HYDROCHLORIDE)"	C0719542	Cosopt	[u'orch', u'phsu']	[u'RXNORM']
"COSOPT (20 MG/ML + 5 MG/ML) (2.0/0.5 %) (COSOPT) (EYE DROPS, SOLUTION) (TIMOLOL MALEATE, DORZOLAMIDE HYDROCHLORIDE)"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"COSOPT (20 MG/ML + 5 MG/ML) (2.0/0.5 %) (COSOPT) (EYE DROPS, SOLUTION) (TIMOLOL MALEATE, DORZOLAMIDE HYDROCHLORIDE)"	C0719542	Cosopt	[u'orch', u'phsu']	[u'RXNORM']
"COSOPT (20 MG/ML + 5 MG/ML) (2.0/0.5 %) (COSOPT) (EYE DROPS, SOLUTION) (TIMOLOL MALEATE, DORZOLAMIDE HYDROCHLORIDE)"	C0015399	Eye Drops	[u'bodm']	[u'RXNORM']
"COSOPT (20 MG/ML + 5 MG/ML) (2.0/0.5 %) (COSOPT) (EYE DROPS, SOLUTION) (TIMOLOL MALEATE, DORZOLAMIDE HYDROCHLORIDE)"	C0087093	Timolol Maleate	[u'orch', u'phsu']	[u'RXNORM']
"COSOPT (20 MG/ML + 5 MG/ML) (2.0/0.5 %) (COSOPT) (EYE DROPS, SOLUTION) (TIMOLOL MALEATE, DORZOLAMIDE HYDROCHLORIDE)"	C0771293	Dorzolamide hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"LOPRESS//LOSARTAN POTASSIUM"	C0700492	Losartan Potassium	[u'orch', u'phsu']	[u'RXNORM']
"OMEGA-3 (DOCOSAHEXAENOIC ACID, ELCOSAPENTAENOIC ACID)"	C0015689	Omega-3 Fatty Acids	[u'bacs', u'orch', u'phsu']	[u'RXNORM']
"OMEGA-3 (DOCOSAHEXAENOIC ACID, ELCOSAPENTAENOIC ACID)"	C0556150	docosahexaenoic acid	[u'orch', u'phsu']	[u'RXNORM']
"OMEGA-3 (DOCOSAHEXAENOIC ACID, ELCOSAPENTAENOIC ACID)"	C2348308	doconexent	[u'orch', u'phsu']	[u'RXNORM']
"ACE INHIBITOR/HCTZ"	C0020261	Hydrochlorothiazide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ENOXAPARIN SODIUM ENOXAPARIN AMPHASTAR PHARMACEUTICALS INC. INJECTABLE"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"ENOXAPARIN SODIUM ENOXAPARIN AMPHASTAR PHARMACEUTICALS INC. INJECTABLE"	C0724579	Enoxaparin sodium	[u'orch', u'phsu']	[u'RXNORM']
"LIMAPROST  ALFADEX"	C0051348	alpha-cyclodextrin	[u'orch', u'phsu']	[u'RXNORM']
"TOPROL - XL"	C2723006	Toprol	[u'orch', u'phsu']	[u'RXNORM']
"SINEMET CR 50/200MG"	C0074559	Sinemet	[u'orch', u'phsu']	[u'RXNORM']
"LYRICA / PREGABALINE"	C0657912	pregabalin	[u'aapp', u'phsu']	[u'RXNORM', u'ATC']
"LYRICA / PREGABALINE"	C1570232	Lyrica	[u'orch', u'phsu']	[u'RXNORM']
"SUDAL-DM"	C1170629	Sudal DM	[u'orch', u'phsu']	[u'RXNORM']
"PANCREATIC ENZYMES SUBSTITUTE"	C3540017	Enzymes, hematological	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"PANCREATIC ENZYMES SUBSTITUTE"	C3540048	ENZYMES FOR TREATMENT OF WOUNDS AND ULCERS	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"PANCREATIC ENZYMES SUBSTITUTE"	C3540772	Enzymes FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"PANCREATIC ENZYMES SUBSTITUTE"	C3540790	Enzymes, peripheral vasodilators	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"PANCREATIC ENZYMES SUBSTITUTE"	C3541394	Enzymes, antithrombotic	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"PANCREATIC ENZYMES SUBSTITUTE"	C3542456	Enzymes for ALIMENTARY TRACT AND METABOLISM	[u'aapp', u'enzy', u'phsu']	[u'ATC']
"BUTORPHANOL 4MG/2ML BEDFORD LABS"	C0035100	Chymosin	[u'aapp', u'enzy']	[u'RXNORM']
"BUTORPHANOL 4MG/2ML BEDFORD LABS"	C0006491	Butorphanol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"TIPEPIDINE HBENZATE (TIPEPIDINE HIBENZATE)"	C0076714	tipepidine	[u'orch', u'phsu']	[u'ATC']
"TIPEPIDINE HBENZATE (TIPEPIDINE HIBENZATE)"	C0076714	tipepidine	[u'orch', u'phsu']	[u'ATC']
"SIMILASAN STYE EYE RELIEF 10 ML (HOMEOPATHIC)"	C2961551	Stye	[u'orch', u'phsu']	[u'RXNORM']
"PATROL -37,5 MG + 325 MG COMPRESSE RIVESTITE CON FILM -ALFA WASSERMANN"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"UROXATRAL (ALFUZOSIN HYDROCHLORIDE) (TAD)"	C1174734	UroXatral	[u'orch', u'phsu']	[u'RXNORM']
"UROXATRAL (ALFUZOSIN HYDROCHLORIDE) (TAD)"	C0102130	Alfuzosin hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"SODIUM FLUORIDE DROPS 0.5MG / 1ML HI-TECH PHARMACAL CO., INC."	C0037508	Sodium Fluoride	[u'bodm', u'inch']	[u'RXNORM', u'ATC']
"TUBERCULIN SKIN TEST"	C0041289	Tuberculin	[u'aapp', u'imft', u'irda']	[u'RXNORM', u'ATC']
"PARACETAMOL W/CODEINE"	C2351132	Acetaminophen / Codeine	[u'phsu']	[u'RXNORM']
"AMLODOPINE/BENAZAPRIL"	C0053091	benazepril	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ONGLYZA (SAXAGLITIN HYDROCHLORIDE)"	C2718463	Onglyza	[u'orch', u'phsu']	[u'RXNORM']
"LIBRAX (CHLORDIAZEPOXIDE HYDROCHLORIDE/ CLIDINIM BROMIDE)"	C0064956	Librax	[u'orch', u'phsu']	[u'RXNORM']
"LIBRAX (CHLORDIAZEPOXIDE HYDROCHLORIDE/ CLIDINIM BROMIDE)"	C0006222	Bromides	[u'inch']	[u'ATC']
"LIBRAX (CHLORDIAZEPOXIDE HYDROCHLORIDE/ CLIDINIM BROMIDE)"	C0700528	Chlordiazepoxide Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"FERRIC III NATRIUM D-GLUCONAT-SUCROSE COMPLEX"	C3848561	ferric cation	[u'elii', u'phsu']	[u'RXNORM']
"FERRIC III NATRIUM D-GLUCONAT-SUCROSE COMPLEX"	C0038636	Sucrose	[u'bacs', u'orch', u'phsu']	[u'RXNORM']
"PRIMOXIN 500 MG IV Q 8 HOURS"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"ANTICOAGULANT-HEPARIN GROUP"	C3654016	Heparin group antithrombotic drugs	[u'phsu']	[u'ATC']
"ZINC/ASCORBIC ACID/COPPER/CYSTINE/MANGANESE/CALCIUM ASCORBATE/BETACAROTENE/TOCOPHEROL"	C0042874	Vitamin E	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"ZINC/ASCORBIC ACID/COPPER/CYSTINE/MANGANESE/CALCIUM ASCORBATE/BETACAROTENE/TOCOPHEROL"	C3255108	Tocopherol	[u'orch', u'phsu', u'vita']	[u'RXNORM']
