UTTERANCE	CUI	PT	ST	SOURCES
"LIVER X"	C3486713	Mammal liver preparation	[u'aapp', u'phsu']	[u'RXNORM']
"ESPIRODONOTADONA (ESPIRONOLACTONA)"	C0037982	Spironolactone	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SYMBICORT (BUDESONIDE W/FORMOTEROL FORMOTEROL FUMARATE) (BUDESONIDE W/FORMOTEROL FUMARATE)"	C1121854	Symbicort	[u'orch', u'phsu']	[u'RXNORM']
"SYMBICORT (BUDESONIDE W/FORMOTEROL FORMOTEROL FUMARATE) (BUDESONIDE W/FORMOTEROL FUMARATE)"	C0771469	formoterol fumarate	[u'orch', u'phsu']	[u'RXNORM']
"SYMBICORT (BUDESONIDE W/FORMOTEROL FORMOTEROL FUMARATE) (BUDESONIDE W/FORMOTEROL FUMARATE)"	C1579393	formoterol fumarate dihydrate	[u'orch', u'phsu']	[u'RXNORM']
"SYMBICORT (BUDESONIDE W/FORMOTEROL FORMOTEROL FUMARATE) (BUDESONIDE W/FORMOTEROL FUMARATE)"	C1276807	Budesonide / formoterol	[u'phsu']	[u'RXNORM']
"SYMBICORT (BUDESONIDE W/FORMOTEROL FORMOTEROL FUMARATE) (BUDESONIDE W/FORMOTEROL FUMARATE)"	C0771469	formoterol fumarate	[u'orch', u'phsu']	[u'RXNORM']
"SYMBICORT (BUDESONIDE W/FORMOTEROL FORMOTEROL FUMARATE) (BUDESONIDE W/FORMOTEROL FUMARATE)"	C1579393	formoterol fumarate dihydrate	[u'orch', u'phsu']	[u'RXNORM']
"SYMBICORT (BUDESONIDE W/FORMOTEROL FORMOTEROL FUMARATE) (BUDESONIDE W/FORMOTEROL FUMARATE)"	C1276807	Budesonide / formoterol	[u'phsu']	[u'RXNORM']
"GLUCOSAMINE C + CHONDORITIN"	C0017718	Glucosamine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"VANICREAM TOPICAL CREAM"	C0991551	Topical Cream	[u'bodm']	[u'RXNORM']
