UTTERANCE	CUI	PT	ST	SOURCES
"CALCIUM ALEO VERA"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM ALEO VERA"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"TETREX /00001701/ (TETRACYCLINE) (CON.)"	C1327685	Tetrex	[u'antb', u'orch']	[u'RXNORM']
"TETREX /00001701/ (TETRACYCLINE) (CON.)"	C0039644	Tetracycline	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"TETREX /00001701/ (TETRACYCLINE) (CON.)"	C1744619	Tetracycline Antibiotics	[u'antb', u'orch']	[u'ATC']
"593A SARNA SENSITIVE LOTION (PRAMOXINE HYDROCHLORIDE) (PRAMOCAINE  HYD"	C0544341	Lotion	[u'bodm']	[u'RXNORM']
"593A SARNA SENSITIVE LOTION (PRAMOXINE HYDROCHLORIDE) (PRAMOCAINE  HYD"	C1519185	Sarna	[u'orch', u'phsu']	[u'RXNORM']
"593A SARNA SENSITIVE LOTION (PRAMOXINE HYDROCHLORIDE) (PRAMOCAINE  HYD"	C0147008	Pramoxine hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"593A SARNA SENSITIVE LOTION (PRAMOXINE HYDROCHLORIDE) (PRAMOCAINE  HYD"	C0020402	hydroxyurea	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"593A SARNA SENSITIVE LOTION (PRAMOXINE HYDROCHLORIDE) (PRAMOCAINE  HYD"	C0071810	pramoxine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PLATELET CONCENTRATE (PLATELETS, CONCENTRATED)"	C0005821	Blood Platelets	[u'cell']	[u'ATC']
"PLATELET CONCENTRATE (PLATELETS, CONCENTRATED)"	C0005821	Blood Platelets	[u'cell']	[u'ATC']
"CALCIUM  E"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM  E"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"TYLENOL ARTHRITIS 650MG TYLENOL CAPLETS"	C0304292	Caplet dose form	[u'bodm']	[u'RXNORM']
"TYLENOL ARTHRITIS 650MG TYLENOL CAPLETS"	C0699142	Tylenol	[u'orch', u'phsu']	[u'RXNORM']
"VITAMIN K [CALCIUM PHOSPHATE DIBASIC;PHYTOMENADIONE]"	C0042878	Vitamin K	[u'orch', u'vita']	[u'RXNORM']
"VITAMIN K [CALCIUM PHOSPHATE DIBASIC;PHYTOMENADIONE]"	C3541380	Vitamin K containing hemostatics	[u'orch', u'phsu', u'vita']	[u'ATC']
"VITAMIN K [CALCIUM PHOSPHATE DIBASIC;PHYTOMENADIONE]"	C0108134	Calcium phosphate dibasic	[u'inch', u'phsu']	[u'RXNORM']
"VITAMIN K [CALCIUM PHOSPHATE DIBASIC;PHYTOMENADIONE]"	C0031862	Vitamin K 1	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"ATENOLOL+ CLORTALIDONE"	C0004147	Atenolol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"GLOW-PROTECADIN(LAFUTIDINE)"	C0172827	lafutidine	[u'orch', u'phsu']	[u'ATC']
"E.45 (CREAM E45)"	C1378128	Cream	[u'bodm']	[u'RXNORM']
"BETA POLLEN PLUS"	C0795585	Bee pollen	[u'orch', u'phsu']	[u'RXNORM']
"VENLAFAXINE HYDROCHLORIDE (VENAFAXINE HYDROCHLORIDE)"	C0771200	Venlafaxine hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"OS-CAL + VIT D"	C0042866	Vitamin D	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"PCA FENTANYL"	C0015846	Fentanyl	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"OMEGA-3 VILATMINS"	C0015689	Omega-3 Fatty Acids	[u'bacs', u'orch', u'phsu']	[u'RXNORM']
"ZICAM COLD REMEDY NASAL GEL  MATRIX INITIATIVES"	C0991526	Nasal Gel	[u'bodm']	[u'RXNORM']
