UTTERANCE	CUI	PT	ST	SOURCES
"CEFEPIME (HYDROCHLORIDE)"	C0055003	cefepime	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"DEPO?MEDROL + LIDOCAINE"	C0023660	Lidocaine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DEPO?MEDROL + LIDOCAINE"	C0057476	Depo-Medrol	[u'orch', u'phsu']	[u'RXNORM']
"NITRENDIPIN10 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"OXALIPLATIN  CAPECITABINE 750MG/M^2  DAY 1THROUGH 14"	C0073371	rifamycin SV	[u'antb', u'orch']	[u'RXNORM', u'ATC']
"OXALIPLATIN  CAPECITABINE 750MG/M^2  DAY 1THROUGH 14"	C0069717	oxaliplatin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"OXALIPLATIN  CAPECITABINE 750MG/M^2  DAY 1THROUGH 14"	C0671970	capecitabine	[u'nnon', u'phsu']	[u'RXNORM', u'ATC']
"CALCIUM 600 MG. OVAL/LITE"	C0006675	Calcium	[u'bacs', u'elii', u'phsu']	[u'RXNORM']
"CALCIUM 600 MG. OVAL/LITE"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"CALCIUM 600 MG. OVAL/LITE"	C3540037	CALCIUM SUPPLEMENTS	[u'phsu', u'vita']	[u'ATC']
"ORTHO EVRA (NORELGETSTROMIN/ETHINYL ESTRADIOL) PATCH"	C1614506	Ortho Evra	[u'horm', u'orch', u'phsu']	[u'RXNORM']
"ORTHO EVRA (NORELGETSTROMIN/ETHINYL ESTRADIOL) PATCH"	C0015011	Ethinyl Estradiol	[u'horm', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PREDNISOLONE ACETATE OPTHALMIC DROP"	C0071839	prednisolone acetate	[u'orch', u'phsu']	[u'RXNORM']
"MADOPAR H BS (BENSERAZIDE HYDROCHLORIDE, LEVODOPA)"	C0065502	Madopar	[u'orch', u'phsu']	[u'RXNORM']
"MADOPAR H BS (BENSERAZIDE HYDROCHLORIDE, LEVODOPA)"	C0770932	Benserazide hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"MADOPAR H BS (BENSERAZIDE HYDROCHLORIDE, LEVODOPA)"	C0023570	Levodopa	[u'aapp', u'bacs', u'phsu']	[u'RXNORM', u'ATC']
"SER-AP-ES (HYDRALAZINE HYDROCHLORIDE, HYDROCHLOROTHIAZIDE, RESERPINE)"	C0723291	Ser-Ap-Es	[u'orch', u'phsu']	[u'RXNORM']
"SER-AP-ES (HYDRALAZINE HYDROCHLORIDE, HYDROCHLOROTHIAZIDE, RESERPINE)"	C0282198	Hydralazine Hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"SER-AP-ES (HYDRALAZINE HYDROCHLORIDE, HYDROCHLOROTHIAZIDE, RESERPINE)"	C0020261	Hydrochlorothiazide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SER-AP-ES (HYDRALAZINE HYDROCHLORIDE, HYDROCHLOROTHIAZIDE, RESERPINE)"	C0035179	Reserpine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"THYROXINE 9LEVOTHYROXINE SODIUM)"	C0079691	Levothyroxine Sodium	[u'aapp', u'horm', u'phsu']	[u'RXNORM', u'ATC']
"SIMCOR (ALL OTHER THERAPEUTIC PRODUCTS)"	C2342431	Simcor	[u'orch', u'phsu']	[u'RXNORM']
"ASA (ACETYLSALICYLIC ACID) UNK TO UNK"	C0004057	Aspirin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ASA (ACETYLSALICYLIC ACID) UNK TO UNK"	C0004057	Aspirin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"OXALIPLATIN - SOLUTION -85 MG/M2"	C0069717	oxaliplatin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"OXALIPLATIN - SOLUTION -85 MG/M2"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"LEVOTHYROXINE SODIUM (LEVOTHYROXINE SODIUM) , 100 MICROGRAM"	C0079691	Levothyroxine Sodium	[u'aapp', u'horm', u'phsu']	[u'RXNORM', u'ATC']
"LEVOTHYROXINE SODIUM (LEVOTHYROXINE SODIUM) , 100 MICROGRAM"	C0079691	Levothyroxine Sodium	[u'aapp', u'horm', u'phsu']	[u'RXNORM', u'ATC']
"ALLEGRA (FEOXFENADINE HYDROCHLORIDE)"	C1110594	Allegra	[u'orch', u'phsu']	[u'RXNORM']
"BIONECT CREAM 50G (2 X 25G TUBES) HYALURONATE SODIUM"	C1378128	Cream	[u'bodm']	[u'RXNORM']
"BIONECT CREAM 50G (2 X 25G TUBES) HYALURONATE SODIUM"	C1658371	Bionect	[u'orch', u'phsu']	[u'RXNORM']
"BIONECT CREAM 50G (2 X 25G TUBES) HYALURONATE SODIUM"	C0087000	Sodium Hyaluronate	[u'bacs', u'orch', u'phsu']	[u'RXNORM']
"GUAIFEN/CODEIN"	C0009214	Codeine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PREVAGE CREAM"	C1378128	Cream	[u'bodm']	[u'RXNORM']
"TINZAPARIN HEPARIN"	C0019134	heparin	[u'bacs', u'orch', u'phsu']	[u'RXNORM', u'ATC']
"TINZAPARIN HEPARIN"	C0770546	heparin, porcine	[u'bacs', u'orch', u'phsu']	[u'RXNORM']
"TINZAPARIN HEPARIN"	C0216278	tinzaparin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"FIBRE CHOICE PLUS"	C3282149	Fiber Choice	[u'orch', u'phsu']	[u'RXNORM']
"TRIAMTERENE-HYDROCHLOROTHIAZIDE (UNKNOWN)"	C0813211	hydrochlorothiazide-triamterene	[u'phsu']	[u'RXNORM']
"ADVANCED VITAMIN B"	C0042849	Vitamin B Complex	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"DNA RECOMBINANT INSULIN LISPRO"	C0293359	Insulin Lispro	[u'aapp', u'horm', u'phsu']	[u'RXNORM', u'ATC']
"EPOKINE [EPOETIN ALFA]"	C0357126	Epoetin Alfa	[u'aapp', u'phsu']	[u'RXNORM']
"INTERFERON PEGFERON"	C0021747	Interferons	[u'aapp', u'imft']	[u'ATC']
"INTERFERON PEGFERON"	C3652465	Interferon	[u'aapp', u'imft', u'phsu']	[u'ATC']
"ULTRA STRENGTH GREASELESS CREAM"	C1378128	Cream	[u'bodm']	[u'RXNORM']
"PERINDOPRLL 4 MG"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"BIOIDENTICAL HORMONE REPLACEMENT THERAPY CREAM"	C1378128	Cream	[u'bodm']	[u'RXNORM']
"CLOTRIMAZOLE BETA"	C0009074	Clotrimazole	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"NOVLOG (INSULIN ASPART) ONGOING"	C0123677	Insulin, Aspart, Human	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"NOVLOG (INSULIN ASPART) ONGOING"	C1708521	Insulin Aspart	[u'aapp', u'horm', u'phsu']	[u'ATC']
"FLECAINIDE SULFATE"	C3536965	Sulfate Ion	[u'elii', u'phsu']	[u'RXNORM']
"FLECAINIDE SULFATE"	C0016229	Flecainide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ASPIRIN (ACETYLSACICYLIC ACID)"	C0004057	Aspirin	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"PEVARYL (ECONAZOLE NITRATE) OVULE"	C0031270	Pevaryl	[u'orch', u'phsu']	[u'RXNORM']
"PEVARYL (ECONAZOLE NITRATE) OVULE"	C0546862	Econazole Nitrate	[u'orch', u'phsu']	[u'RXNORM']
"VITAMIN E?C"	C0003968	Ascorbic Acid	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"CATAFLAMPRO AEROSOL"	C1112870	Aerosol Dose Form	[u'bodm']	[u'RXNORM']
"ADDERALL (AMFETAMINE ASPARTATE, AMFETAMINE SULFATE, DEXAMFETAMINE SACCHRATE, DEXAMFETAMINE SULFATE) 10MG"	C0290795	Adderall	[u'orch', u'phsu']	[u'RXNORM']
"ADDERALL (AMFETAMINE ASPARTATE, AMFETAMINE SULFATE, DEXAMFETAMINE SACCHRATE, DEXAMFETAMINE SULFATE) 10MG"	C0724524	Amphetamine aspartate	[u'orch', u'phsu']	[u'RXNORM']
