UTTERANCE	CUI	PT	ST	SOURCES
"SERTRALINE (SERTRALINE) (25 MILLIGRAM, TABLET) (SERTRALINE)"	C0074393	Sertraline	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SERTRALINE (SERTRALINE) (25 MILLIGRAM, TABLET) (SERTRALINE)"	C0074393	Sertraline	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SERTRALINE (SERTRALINE) (25 MILLIGRAM, TABLET) (SERTRALINE)"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"SERTRALINE (SERTRALINE) (25 MILLIGRAM, TABLET) (SERTRALINE)"	C0074393	Sertraline	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"INSUMAN RAPIDE (INSULIN HUMAN)"	C0795635	Regular Insulin, Human	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"TERBUTALINE/IPRATROPIUM"	C0027235	Ipratropium	[u'orch', u'phsu']	[u'RXNORM']
"TERBUTALINE/IPRATROPIUM"	C0039542	Terbutaline	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"SALINE (SODIUM CHLORIDE)(SODIUM CHLORIDE) 0.9 PCT"	C0037494	Sodium Chloride	[u'bacs', u'inch', u'phsu']	[u'RXNORM', u'ATC']
"SALINE (SODIUM CHLORIDE)(SODIUM CHLORIDE) 0.9 PCT"	C0037494	Sodium Chloride	[u'bacs', u'inch', u'phsu']	[u'RXNORM', u'ATC']
"TELFAST /SCH/(FEXOFENADINE HYDROCHLORIDE)"	C1110594	Allegra	[u'orch', u'phsu']	[u'RXNORM']
"TELFAST /SCH/(FEXOFENADINE HYDROCHLORIDE)"	C0771752	Fexofenadine hydrochloride	[u'orch', u'phsu']	[u'RXNORM']
"DIBASIC SODIUM PHOSPHATE HYDRATE/SODIUM DIHYDROGEN PHOSPHATE"	C0770578	Sodium Phosphate, Monobasic	[u'inch', u'phsu']	[u'RXNORM']
"DIBASIC SODIUM PHOSPHATE HYDRATE/SODIUM DIHYDROGEN PHOSPHATE"	C0720930	Hyrex Brand of Dimenhydrinate	[u'orch', u'phsu']	[u'RXNORM']
"DIBASIC SODIUM PHOSPHATE HYDRATE/SODIUM DIHYDROGEN PHOSPHATE"	C1601799	phosphate ion	[u'elii', u'phsu']	[u'RXNORM']
"PRIMAXIN /00788801/(IMIPENEM)"	C0733696	Primaxin	[u'antb', u'orch']	[u'RXNORM']
"PRIMAXIN /00788801/(IMIPENEM)"	C0020933	Imipenem	[u'antb', u'orch']	[u'RXNORM']
"MULTIPLE VITAMINS (ERGOCALCIFEROL, VITAMIN B NOS, TOCOPHEROL, ASCORBIC"	C0042890	Vitamins	[u'orch', u'phsu', u'vita']	[u'ATC']
"MULTIPLE VITAMINS (ERGOCALCIFEROL, VITAMIN B NOS, TOCOPHEROL, ASCORBIC"	C3540032	Vitamin IV solution additives	[u'phsu']	[u'ATC']
"MULTIPLE VITAMINS (ERGOCALCIFEROL, VITAMIN B NOS, TOCOPHEROL, ASCORBIC"	C0014695	Ergocalciferol	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"MULTIPLE VITAMINS (ERGOCALCIFEROL, VITAMIN B NOS, TOCOPHEROL, ASCORBIC"	C0042849	Vitamin B Complex	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"MULTIPLE VITAMINS (ERGOCALCIFEROL, VITAMIN B NOS, TOCOPHEROL, ASCORBIC"	C0042874	Vitamin E	[u'orch', u'phsu', u'vita']	[u'RXNORM', u'ATC']
"MULTIPLE VITAMINS (ERGOCALCIFEROL, VITAMIN B NOS, TOCOPHEROL, ASCORBIC"	C3255108	Tocopherol	[u'orch', u'phsu', u'vita']	[u'RXNORM']
"UNKNOWN CREAM CLEANSER"	C1378128	Cream	[u'bodm']	[u'RXNORM']
"COUMADIN /00627701/(COUMARIN)"	C0699129	Coumadin	[u'orch', u'phsu']	[u'RXNORM']
"COUMADIN /00627701/(COUMARIN)"	C0010206	coumarin	[u'orch', u'phsu']	[u'RXNORM']
"PAXIL (PAROXETINE YDROCHLORIDE HYDRATE)"	C0376414	Paxil	[u'orch', u'phsu']	[u'RXNORM']
"PAXIL (PAROXETINE YDROCHLORIDE HYDRATE)"	C0720930	Hyrex Brand of Dimenhydrinate	[u'orch', u'phsu']	[u'RXNORM']
"PAXIL (PAROXETINE YDROCHLORIDE HYDRATE)"	C0070122	Paroxetine	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE INJ. SUSP. US"	C2927962	Betamethasone / Betamethasone acetate	[u'phsu']	[u'RXNORM']
"BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE INJ. SUSP. US"	C0074757	sodium phosphate	[u'inch', u'phsu']	[u'RXNORM', u'ATC']
"BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE INJ. SUSP. US"	C0991512	Injectable Suspension	[u'bodm']	[u'RXNORM']
"IDD 3 (MELANOMA VACCINE)"	C0796561	Melanoma vaccine	[u'imft', u'phsu']	[u'ATC']
"NOVOMIX (INSULN ASPART)"	C0123677	Insulin, Aspart, Human	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"ANUSOL-HC CREAM (UNITED KINGDOM)"	C1378128	Cream	[u'bodm']	[u'RXNORM']
"ANUSOL-HC CREAM (UNITED KINGDOM)"	C0591101	Anusol HC	[u'orch', u'phsu']	[u'RXNORM']
"SUSTANE EYE DROP"	C0015399	Eye Drops	[u'bodm']	[u'RXNORM']
"MODOPAR(MADOPAR CAPAULE) /00349201/)  (250 MG, CAPSULE) (LEVODOPA, BEN"	C0065502	Madopar	[u'orch', u'phsu']	[u'RXNORM']
"MODOPAR(MADOPAR CAPAULE) /00349201/)  (250 MG, CAPSULE) (LEVODOPA, BEN"	C0065502	Madopar	[u'orch', u'phsu']	[u'RXNORM']
"MODOPAR(MADOPAR CAPAULE) /00349201/)  (250 MG, CAPSULE) (LEVODOPA, BEN"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"MODOPAR(MADOPAR CAPAULE) /00349201/)  (250 MG, CAPSULE) (LEVODOPA, BEN"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
"MODOPAR(MADOPAR CAPAULE) /00349201/)  (250 MG, CAPSULE) (LEVODOPA, BEN"	C0023570	Levodopa	[u'aapp', u'bacs', u'phsu']	[u'RXNORM', u'ATC']
"INSULATARD NOVOLET (INSULIN HUMAN INJECTION, ISOPHANE)"	C0307071	Novolin N	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"INSULATARD NOVOLET (INSULIN HUMAN INJECTION, ISOPHANE)"	C1272883	Injection	[u'bodm']	[u'RXNORM']
"INSULATARD NOVOLET (INSULIN HUMAN INJECTION, ISOPHANE)"	C0795635	Regular Insulin, Human	[u'aapp', u'horm', u'phsu']	[u'RXNORM']
"LECTIL 24 MG, COMPRIME"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"ATV/R (RITONAVIR-BOOSTED ATAZANAVIR"	C1145759	Atazanavir	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ATV/R (RITONAVIR-BOOSTED ATAZANAVIR"	C0292818	Ritonavir	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ATV/R (RITONAVIR-BOOSTED ATAZANAVIR"	C1145759	Atazanavir	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DIAZIDE (TRIAMTERENE/HCTZ)"	C0020261	Hydrochlorothiazide	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"DIAZIDE (TRIAMTERENE/HCTZ)"	C0040869	Triamterene	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"JANUMET 50/850MG"	C1948387	Janumet	[u'orch', u'phsu']	[u'RXNORM']
