UTTERANCE	CUI	PT	ST	SOURCES
"HERCEPTIN IV"	C0338204	Herceptin	[u'aapp', u'imft', u'phsu']	[u'RXNORM']
"BISOPROLOL FUMARTE AND HYDROCHOROTHIAZIDE TABLETS"	C0039225	Tablet Dosage Form	[u'bodm']	[u'RXNORM']
"BISOPROLOL FUMARTE AND HYDROCHOROTHIAZIDE TABLETS"	C0053799	Bisoprolol	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"ADVATE (ANTITHEMOPHILIC FACTOR (RECOMBINANT), PLASMA/ ALBUMIN FREE MET"	C1815260	Advate	[u'aapp', u'bacs', u'phsu']	[u'RXNORM']
"ADVATE (ANTITHEMOPHILIC FACTOR (RECOMBINANT), PLASMA/ ALBUMIN FREE MET"	C0001924	Albumins	[u'aapp', u'bacs']	[u'ATC']
"ADVATE (ANTITHEMOPHILIC FACTOR (RECOMBINANT), PLASMA/ ALBUMIN FREE MET"	C0032105	Plasma	[u'bdsu']	[u'ATC']
"CO-LOSARTAN SANDOZ"	C0126174	Losartan	[u'orch', u'phsu']	[u'RXNORM', u'ATC']
"RADIATION (CAPSULES)"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
"VIBRAMYCIN (DOXYCYCLINE HYCLATE) (CAPSULES)"	C0699957	Vibramycin	[u'antb', u'orch']	[u'RXNORM']
"VIBRAMYCIN (DOXYCYCLINE HYCLATE) (CAPSULES)"	C0058731	doxycycline hyclate	[u'antb', u'orch']	[u'RXNORM']
"VIBRAMYCIN (DOXYCYCLINE HYCLATE) (CAPSULES)"	C0006935	capsule (pharmacologic)	[u'bodm']	[u'RXNORM']
"SERESTA 50 MG NOS"	C2346927	Magnesium Cation	[u'elii', u'phsu']	[u'RXNORM']
"OCTREOTIDE PAMOATE LAR"	C0028833	Octreotide	[u'aapp', u'horm', u'phsu']	[u'RXNORM', u'ATC']
"LISTERINE WHITENING PEN"	C0065081	Listerine	[u'orch', u'phsu']	[u'RXNORM']
"HYDROCORTISONE - ALOE"	C0720954	Hydrocortisone-Aloe	[u'horm', u'orch', u'phsu']	[u'RXNORM']
